"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000001995",153,1,32,29,34,1,53,30,23,0,32,1
"ENSMUSG00000001998",19,81,19,26,4,0,22,73,57,19,16,13
"ENSMUSG00000001999",299,121,70,113,189,21,51,183,179,14,58,63
"ENSMUSG00000002006",0,0,13,0,0,0,2,0,0,0,0,0
"ENSMUSG00000002007",372,119,170,63,216,30,43,272,224,203,67,73
"ENSMUSG00000002010",2242,2028,1679,901,2368,549,1107,2937,2324,949,909,1224
"ENSMUSG00000002012",85,50,86,1,91,11,27,102,44,59,50,31
"ENSMUSG00000002014",870,655,822,650,742,346,587,1173,1209,642,488,570
"ENSMUSG00000002015",509,478,468,453,705,279,306,1204,960,468,493,376
"ENSMUSG00000002017",535,321,341,222,514,84,273,837,457,372,208,288
"ENSMUSG00000002020",1,0,0,0,1,3,28,22,1,0,0,0
"ENSMUSG00000002028",542,467,226,201,491,66,297,564,425,194,301,336
"ENSMUSG00000002031",127,39,84,118,28,62,55,126,92,55,3,60
"ENSMUSG00000002032",83,13,70,38,72,6,17,78,103,1,10,57
"ENSMUSG00000002033",4,3,4,2,1,1,0,1,5,1,2,3
"ENSMUSG00000002043",7,162,48,20,51,13,45,55,92,14,5,57
"ENSMUSG00000002052",155,308,118,176,196,97,104,383,420,200,140,282
"ENSMUSG00000002055",0,24,0,15,5,0,0,0,0,0,0,0
"ENSMUSG00000002057",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002058",73,65,40,55,52,8,23,9,36,11,9,21
"ENSMUSG00000002059",26,26,40,36,23,0,1,37,29,23,89,44
"ENSMUSG00000002064",491,551,388,361,766,90,198,906,617,308,166,290
"ENSMUSG00000002068",0,0,0,0,0,0,0,0,1,3,0,0
"ENSMUSG00000002076",8,0,1,4,1,0,0,0,0,0,0,0
"ENSMUSG00000002083",1,0,18,2,25,0,0,32,24,0,38,13
"ENSMUSG00000002100",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002102",3819,3235,3536,2740,4183,1088,2249,5247,4313,1750,1782,2099
"ENSMUSG00000002103",158,171,81,74,56,45,1,110,167,140,152,44
"ENSMUSG00000002104",320,387,323,278,158,163,189,311,452,171,157,209
"ENSMUSG00000002105",344,394,176,290,229,167,166,360,313,141,119,347
"ENSMUSG00000002107",1962,1436,1806,1571,1838,567,1131,3291,2275,1284,606,1448
"ENSMUSG00000002108",195,147,169,89,86,46,68,153,134,23,64,98
"ENSMUSG00000002109",10,14,10,6,12,30,0,3,0,2,0,26
"ENSMUSG00000002111",14,3,0,1,20,0,0,6,2,34,18,5
"ENSMUSG00000002129",68,66,99,46,78,30,50,234,139,54,40,44
"ENSMUSG00000002147",3,73,25,96,52,55,22,245,145,12,76,20
"ENSMUSG00000002190",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002204",0,0,0,0,42,0,0,0,0,0,0,0
"ENSMUSG00000002205",116,92,224,59,192,24,9,89,131,81,23,77
"ENSMUSG00000002210",50,97,10,36,101,41,47,59,62,64,14,59
"ENSMUSG00000002221",72,33,61,15,37,46,21,110,17,1,39,87
"ENSMUSG00000002222",632,711,697,499,948,193,272,917,776,335,369,515
"ENSMUSG00000002227",0,11,0,24,26,0,0,0,3,33,0,0
"ENSMUSG00000002228",447,176,330,113,346,105,240,330,493,162,108,371
"ENSMUSG00000002233",172,161,173,143,350,105,130,408,180,181,97,111
"ENSMUSG00000002240",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002249",22,22,0,17,38,64,0,9,28,14,0,1
"ENSMUSG00000002250",356,120,152,102,139,52,39,244,88,71,40,20
"ENSMUSG00000002257",8,9,26,0,7,3,4,0,0,24,0,0
"ENSMUSG00000002265",73,174,125,117,136,53,86,146,115,30,87,28
"ENSMUSG00000002266",17,4,1,23,38,0,0,37,0,0,0,0
"ENSMUSG00000002274",224,383,376,402,348,122,275,442,434,115,149,109
"ENSMUSG00000002279",31,86,32,5,110,39,25,82,155,58,10,2
"ENSMUSG00000002280",194,336,319,178,231,144,180,171,420,101,59,186
"ENSMUSG00000002289",93,104,126,4,60,34,49,124,141,32,45,1
"ENSMUSG00000002297",0,1,0,19,0,0,0,4,2,0,14,0
"ENSMUSG00000002307",68,145,140,13,39,1,67,141,176,56,134,59
"ENSMUSG00000002308",154,62,171,78,217,17,64,143,160,52,124,45
"ENSMUSG00000002319",166,41,78,137,75,37,116,169,206,77,120,62
"ENSMUSG00000002320",22,0,0,5,1,0,0,3,2,19,1,3
"ENSMUSG00000002324",29,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002325",68,66,39,10,30,11,18,118,74,35,0,14
"ENSMUSG00000002326",0,0,1,14,12,0,0,33,17,1,0,2
"ENSMUSG00000002329",186,63,131,81,146,52,71,379,288,56,38,97
"ENSMUSG00000002332",123,244,130,110,303,87,85,210,289,176,16,132
"ENSMUSG00000002341",0,106,0,0,0,0,1,0,0,0,0,12
"ENSMUSG00000002342",383,432,293,219,229,141,333,349,541,150,132,224
"ENSMUSG00000002343",79,47,43,10,26,0,26,93,68,14,3,0
"ENSMUSG00000002345",165,51,95,89,102,92,66,68,324,9,105,29
"ENSMUSG00000002346",103,97,55,89,64,8,3,183,125,22,95,33
"ENSMUSG00000002365",234,291,235,257,241,68,148,320,194,164,108,77
"ENSMUSG00000002372",139,157,163,105,126,131,132,419,433,162,67,129
"ENSMUSG00000002379",7121,6207,5260,3553,7714,2335,3461,9357,9263,2544,3309,2589
"ENSMUSG00000002384",0,0,0,0,0,0,0,0,4,0,0,0
"ENSMUSG00000002393",201,302,316,235,259,164,203,594,474,265,72,213
"ENSMUSG00000002395",1059,1103,810,1013,1123,312,602,2100,2349,679,726,629
"ENSMUSG00000002396",38,89,9,24,44,0,25,56,20,20,34,0
"ENSMUSG00000002409",398,276,339,309,310,68,154,548,430,190,137,101
"ENSMUSG00000002413",92,147,63,135,177,77,44,146,159,77,97,122
"ENSMUSG00000002416",3791,3776,3314,2785,3735,1590,2412,4610,5577,2196,2236,2392
"ENSMUSG00000002428",69,94,87,42,51,0,41,51,69,12,0,47
"ENSMUSG00000002455",361,193,177,174,388,143,67,451,357,192,85,193
"ENSMUSG00000002458",10,7,27,0,0,0,1,30,22,32,0,27
"ENSMUSG00000002459",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002475",0,16,1,0,0,0,7,0,0,20,13,0
"ENSMUSG00000002477",225,193,308,164,472,102,270,523,379,149,30,108
"ENSMUSG00000002486",25,48,0,7,46,22,0,106,40,8,0,0
"ENSMUSG00000002489",21,1,0,22,6,0,0,34,32,36,8,11
"ENSMUSG00000002496",429,508,243,234,352,173,154,376,412,178,174,202
"ENSMUSG00000002500",3177,3288,2332,2054,3004,1145,1709,4336,3909,1611,1074,1973
"ENSMUSG00000002504",359,114,200,218,247,68,225,316,579,132,117,162
"ENSMUSG00000002524",761,544,660,588,558,174,315,854,964,265,292,285
"ENSMUSG00000002546",171,272,224,158,107,106,126,248,254,101,98,165
"ENSMUSG00000002550",56,35,2,3,23,3,1,52,58,5,19,24
"ENSMUSG00000002565",0,2,15,2,5,0,0,2,1,0,25,37
"ENSMUSG00000002578",4,9,11,23,12,0,0,20,22,0,0,14
"ENSMUSG00000002580",724,832,435,446,739,160,356,523,860,268,312,265
"ENSMUSG00000002588",20,8,0,0,9,0,0,0,0,0,0,0
"ENSMUSG00000002602",129,234,137,151,132,35,95,215,273,124,136,70
"ENSMUSG00000002603",32,5,13,0,18,0,2,35,4,1,9,0
"ENSMUSG00000002608",154,87,90,79,213,5,122,208,89,74,99,116
"ENSMUSG00000002617",0,1,20,0,0,0,0,22,35,10,15,24
"ENSMUSG00000002625",200,222,351,253,192,41,149,315,187,102,124,117
"ENSMUSG00000002633",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002635",139,123,51,100,157,2,62,263,341,61,41,63
"ENSMUSG00000002658",224,83,237,87,221,41,72,339,232,40,46,250
"ENSMUSG00000002660",554,491,387,487,587,240,362,698,1175,230,234,501
"ENSMUSG00000002661",653,390,294,339,750,298,159,608,855,341,348,393
"ENSMUSG00000002664",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002668",0,30,0,0,8,0,5,0,1,0,0,0
"ENSMUSG00000002679",201,85,118,57,32,21,0,114,81,79,33,54
"ENSMUSG00000002688",44,0,1,20,1,29,47,61,25,0,0,0
"ENSMUSG00000002699",2,9,1,0,0,0,0,0,22,11,0,1
"ENSMUSG00000002718",289,168,228,277,490,99,126,358,569,249,195,195
"ENSMUSG00000002728",428,443,376,399,319,157,200,588,653,208,258,250
"ENSMUSG00000002731",15,0,0,2,8,0,22,78,1,0,1,1
"ENSMUSG00000002732",105,106,9,48,176,9,61,164,151,5,35,35
"ENSMUSG00000002733",119,150,154,124,203,23,95,202,121,47,67,68
"ENSMUSG00000002741",280,245,122,66,348,38,102,199,193,87,51,94
"ENSMUSG00000002748",443,494,196,452,405,31,95,618,365,260,120,212
"ENSMUSG00000002763",195,143,231,73,162,84,38,347,218,13,27,18
"ENSMUSG00000002767",1200,1050,884,1054,996,456,637,1603,1414,717,439,655
"ENSMUSG00000002768",561,505,480,430,353,82,190,730,850,322,257,208
"ENSMUSG00000002769",0,35,1,31,141,5,40,6,45,0,63,1
"ENSMUSG00000002771",0,0,0,1,0,0,23,0,0,0,0,3
"ENSMUSG00000002778",406,218,270,345,597,121,206,488,516,286,225,276
"ENSMUSG00000002781",237,195,268,126,401,116,139,370,516,162,122,193
"ENSMUSG00000002791",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002797",148,171,117,110,60,46,38,161,110,29,117,94
"ENSMUSG00000002799",210,185,102,124,299,92,103,231,256,45,27,79
"ENSMUSG00000002803",320,104,150,162,164,43,114,190,303,74,114,38
"ENSMUSG00000002804",150,73,57,85,234,50,34,125,243,19,116,107
"ENSMUSG00000002808",1324,674,528,803,1085,232,405,1262,1280,216,384,554
"ENSMUSG00000002812",533,463,442,382,682,158,375,721,484,242,312,410
"ENSMUSG00000002814",0,27,28,5,88,0,74,0,21,21,10,12
"ENSMUSG00000002820",433,564,505,391,471,72,284,832,528,184,265,150
"ENSMUSG00000002825",63,126,109,46,65,66,69,134,253,15,85,79
"ENSMUSG00000002831",479,359,239,416,227,318,309,849,632,302,321,555
"ENSMUSG00000002833",113,69,157,20,200,160,16,171,245,27,95,30
"ENSMUSG00000002835",156,69,138,67,71,0,109,184,73,95,82,63
"ENSMUSG00000002844",323,360,268,284,409,136,232,494,608,179,123,200
"ENSMUSG00000002845",21,32,56,13,44,15,13,161,6,28,12,14
"ENSMUSG00000002846",963,1245,1126,1233,318,270,687,1572,1645,572,454,731
"ENSMUSG00000002847",49,26,1,54,40,28,17,19,11,15,54,25
"ENSMUSG00000002870",17,39,92,59,71,35,49,15,74,0,12,93
"ENSMUSG00000002871",116,153,149,244,258,22,83,292,283,19,102,16
"ENSMUSG00000002881",138,140,136,167,195,82,33,200,198,105,88,85
"ENSMUSG00000002885",138,61,166,134,87,73,51,227,92,34,9,47
"ENSMUSG00000002897",10,0,0,0,9,31,0,36,45,11,0,3
"ENSMUSG00000002900",195,174,128,81,87,44,51,191,155,96,205,36
"ENSMUSG00000002908",111,78,16,79,64,8,68,146,293,70,67,57
"ENSMUSG00000002910",192,263,258,297,425,202,264,377,354,214,101,238
"ENSMUSG00000002930",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002944",3770,3939,2507,2206,2650,1426,2487,6474,6997,1068,1720,1596
"ENSMUSG00000002948",396,644,523,318,584,108,405,1023,639,278,259,395
"ENSMUSG00000002949",1173,891,549,701,813,291,278,1368,1273,379,411,203
"ENSMUSG00000002957",1582,2277,2578,1860,1299,874,1318,3723,3294,1562,833,1839
"ENSMUSG00000002963",275,21,211,103,300,211,161,417,274,152,46,203
"ENSMUSG00000002968",597,490,529,338,715,152,181,705,709,312,261,185
"ENSMUSG00000002980",112,101,224,159,117,57,71,266,353,74,122,29
"ENSMUSG00000002981",881,478,675,339,455,322,284,1116,831,443,440,470
"ENSMUSG00000002983",5,19,76,36,60,18,73,75,85,49,0,42
"ENSMUSG00000002984",499,540,531,478,576,271,405,857,957,98,309,479
"ENSMUSG00000002985",776,1297,876,700,905,342,408,1034,1525,698,410,357
"ENSMUSG00000002992",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002996",645,699,632,281,752,412,351,1209,760,606,316,543
"ENSMUSG00000002997",7,0,22,22,4,0,0,24,25,2,5,31
"ENSMUSG00000003031",770,1273,1305,1152,508,241,639,2078,1896,669,381,874
"ENSMUSG00000003032",416,280,282,124,702,168,375,680,860,179,216,437
"ENSMUSG00000003033",94,310,109,83,119,76,156,117,137,88,14,33
"ENSMUSG00000003037",128,30,97,63,161,91,107,176,194,39,106,117
"ENSMUSG00000003038",54,41,30,8,52,32,37,74,112,23,25,48
"ENSMUSG00000003039",33,155,124,38,81,87,44,116,232,84,67,95
"ENSMUSG00000003051",0,0,0,0,0,0,0,28,2,0,0,0
"ENSMUSG00000003053",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003062",131,115,154,87,164,20,20,240,331,86,87,17
"ENSMUSG00000003068",995,787,829,712,868,287,371,1268,976,429,450,491
"ENSMUSG00000003070",0,23,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000003072",7482,6385,5005,4273,7821,2383,2932,10404,9737,2928,2900,3327
"ENSMUSG00000003099",406,318,326,244,294,145,198,450,529,103,277,405
"ENSMUSG00000003119",139,92,88,106,251,26,17,243,256,99,48,76
"ENSMUSG00000003123",144,99,52,41,23,36,37,195,143,68,55,26
"ENSMUSG00000003131",191,133,184,162,40,72,122,170,112,148,84,91
"ENSMUSG00000003134",83,81,55,4,34,22,52,138,92,0,2,27
"ENSMUSG00000003135",179,180,227,156,108,14,112,124,180,65,30,75
"ENSMUSG00000003153",47,1,6,2,3,27,0,0,1,14,0,3
"ENSMUSG00000003154",216,99,155,154,156,51,56,279,286,83,29,104
"ENSMUSG00000003161",182,139,176,65,196,47,118,177,342,78,210,102
"ENSMUSG00000003166",151,105,52,14,124,24,16,112,89,25,15,43
"ENSMUSG00000003184",59,112,75,103,58,34,25,217,144,80,20,165
"ENSMUSG00000003190",111,113,104,36,217,39,71,134,241,3,43,57
"ENSMUSG00000003198",36,0,1,23,56,17,27,15,4,0,0,22
"ENSMUSG00000003199",485,274,511,293,400,76,189,517,561,157,206,171
"ENSMUSG00000003200",115,99,18,75,117,11,46,135,72,74,2,14
"ENSMUSG00000003206",0,0,0,0,0,0,0,11,0,0,0,0
"ENSMUSG00000003208",71,34,82,81,70,4,92,120,77,45,1,0
"ENSMUSG00000003226",426,509,321,284,309,156,185,581,496,240,206,250
"ENSMUSG00000003227",0,0,27,0,0,0,0,19,24,0,0,0
"ENSMUSG00000003228",35,115,2,59,41,0,0,55,71,1,36,0
"ENSMUSG00000003233",244,174,183,40,165,5,120,208,86,25,33,63
"ENSMUSG00000003234",242,206,134,251,245,132,213,675,493,211,144,218
"ENSMUSG00000003235",744,438,469,472,508,148,243,826,634,418,236,497
"ENSMUSG00000003269",242,228,109,42,62,40,73,183,183,59,76,149
"ENSMUSG00000003271",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003273",51,78,95,29,73,22,25,22,28,37,1,21
"ENSMUSG00000003279",28,83,1,0,6,0,0,3,0,2,0,43
"ENSMUSG00000003282",0,0,0,27,0,0,0,3,19,0,18,0
"ENSMUSG00000003283",0,0,10,0,3,0,0,0,1,0,0,0
"ENSMUSG00000003299",796,807,833,548,785,248,446,1236,1202,373,358,315
"ENSMUSG00000003308",997,814,953,691,918,358,682,1697,1820,602,330,900
"ENSMUSG00000003309",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003316",556,448,451,454,688,224,323,1078,743,299,258,235
"ENSMUSG00000003341",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003344",332,125,175,218,127,59,104,281,338,134,217,211
"ENSMUSG00000003345",735,647,476,481,650,306,372,840,834,223,250,388
"ENSMUSG00000003346",1084,652,710,1180,956,328,493,905,915,411,355,584
"ENSMUSG00000003348",107,75,50,38,57,0,29,62,107,35,5,1
"ENSMUSG00000003352",0,19,8,13,0,0,0,0,16,3,42,22
"ENSMUSG00000003354",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003355",0,2,0,5,9,0,0,2,1,69,0,14
"ENSMUSG00000003360",381,337,256,210,245,44,119,233,373,196,67,179
"ENSMUSG00000003363",79,178,43,23,230,22,73,43,118,7,19,75
"ENSMUSG00000003378",1,66,26,28,7,35,0,39,16,0,0,16
"ENSMUSG00000003379",0,0,0,0,0,0,9,1,0,0,0,1
"ENSMUSG00000003380",2059,2270,2577,1889,2623,922,1479,3998,4306,1337,1257,1544
"ENSMUSG00000003382",55,113,141,64,61,26,36,291,133,18,33,67
"ENSMUSG00000003402",101,138,117,106,84,79,24,177,117,96,25,149
"ENSMUSG00000003410",0,49,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003411",0,1,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000003418",2,3,15,25,16,0,14,0,28,2,18,6
"ENSMUSG00000003420",339,349,258,418,367,97,229,490,627,381,190,137
"ENSMUSG00000003421",583,465,493,559,767,282,372,1121,764,417,324,477
"ENSMUSG00000003423",259,373,266,301,417,173,164,576,427,166,137,58
"ENSMUSG00000003429",2543,1956,1574,1830,2293,801,1240,3255,3210,1103,960,1199
"ENSMUSG00000003435",359,287,184,334,411,118,93,361,335,89,120,268
"ENSMUSG00000003436",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003437",137,177,142,105,82,76,54,302,126,67,58,77
"ENSMUSG00000003438",462,574,603,268,652,197,518,780,1045,209,539,577
"ENSMUSG00000003444",195,117,148,95,168,48,99,259,303,121,115,142
"ENSMUSG00000003452",45,77,21,0,0,0,0,1,55,18,37,0
"ENSMUSG00000003458",124,222,132,29,170,35,60,253,190,45,75,50
"ENSMUSG00000003464",416,615,540,435,506,120,349,825,863,254,274,250
"ENSMUSG00000003469",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003476",201,51,104,39,19,36,145,336,178,58,64,18
"ENSMUSG00000003477",46,69,50,78,104,25,39,97,143,41,108,151
"ENSMUSG00000003484",0,0,1,6,0,0,0,0,19,0,18,0
"ENSMUSG00000003500",33,24,14,16,84,10,16,84,64,0,0,11
"ENSMUSG00000003505",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003518",6888,8235,10344,7099,4566,1636,5360,14322,10440,5148,2876,8174
"ENSMUSG00000003526",132,73,45,93,90,40,42,82,108,22,57,52
"ENSMUSG00000003527",90,0,69,109,25,0,1,109,155,8,29,6
"ENSMUSG00000003528",108,49,0,134,6,2,16,52,69,50,10,0
"ENSMUSG00000003531",1282,968,1514,1354,1706,617,708,1896,1871,1171,886,1026
"ENSMUSG00000003534",90,52,57,54,48,1,13,51,41,22,5,7
"ENSMUSG00000003541",24,40,4,7,65,14,12,100,88,0,24,27
"ENSMUSG00000003545",43,0,3,1,0,0,0,0,0,0,32,0
"ENSMUSG00000003546",62,59,15,6,61,0,138,103,168,23,22,1
"ENSMUSG00000003549",287,291,215,155,212,121,361,582,479,144,153,123
"ENSMUSG00000003555",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003559",196,156,91,162,139,95,118,265,267,84,108,33
"ENSMUSG00000003573",30,3,17,18,26,1,4,48,69,15,0,0
"ENSMUSG00000003575",84,17,32,37,9,6,75,23,29,6,58,36
"ENSMUSG00000003581",15,16,41,14,23,6,8,77,86,20,1,17
"ENSMUSG00000003585",0,21,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003604",72,84,72,94,46,0,22,71,80,47,1,49
"ENSMUSG00000003617",95,167,94,162,163,55,71,108,209,110,74,66
"ENSMUSG00000003623",390,229,266,306,321,99,149,332,383,61,129,233
"ENSMUSG00000003644",74,18,63,2,61,1,11,48,62,31,0,34
"ENSMUSG00000003657",0,92,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000003660",439,308,210,187,348,143,215,624,491,228,74,194
"ENSMUSG00000003662",281,90,333,129,200,167,111,279,424,82,151,215
"ENSMUSG00000003665",0,0,1,0,0,0,0,1,7,0,1,11
"ENSMUSG00000003680",50,205,33,8,5,33,0,20,14,7,41,6
"ENSMUSG00000003721",1127,767,777,848,969,409,429,1485,1223,401,364,593
"ENSMUSG00000003731",197,193,165,64,175,51,82,351,211,75,75,135
"ENSMUSG00000003746",210,164,133,143,142,9,53,64,154,153,71,79
"ENSMUSG00000003752",56,0,40,18,1,0,3,3,1,31,34,1
"ENSMUSG00000003762",1,12,3,23,1,0,23,32,0,2,12,0
"ENSMUSG00000003778",374,221,215,196,280,85,24,318,342,227,108,251
"ENSMUSG00000003779",0,0,0,0,0,2,0,0,1,0,0,0
"ENSMUSG00000003808",111,63,272,79,173,14,62,135,127,14,6,85
"ENSMUSG00000003809",339,243,256,165,304,57,96,372,366,25,121,165
"ENSMUSG00000003810",391,342,172,219,261,150,109,517,307,198,143,239
"ENSMUSG00000003812",90,46,58,24,152,10,42,102,123,6,61,104
"ENSMUSG00000003813",2140,1818,1708,1821,2574,693,1166,3564,2644,801,821,1563
"ENSMUSG00000003814",871,757,611,686,538,316,404,1285,1050,399,410,457
"ENSMUSG00000003824",0,32,30,0,2,0,0,0,65,0,0,0
"ENSMUSG00000003847",157,63,109,122,292,27,2,202,174,95,37,21
"ENSMUSG00000003848",216,279,102,252,329,76,135,562,152,72,201,94
"ENSMUSG00000003849",411,336,385,436,307,106,234,747,865,228,185,364
"ENSMUSG00000003863",0,23,0,0,1,0,0,0,0,0,26,0
"ENSMUSG00000003865",2082,1673,1659,1203,1703,546,1212,3070,2228,621,733,748
"ENSMUSG00000003868",291,176,54,137,307,109,137,243,407,79,128,128
"ENSMUSG00000003872",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003873",283,319,417,460,471,72,170,483,542,146,277,242
"ENSMUSG00000003882",54,0,46,0,0,1,0,1,0,21,0,2
"ENSMUSG00000003923",424,403,306,298,420,102,107,521,453,111,207,248
"ENSMUSG00000003929",29,11,49,0,20,30,0,81,16,0,20,27
"ENSMUSG00000003934",0,8,0,2,0,0,0,28,28,0,4,0
"ENSMUSG00000003948",35,34,71,133,24,0,98,129,100,40,44,39
"ENSMUSG00000003949",84,113,167,143,155,54,60,264,206,134,50,236
"ENSMUSG00000003955",1827,1096,1460,1183,1891,653,751,2679,2375,754,822,746
"ENSMUSG00000003970",3216,2710,2845,2356,3585,1486,1540,4276,3962,1374,1255,1727
"ENSMUSG00000003974",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000003992",99,221,126,59,74,25,168,236,147,23,23,93
"ENSMUSG00000004018",5,27,28,15,62,7,0,0,12,23,0,10
"ENSMUSG00000004031",22,4,1,15,9,0,0,13,0,0,0,0
"ENSMUSG00000004032",2761,2098,2114,2068,2288,785,1639,3236,2703,1423,937,1756
"ENSMUSG00000004035",69,45,27,41,32,30,100,91,84,2,67,10
"ENSMUSG00000004038",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004040",956,568,797,418,469,131,431,1052,855,330,339,375
"ENSMUSG00000004043",125,269,103,118,125,47,90,219,293,60,117,198
"ENSMUSG00000004044",1952,1530,1504,1467,1746,390,874,3511,2814,842,683,819
"ENSMUSG00000004054",28,78,24,66,156,4,29,19,58,42,30,31
"ENSMUSG00000004056",423,362,480,476,549,140,352,930,911,195,287,412
"ENSMUSG00000004069",2834,2397,2639,2001,1734,672,1178,4000,3315,1047,870,1992
"ENSMUSG00000004070",396,285,411,366,549,272,366,613,527,191,383,237
"ENSMUSG00000004071",849,726,653,624,902,240,568,1324,1290,413,308,659
"ENSMUSG00000004085",3439,2934,3245,2167,3453,632,1428,5340,3425,1437,814,2048
"ENSMUSG00000004096",1072,1358,1234,1084,1794,524,812,2253,1699,648,742,990
"ENSMUSG00000004098",72,141,9,112,89,20,2,100,23,38,58,4
"ENSMUSG00000004099",4,138,13,12,45,29,3,75,35,7,23,36
"ENSMUSG00000004100",19,31,22,3,3,0,18,45,45,22,27,2
"ENSMUSG00000004105",319,202,224,88,95,64,86,183,195,55,19,79
"ENSMUSG00000004110",0,0,0,0,0,0,0,0,0,14,0,0
"ENSMUSG00000004113",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004127",31,20,58,18,51,26,1,39,51,3,0,20
"ENSMUSG00000004151",53,85,12,32,68,0,45,142,122,38,14,26
"ENSMUSG00000004187",0,0,0,0,0,1,0,1,0,1,0,0
"ENSMUSG00000004207",1173,847,755,690,902,230,474,1230,1275,607,216,570
"ENSMUSG00000004221",118,103,98,60,68,59,43,194,144,76,40,101
"ENSMUSG00000004231",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004233",2,2,10,1,22,0,10,21,97,27,0,26
"ENSMUSG00000004263",88,126,141,73,115,3,29,73,169,38,50,93
"ENSMUSG00000004264",851,626,655,626,621,275,211,1251,1031,267,559,518
"ENSMUSG00000004266",3,10,10,24,20,1,6,1,15,1,4,22
"ENSMUSG00000004267",0,17,0,0,0,0,0,1,40,0,0,2
"ENSMUSG00000004268",944,817,804,635,964,484,456,965,1298,382,389,575
"ENSMUSG00000004270",172,59,79,72,223,40,74,190,217,109,94,46
"ENSMUSG00000004285",1502,1685,1592,1342,2217,442,1001,2046,2011,1086,852,992
"ENSMUSG00000004296",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004317",26,6,73,22,55,0,0,77,13,0,7,1
"ENSMUSG00000004319",817,1066,887,597,841,93,375,977,1057,342,242,430
"ENSMUSG00000004328",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004341",0,21,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004344",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004347",0,42,15,0,8,0,0,35,17,0,0,0
"ENSMUSG00000004356",45,50,22,127,35,30,53,50,108,0,53,11
"ENSMUSG00000004359",31,1,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000004360",554,692,527,380,424,181,384,860,787,397,303,522
"ENSMUSG00000004364",2043,2262,2451,1593,2254,400,1055,2891,2670,1327,646,1967
"ENSMUSG00000004366",0,0,0,0,23,0,0,0,1,0,0,0
"ENSMUSG00000004371",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004383",162,105,108,51,95,9,71,202,160,0,17,28
"ENSMUSG00000004393",185,263,218,133,154,32,374,223,182,91,63,68
"ENSMUSG00000004394",511,509,373,322,496,225,329,859,470,235,308,347
"ENSMUSG00000004415",0,0,0,0,0,0,14,0,0,1,0,0
"ENSMUSG00000004446",90,109,96,40,29,30,43,132,182,90,18,44
"ENSMUSG00000004451",215,99,88,25,48,26,77,277,143,76,76,108
"ENSMUSG00000004455",49,59,48,41,62,17,16,72,66,25,16,35
"ENSMUSG00000004460",227,155,256,189,109,75,216,376,347,191,128,136
"ENSMUSG00000004462",36,39,29,27,32,21,31,20,2,58,43,51
"ENSMUSG00000004473",45,6,1,18,51,24,31,35,6,0,0,0
"ENSMUSG00000004500",0,8,4,4,2,0,0,15,37,0,33,0
"ENSMUSG00000004508",59,39,17,82,44,0,3,1,103,25,72,11
