"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000061469",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061474",569,945,762,1474,1829,1744,1923,935,1832
"ENSMUSG00000061477",11605,13984,15010,21067,19791,20173,19702,17937,30180
"ENSMUSG00000061479",344,459,538,981,1126,1066,1190,486,1139
"ENSMUSG00000061482",1624,1416,1964,2330,3790,5352,6539,1763,3497
"ENSMUSG00000061486",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061488",0,0,0,0,0,0,0,0,1
"ENSMUSG00000061489",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061490",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061510",3,5,17,12,44,41,19,13,17
"ENSMUSG00000061517",257,530,287,523,362,390,505,319,755
"ENSMUSG00000061518",6976,8813,8742,14288,15667,16440,16522,9678,14646
"ENSMUSG00000061520",0,0,0,1,1,0,1,0,0
"ENSMUSG00000061524",264,658,1302,662,14406,11574,8832,490,702
"ENSMUSG00000061525",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061527",0,4,0,0,10,3,17,0,2
"ENSMUSG00000061531",5,5,1,5,17,17,23,3,8
"ENSMUSG00000061533",351,738,354,923,464,516,554,533,909
"ENSMUSG00000061535",41,82,43,115,77,62,137,63,123
"ENSMUSG00000061536",459,735,649,1661,1125,903,894,569,1307
"ENSMUSG00000061540",0,0,0,0,3,0,1,1,1
"ENSMUSG00000061544",146,200,291,354,990,845,655,210,480
"ENSMUSG00000061549",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061559",844,1115,1158,1833,3538,3036,3100,1159,2666
"ENSMUSG00000061561",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061576",2650,3172,5512,9228,26258,15242,13560,4216,9635
"ENSMUSG00000061577",3,1,8,4,6,3,15,3,0
"ENSMUSG00000061578",2661,3960,3860,7968,8732,6633,6470,3111,6216
"ENSMUSG00000061584",8,5,5,1,6,20,6,10,5
"ENSMUSG00000061589",264,348,408,1257,1505,1148,959,266,702
"ENSMUSG00000061601",9639,16209,15208,31075,34369,31509,21278,6933,28931
"ENSMUSG00000061602",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061603",13072,15727,14088,30232,25049,22083,19533,12676,31879
"ENSMUSG00000061607",242,326,398,860,1307,1305,1029,295,826
"ENSMUSG00000061613",1018,1204,1206,2245,3790,3539,3047,1359,2589
"ENSMUSG00000061614",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061615",25,36,26,30,28,25,68,22,50
"ENSMUSG00000061616",0,0,0,0,0,0,3,0,0
"ENSMUSG00000061619",0,0,0,0,1,0,1,0,0
"ENSMUSG00000061626",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061633",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061637",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061650",676,929,758,1378,1479,1374,1469,726,1689
"ENSMUSG00000061653",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061665",871,1249,1213,2564,2915,2777,2443,1214,2253
"ENSMUSG00000061666",725,908,1075,1780,3562,2768,2442,1141,2336
"ENSMUSG00000061669",4,4,0,10,2,7,3,3,10
"ENSMUSG00000061684",3,5,2,7,8,1,7,3,5
"ENSMUSG00000061689",3148,5313,5631,8386,3937,3073,4624,2443,7553
"ENSMUSG00000061701",0,0,0,0,0,0,1,0,0
"ENSMUSG00000061702",154,145,477,1101,127,121,358,865,1068
"ENSMUSG00000061707",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061718",6481,1372,1270,13355,6032,4982,4113,14095,2244
"ENSMUSG00000061723",0,9,22,28,160,56,140,9,32
"ENSMUSG00000061724",9,5,116,89,191,135,191,59,28
"ENSMUSG00000061728",1,3,1,3,2,7,9,4,3
"ENSMUSG00000061731",812,1059,1139,2466,2385,1940,2272,870,2553
"ENSMUSG00000061740",650,893,1184,1631,2638,2486,2384,1125,2009
"ENSMUSG00000061742",1,1,26,11,19,29,12,5,5
"ENSMUSG00000061751",13963,22441,18959,35218,3293,2307,10449,10917,33115
"ENSMUSG00000061755",1931,2335,3313,6029,9238,8590,6396,2721,5935
"ENSMUSG00000061758",574,903,759,1180,1179,1256,1356,681,1554
"ENSMUSG00000061759",516,474,547,1112,1774,1327,1364,634,1335
"ENSMUSG00000061762",1090,125,498,2497,76,227,356,4393,1282
"ENSMUSG00000061769",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061778",540,751,712,1315,1673,1634,1465,767,1532
"ENSMUSG00000061780",0,2,5,0,6,0,2,0,3
"ENSMUSG00000061787",13950,16339,16204,24386,27005,27406,26590,22259,34284
"ENSMUSG00000061798",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061802",35,67,37,16,316,376,175,33,44
"ENSMUSG00000061808",40140,169,697,57,1476,10098,2852,29,360
"ENSMUSG00000061809",0,2,0,0,0,0,0,0,2
"ENSMUSG00000061815",3,2,1,11,3,5,4,2,8
"ENSMUSG00000061816",22,12,28,47,34,7,44,4,46
"ENSMUSG00000061825",0,0,0,0,0,0,0,0,3
"ENSMUSG00000061829",0,0,0,0,0,0,3,0,1
"ENSMUSG00000061833",0,1,0,1,0,0,0,1,1
"ENSMUSG00000061838",1443,2337,1603,2557,1772,2368,2404,1614,3188
"ENSMUSG00000061843",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061845",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061847",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061848",26,55,36,64,63,57,57,44,63
"ENSMUSG00000061852",0,0,0,1,0,0,0,0,0
"ENSMUSG00000061859",434,546,3169,1712,16091,13592,10346,988,2486
"ENSMUSG00000061863",0,3,0,4,3,0,1,1,2
"ENSMUSG00000061875",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061877",0,1,0,0,1,6,3,0,0
"ENSMUSG00000061878",85,232,105,219,379,221,464,68,220
"ENSMUSG00000061882",56,62,64,179,148,134,102,66,110
"ENSMUSG00000061887",2451,4420,4243,6565,6610,5996,6692,2721,7778
"ENSMUSG00000061894",168,305,289,536,901,716,615,232,509
"ENSMUSG00000061897",19,35,28,53,81,7,10,69,51
"ENSMUSG00000061898",211,215,229,538,1535,1173,849,235,543
"ENSMUSG00000061904",7060,8960,8732,16379,18979,19644,17633,8699,19325
"ENSMUSG00000061906",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061911",4551,5633,6694,13490,6910,5999,6470,5828,11341
"ENSMUSG00000061923",0,2,0,0,0,0,1,4,0
"ENSMUSG00000061928",0,3,2,9,2,1,0,4,7
"ENSMUSG00000061937",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061947",0,0,2,4,3,0,0,0,7
"ENSMUSG00000061950",521,812,859,1575,1924,1673,1607,618,1352
"ENSMUSG00000061952",1,0,0,0,0,0,0,1,1
"ENSMUSG00000061958",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061959",0,0,1,0,0,0,0,0,0
"ENSMUSG00000061961",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061969",0,0,0,0,1,0,0,2,0
"ENSMUSG00000061972",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061974",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061977",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061979",201,260,327,450,724,627,569,263,666
"ENSMUSG00000061981",1590,2294,1757,3684,3484,2737,2837,1476,3514
"ENSMUSG00000061983",11866,14375,15771,23608,14407,19965,20825,20578,33458
"ENSMUSG00000061984",0,0,0,0,0,0,0,0,0
"ENSMUSG00000061988",0,0,0,0,3,0,0,0,0
"ENSMUSG00000061991",2,1,0,3,6,5,1,7,4
"ENSMUSG00000061992",2,0,0,0,0,0,1,0,0
"ENSMUSG00000062006",6460,8852,15607,11195,20214,12595,12124,1367,16646
"ENSMUSG00000062007",0,2,2,5,3,0,2,0,6
"ENSMUSG00000062012",426,699,685,918,1217,815,913,436,1149
"ENSMUSG00000062014",6893,9006,9755,16353,14844,16415,14429,9642,19096
"ENSMUSG00000062017",0,0,2,2,0,0,0,2,2
"ENSMUSG00000062028",5,11,0,31,1,1,0,4,4
"ENSMUSG00000062031",242,341,249,478,566,534,572,259,497
"ENSMUSG00000062036",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062037",0,0,0,0,0,0,0,0,2
"ENSMUSG00000062038",4,4,4,1,2,5,2,3,6
"ENSMUSG00000062040",550,770,711,1227,2120,1670,1475,576,1632
"ENSMUSG00000062042",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062044",708,706,1062,2627,1318,959,1385,768,1692
"ENSMUSG00000062046",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062054",235,250,368,560,937,1097,823,357,621
"ENSMUSG00000062061",0,2,0,0,0,0,0,0,0
"ENSMUSG00000062064",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062070",4153,5157,6005,8488,10845,10292,10744,5075,13499
"ENSMUSG00000062073",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062074",1,4,2,13,3,5,0,0,7
"ENSMUSG00000062075",188,236,392,630,1607,1311,1190,308,611
"ENSMUSG00000062077",7,0,0,103,5,0,4,19,0
"ENSMUSG00000062078",26863,37795,38544,60409,44479,64070,50079,32371,72403
"ENSMUSG00000062081",17,32,30,42,50,47,45,23,61
"ENSMUSG00000062082",4,10,4,13,6,1,8,0,5
"ENSMUSG00000062083",1,0,2,1,1,2,4,1,1
"ENSMUSG00000062093",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062098",8476,17561,19635,25927,49022,34047,34034,7512,25506
"ENSMUSG00000062101",128,171,170,246,542,546,392,189,362
"ENSMUSG00000062103",0,0,0,0,2,0,1,0,0
"ENSMUSG00000062105",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062110",344,526,554,1057,925,905,906,499,1039
"ENSMUSG00000062115",801,1236,1391,2824,2037,1773,2087,930,1970
"ENSMUSG00000062116",283,327,348,574,1347,1110,1074,382,930
"ENSMUSG00000062121",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062124",0,0,0,0,1,0,0,0,0
"ENSMUSG00000062127",650,1144,1013,1928,1805,1976,1651,814,2096
"ENSMUSG00000062128",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062132",3,0,1,25,0,0,6,17,8
"ENSMUSG00000062142",0,0,0,0,1,0,1,0,1
"ENSMUSG00000062148",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062151",5537,6029,8190,23773,35864,29579,22483,16628,20671
"ENSMUSG00000062152",0,0,0,4,0,0,0,2,0
"ENSMUSG00000062154",0,5,3,1,10,5,16,1,3
"ENSMUSG00000062157",7,2,12,21,19,36,32,12,11
"ENSMUSG00000062162",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062165",0,0,0,1,0,0,0,0,0
"ENSMUSG00000062168",21,20,10,34,11,8,1,29,24
"ENSMUSG00000062169",1141,1472,1629,2491,3704,3885,3326,1501,3226
"ENSMUSG00000062170",1,1,0,2,0,4,1,3,1
"ENSMUSG00000062175",41,34,35,69,228,142,123,59,56
"ENSMUSG00000062181",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062184",701,729,1000,2339,2509,2548,2244,2002,3360
"ENSMUSG00000062186",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062190",1310,1624,1643,3835,4015,3992,3787,1248,4556
"ENSMUSG00000062198",92,107,150,327,611,511,403,129,277
"ENSMUSG00000062199",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062200",0,3,7,14,33,28,20,12,3
"ENSMUSG00000062201",0,0,0,0,0,0,0,1,0
"ENSMUSG00000062202",1430,2388,3013,3999,3226,2900,2756,1537,3723
"ENSMUSG00000062203",1858,2323,2511,4253,4958,4612,3944,2000,4799
"ENSMUSG00000062204",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062209",2711,3792,4364,8940,4056,6010,5152,4256,10586
"ENSMUSG00000062210",461,639,585,835,632,839,811,496,1310
"ENSMUSG00000062224",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062226",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062232",4115,5958,5683,12058,8030,7517,7547,5569,10776
"ENSMUSG00000062234",1821,2614,2859,4922,5958,5003,4467,2088,4890
"ENSMUSG00000062235",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062245",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062248",35,29,45,25,85,61,87,43,51
"ENSMUSG00000062252",40,40,171,151,238,150,192,202,205
"ENSMUSG00000062257",4109,6533,4389,10632,8039,6613,7380,2949,11953
"ENSMUSG00000062270",4414,5512,5237,10287,10813,9701,9809,5252,12923
"ENSMUSG00000062272",0,0,0,2,0,0,0,0,0
"ENSMUSG00000062275",0,0,0,1,0,0,0,0,2
"ENSMUSG00000062278",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062279",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062282",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062284",7,18,20,32,52,31,27,4,28
"ENSMUSG00000062296",1606,2779,3032,12474,2226,2332,2385,3548,4931
"ENSMUSG00000062300",77,72,222,204,324,248,331,122,305
"ENSMUSG00000062309",114,128,103,215,99,102,212,90,418
"ENSMUSG00000062310",7,7,6,16,1,1,8,2,10
"ENSMUSG00000062312",80,99,74,212,312,252,228,92,176
"ENSMUSG00000062314",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062319",38,45,49,314,11,8,24,20,77
"ENSMUSG00000062327",0,4,1,5,3,0,0,1,1
"ENSMUSG00000062328",14110,18498,18490,27128,23039,25624,27908,23590,44014
"ENSMUSG00000062329",25,15,13,136,19,38,36,61,78
"ENSMUSG00000062342",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062345",0,0,0,1,0,8,11,3,2
"ENSMUSG00000062352",778,736,1072,1807,4296,3540,4236,1977,1622
"ENSMUSG00000062353",125,184,213,284,223,212,225,210,347
"ENSMUSG00000062365",1,0,0,4,0,0,0,0,1
"ENSMUSG00000062369",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062372",190,245,201,1593,109,153,360,475,466
"ENSMUSG00000062373",2973,4125,3729,7586,9439,8766,8051,2947,8590
"ENSMUSG00000062376",382,516,487,963,1035,843,956,468,1246
"ENSMUSG00000062380",4335,4587,9059,11749,5472,6575,11615,6847,13736
"ENSMUSG00000062382",25,41,18,72,35,87,63,38,68
"ENSMUSG00000062391",0,0,6,15,27,1,14,3,10
"ENSMUSG00000062393",2,5,137,404,20,29,37,327,348
"ENSMUSG00000062397",4010,4615,6278,9084,10898,11026,9873,5025,10810
"ENSMUSG00000062400",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062410",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062421",1142,1552,1718,2627,4913,4288,3922,1771,3743
"ENSMUSG00000062426",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062432",4,1,2,25,6,9,0,0,3
"ENSMUSG00000062433",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062434",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062438",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062444",1901,2125,3244,5641,6521,4780,5452,2279,5969
"ENSMUSG00000062456",124,215,160,230,153,176,245,225,368
"ENSMUSG00000062458",0,4,0,5,1,0,2,0,1
"ENSMUSG00000062461",0,3,1,5,4,4,7,3,3
"ENSMUSG00000062464",1,0,0,0,3,1,0,0,2
"ENSMUSG00000062470",61,65,68,221,215,187,134,132,201
"ENSMUSG00000062472",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062477",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062478",0,0,0,0,0,0,1,0,0
"ENSMUSG00000062480",329,625,482,617,140,156,297,580,885
"ENSMUSG00000062483",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062488",234,312,282,449,551,490,456,384,626
"ENSMUSG00000062496",0,0,0,0,0,0,0,2,0
"ENSMUSG00000062497",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062510",14,11,20,36,61,51,28,15,30
"ENSMUSG00000062511",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062515",8,10,6,5,63,1,4,10,4
"ENSMUSG00000062518",0,0,0,3,4,5,2,0,1
"ENSMUSG00000062519",755,998,1288,2200,3535,2922,2411,836,2150
"ENSMUSG00000062524",0,0,0,4,1,1,3,0,1
"ENSMUSG00000062526",346,329,327,797,1032,847,753,402,920
"ENSMUSG00000062527",0,0,0,3,0,0,0,0,0
"ENSMUSG00000062528",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062542",174,149,2491,523,4140,3963,2230,419,788
"ENSMUSG00000062543",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062545",33,28,6,57,36,25,41,28,29
"ENSMUSG00000062546",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062551",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062553",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062554",10,2,14,2,2,1,28,3,17
"ENSMUSG00000062556",0,0,0,0,0,0,2,0,0
"ENSMUSG00000062561",66,97,79,224,513,411,291,123,253
"ENSMUSG00000062563",99,168,182,242,156,155,278,112,603
"ENSMUSG00000062564",2,0,0,0,0,0,0,0,0
"ENSMUSG00000062580",2539,3870,3570,5582,6859,6039,6090,3318,8318
"ENSMUSG00000062582",3,6,4,5,5,5,4,2,8
"ENSMUSG00000062585",5,13,22,25,17,31,20,14,16
"ENSMUSG00000062588",4,3,3,2,4,3,2,2,1
"ENSMUSG00000062590",282,436,473,1097,776,670,656,514,910
"ENSMUSG00000062591",3053,2622,4771,8601,15122,18073,14004,2558,9998
"ENSMUSG00000062593",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062598",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062604",4821,6727,7220,11454,12354,11859,10886,5278,14509
"ENSMUSG00000062608",0,0,0,0,0,4,0,0,0
"ENSMUSG00000062609",1,0,2,1,15,3,6,1,14
"ENSMUSG00000062611",1096,1478,175,1884,1673,214,1919,1527,3189
"ENSMUSG00000062619",40,32,45,94,95,103,134,38,100
"ENSMUSG00000062621",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062624",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062627",1080,1335,1492,2989,4834,3976,3246,1155,2864
"ENSMUSG00000062629",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062638",0,1,0,0,0,0,0,1,0
"ENSMUSG00000062646",312,379,434,786,877,904,683,420,767
"ENSMUSG00000062647",9106,12525,12696,18471,18837,20239,19547,13329,23643
"ENSMUSG00000062649",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062651",0,0,0,0,1,0,0,0,0
"ENSMUSG00000062661",14688,24741,26885,38389,13915,12980,19718,18966,34994
"ENSMUSG00000062683",1143,1656,1689,2381,3798,2858,3142,1777,2787
"ENSMUSG00000062687",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062691",398,595,670,840,1621,1382,1664,667,1654
"ENSMUSG00000062694",1,0,1,5,23,13,13,1,7
"ENSMUSG00000062704",4,5,14,10,29,15,13,4,20
"ENSMUSG00000062705",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062712",0,0,3,0,0,0,0,1,0
"ENSMUSG00000062713",0,4,6,7,0,0,4,2,1
"ENSMUSG00000062727",38,12,19,37,35,43,45,43,53
"ENSMUSG00000062729",150,229,283,451,848,719,543,180,497
"ENSMUSG00000062732",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062737",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062742",0,0,1,8,2,1,1,0,0
"ENSMUSG00000062743",85,64,165,172,297,398,231,108,304
"ENSMUSG00000062751",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062753",655,918,823,1342,1645,1875,2109,778,2060
"ENSMUSG00000062757",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062758",1,1,1,1,1,1,1,2,1
"ENSMUSG00000062760",1166,977,7056,4936,408,698,1084,1463,2825
"ENSMUSG00000062761",1068,1448,1933,2868,3612,3277,2957,1589,3386
"ENSMUSG00000062762",2262,3172,2821,5061,7122,5950,5531,2578,5381
"ENSMUSG00000062773",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062778",23,16,26,67,17,9,13,102,27
"ENSMUSG00000062782",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062783",0,0,0,0,0,0,2,0,0
"ENSMUSG00000062785",754,1245,1197,2188,16845,9771,10352,394,2629
"ENSMUSG00000062791",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062793",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062794",124,110,122,229,885,494,418,139,255
"ENSMUSG00000062797",957,1103,1176,2107,2856,2523,2651,1402,2652
"ENSMUSG00000062814",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062818",0,0,0,0,0,4,0,1,1
"ENSMUSG00000062822",151,353,721,515,1863,2096,1091,654,906
"ENSMUSG00000062825",5862,6808,7343,13536,9702,8353,9771,6866,14901
"ENSMUSG00000062826",0,0,0,0,0,0,2,0,0
"ENSMUSG00000062833",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062844",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062846",5,11,13,18,14,12,27,10,25
"ENSMUSG00000062859",0,2,5,18,2,6,10,9,5
"ENSMUSG00000062861",155,189,224,435,689,570,487,243,449
"ENSMUSG00000062866",1099,1347,2452,4102,4015,2917,2673,1079,2360
"ENSMUSG00000062867",563,664,766,1333,2090,1956,1772,950,1957
"ENSMUSG00000062868",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062873",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062874",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062878",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062892",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062896",6,12,7,19,8,8,10,4,12
"ENSMUSG00000062901",3776,4996,6221,9984,11730,10060,9588,4970,10917
"ENSMUSG00000062905",0,1,0,0,0,0,0,0,11
"ENSMUSG00000062906",98,160,205,336,666,494,430,84,288
"ENSMUSG00000062908",1289,1974,1836,2437,3230,3156,2877,1660,3459
"ENSMUSG00000062914",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062929",2158,2547,2890,4856,6573,7099,5813,3028,6681
"ENSMUSG00000062931",765,1085,982,1575,2899,2244,2270,1085,2329
"ENSMUSG00000062933",1151,1255,1622,2027,2930,2545,3023,1629,3335
"ENSMUSG00000062937",215,375,315,433,768,627,582,286,903
"ENSMUSG00000062939",15,47,9,86,2,7,22,24,49
"ENSMUSG00000062944",84,159,227,325,436,401,345,165,263
"ENSMUSG00000062949",574,560,761,1096,3016,1931,1679,591,1324
"ENSMUSG00000062952",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062960",600,725,397,1402,1221,825,881,516,1359
"ENSMUSG00000062961",319,615,592,1106,957,656,783,395,1207
"ENSMUSG00000062962",0,0,0,1,1,0,1,0,0
"ENSMUSG00000062963",2234,3456,3137,4129,6102,5415,5445,2980,6856
"ENSMUSG00000062980",303,808,342,930,642,528,671,350,789
"ENSMUSG00000062981",1102,1759,1525,2196,3340,3959,3046,1582,4045
"ENSMUSG00000062987",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062991",578,699,758,1740,722,1553,1090,716,1954
"ENSMUSG00000062995",731,780,1005,2062,2079,2011,1910,995,2606
"ENSMUSG00000062997",9061,12443,12790,18068,15392,16699,17968,15251,20734
"ENSMUSG00000063001",1,0,1,1,0,4,1,0,1
"ENSMUSG00000063011",46,117,47,64,71,19,141,12,83
"ENSMUSG00000063015",10613,18324,15232,20791,22294,23309,19874,9278,26110
"ENSMUSG00000063018",476,823,688,1220,140,191,472,1254,1257
"ENSMUSG00000063019",938,1177,1182,1886,2341,2012,2397,1229,2090
"ENSMUSG00000063020",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063021",18,20,35,29,98,102,102,46,53
"ENSMUSG00000063047",596,739,893,1416,2765,1928,1792,620,1651
"ENSMUSG00000063049",519,748,514,1102,839,681,1031,413,1541
"ENSMUSG00000063052",733,810,859,1569,2483,2127,1837,1005,2158
"ENSMUSG00000063058",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063060",43,51,30,83,52,51,65,36,87
"ENSMUSG00000063063",5192,7153,6487,11262,5852,6261,6695,6008,13394
"ENSMUSG00000063065",1966,2458,2871,6768,3392,3336,4015,2780,4934
"ENSMUSG00000063077",28786,38552,37585,77908,72717,69745,59472,25622,77566
"ENSMUSG00000063087",49,59,303,226,350,260,247,150,214
"ENSMUSG00000063089",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063106",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063108",884,1105,1294,2588,5687,3666,2870,1197,2719
"ENSMUSG00000063109",1,23,11,15,6,11,16,10,4
"ENSMUSG00000063116",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063120",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063129",0,1,0,2,3,4,1,0,1
"ENSMUSG00000063130",4,4,1,3,43,14,14,0,5
"ENSMUSG00000063133",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063137",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063142",6879,11845,12600,21975,17683,11514,12326,4635,19601
"ENSMUSG00000063145",211,234,246,503,766,559,570,276,573
"ENSMUSG00000063146",1745,2288,2661,4642,2979,3379,3780,1789,4325
"ENSMUSG00000063157",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063160",954,1507,1244,2758,2073,1792,2082,1048,2049
"ENSMUSG00000063163",0,0,0,0,0,0,0,1,0
"ENSMUSG00000063166",0,0,0,0,1,0,0,0,0
"ENSMUSG00000063171",48,50,116,330,251,430,310,201,488
"ENSMUSG00000063172",319,367,433,680,1037,1006,903,537,795
"ENSMUSG00000063173",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063176",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063177",0,0,0,2,2,2,7,4,0
"ENSMUSG00000063179",446,480,561,1022,1164,1094,999,474,1274
"ENSMUSG00000063188",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063193",0,0,0,2,57,36,29,1,2
"ENSMUSG00000063200",751,954,964,1537,3799,3675,2767,1329,2378
"ENSMUSG00000063206",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063216",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063221",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063225",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063229",4062,5239,4485,8870,8569,8133,8245,4771,11219
"ENSMUSG00000063230",0,0,0,0,0,0,1,0,0
"ENSMUSG00000063232",0,0,0,5,0,1,0,1,6
"ENSMUSG00000063234",19,5,16,20,15,18,23,30,21
"ENSMUSG00000063235",1031,1354,1145,1706,2534,2412,2360,1243,2496
"ENSMUSG00000063236",230,268,304,538,821,704,755,334,553
"ENSMUSG00000063239",495,398,2024,902,17096,14989,10193,875,1446
"ENSMUSG00000063240",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063245",2,7,4,4,9,4,5,0,5
"ENSMUSG00000063251",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063252",0,0,0,0,0,0,0,0,0
"ENSMUSG00000063253",2494,2391,4117,5296,6755,7834,6662,3777,10770
"ENSMUSG00000063260",101,32,331,671,1371,844,831,418,442
"ENSMUSG00000063268",50,80,67,140,144,121,152,54,137
