"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000115801",3.01,3,0,9,12.01
"ENSMUSG00000115802",0,1,0,2,0
"ENSMUSG00000115803",0,0,0,0,0
"ENSMUSG00000115804",0,0,0,0,0
"ENSMUSG00000115805",0,0,0,0,0
"ENSMUSG00000115806",0,0,0,0,0
"ENSMUSG00000115807",0,0,0,0,0
"ENSMUSG00000115808",1,0,3,2,1
"ENSMUSG00000115809",0,0,0,0,0
"ENSMUSG00000115810",0,3,1,7,7
"ENSMUSG00000115811",0,0,0,0,0
"ENSMUSG00000115812",2,0,0,0,0
"ENSMUSG00000115813",3,1,5,1,3
"ENSMUSG00000115814",0,0,0,0,0
"ENSMUSG00000115815",0,0,0,0,0
"ENSMUSG00000115816",1,4,4,1,1
"ENSMUSG00000115817",0,0,0,0,0
"ENSMUSG00000115818",0,0,0,0,0
"ENSMUSG00000115819",0,0,0,0,0
"ENSMUSG00000115820",0,0,0,0,0
"ENSMUSG00000115821",0,0,0,0,0
"ENSMUSG00000115822",0,0,0,0,0
"ENSMUSG00000115823",0,1.29,1.18,0,0
"ENSMUSG00000115824",0,0,0,0,0
"ENSMUSG00000115825",0,0,0,0,0
"ENSMUSG00000115826",0,0,0,0,0
"ENSMUSG00000115827",0,0,0,0,0
"ENSMUSG00000115828",0,0,0,0,0
"ENSMUSG00000115829",2.01,1,0,1,2.01
"ENSMUSG00000115830",0,0,0,0,0
"ENSMUSG00000115831",0,0,0,0,0
"ENSMUSG00000115832",0,0,0,0,0
"ENSMUSG00000115833",1,0,0,0,0
"ENSMUSG00000115834",0,2,0,1,1
"ENSMUSG00000115835",0,0,0,0,0
"ENSMUSG00000115836",0,0,0,1,0
"ENSMUSG00000115837",8,3,6,16,4
"ENSMUSG00000115838",0,0,0,0,0
"ENSMUSG00000115839",0,0,0,0,0
"ENSMUSG00000115840",0,0,0,0,0
"ENSMUSG00000115841",0,0,0,0,0
"ENSMUSG00000115842",0,0,0,0,0
"ENSMUSG00000115843",0,0,0,0,0
"ENSMUSG00000115844",0,0,0,0,0
"ENSMUSG00000115845",0,0,0,0,0
"ENSMUSG00000115846",0,0,0,1,0
"ENSMUSG00000115847",0,0,0,0,0
"ENSMUSG00000115848",0,0,1,0,0
"ENSMUSG00000115849",0,0,0,0,0
"ENSMUSG00000115850",0,0,0,0,0
"ENSMUSG00000115852",20.47,29.06,8.99,32.42,39.17
"ENSMUSG00000115854",0,0,0,0,0
"ENSMUSG00000115855",0,0,2,1,2
"ENSMUSG00000115856",0,0,1,0,1
"ENSMUSG00000115858",0,0,0,0,0
"ENSMUSG00000115860",0,0,0,0,0
"ENSMUSG00000115862",0,0,0,0,0
"ENSMUSG00000115863",0,0,0,0,0
"ENSMUSG00000115866",0,0,0,0,0
"ENSMUSG00000115867",0,2,0,0,0
"ENSMUSG00000115868",1.01,1.02,1.02,0,0
"ENSMUSG00000115869",5,4,3,1,5
"ENSMUSG00000115871",0,0,0,0,0
"ENSMUSG00000115875",0,0,0,0,0
"ENSMUSG00000115877",0,0,0,0,0
"ENSMUSG00000115880",0,0,0,0,0
"ENSMUSG00000115882",0,0,0,0,0
"ENSMUSG00000115885",0,0,0,0,0
"ENSMUSG00000115887",0,0,0,0,0
"ENSMUSG00000115888",0,0,0,0,0
"ENSMUSG00000115894",0,0,0,0,0
"ENSMUSG00000115896",0,0,0,0,0
"ENSMUSG00000115898",0,0,0,0,0
"ENSMUSG00000115902",177.06,250.53,324.6,319.76,266.36
"ENSMUSG00000115903",0,0,0,0,0
"ENSMUSG00000115907",0,0,0,0,0
"ENSMUSG00000115908",0,0,0,0,0
"ENSMUSG00000115911",0,0,0,3,2
"ENSMUSG00000115912",0,1,0,0,0
"ENSMUSG00000115914",0,0,0,0,0
"ENSMUSG00000115916",0,0,0,0,0
"ENSMUSG00000115917",0,0,0,0,0
"ENSMUSG00000115918",6,3,12,4,3
"ENSMUSG00000115919",0,1,0,1,1
"ENSMUSG00000115920",0,0,0,0,0
"ENSMUSG00000115921",0,0,0,0,0
"ENSMUSG00000115923",1.09,1.05,1.06,7.37,3.31
"ENSMUSG00000115924",0,0,0,0,0
"ENSMUSG00000115925",0,0,0,0,0
"ENSMUSG00000115926",8,1,1,3,3
"ENSMUSG00000115928",0,0,0,0,0
"ENSMUSG00000115930",0,0,0,0,0
"ENSMUSG00000115931",0,0,0,0,0
"ENSMUSG00000115935",0,0,0,0,0
"ENSMUSG00000115936",0,0,0,0,0
"ENSMUSG00000115938",0,0,0,0,0
"ENSMUSG00000115943",0,0,0,0,0
"ENSMUSG00000115944",0,0,0,0,0
"ENSMUSG00000115946",1,0,9,0,0
"ENSMUSG00000115948",0,0,0,0,0
"ENSMUSG00000115952",0,0,0,0,0
"ENSMUSG00000115955",2,1,1,1,1
"ENSMUSG00000115957",0,0,0,0,0
"ENSMUSG00000115958",0,0,0,0,0
"ENSMUSG00000115959",0,0,0,0,0
"ENSMUSG00000115961",3,0,3,3,0
"ENSMUSG00000115962",0,0,0,0,0
"ENSMUSG00000115964",0,0,0,0,0
"ENSMUSG00000115965",0,0,0,0,0
"ENSMUSG00000115968",0,0,0,0,0
"ENSMUSG00000115969",2,5,4,5,5
"ENSMUSG00000115970",0,0,0,0,0
"ENSMUSG00000115971",0,0,0,0,0
"ENSMUSG00000115973",0,0,0,0,0
"ENSMUSG00000115975",0,0,0,0,0
"ENSMUSG00000115976",0,1,1,2,1
"ENSMUSG00000115979",0,1,0,0,2
"ENSMUSG00000115980",0,0,1,0,0
"ENSMUSG00000115983",0,0,0,0,0
"ENSMUSG00000115985",0,0,0,0,0
"ENSMUSG00000115986",6,1,0,4,2
"ENSMUSG00000115987",677,525,1131,884,533
"ENSMUSG00000115988",0,0,0,0,0
"ENSMUSG00000115989",0,0,0,0,0
"ENSMUSG00000115992",2,0,0,0,0
"ENSMUSG00000115993",0,0,0,0,0
"ENSMUSG00000115996",0,0,0,0,0
"ENSMUSG00000115997",0,0,0,0,0
"ENSMUSG00000116000",0,0,0,0,0
"ENSMUSG00000116004",1,2,3,1,1
"ENSMUSG00000116007",0,0,0,0,0
"ENSMUSG00000116008",0,0,0,0,0
"ENSMUSG00000116009",1,2,2,6,1
"ENSMUSG00000116010",0,0,0,0,0
"ENSMUSG00000116011",0,0,0,0,0
"ENSMUSG00000116013",0,0,0,0,0
"ENSMUSG00000116016",0,0,2.54,0,3.3
"ENSMUSG00000116017",0,0,0,0,0
"ENSMUSG00000116021",1,0,1,0,2
"ENSMUSG00000116024",0,1.71,0,0,2.66
"ENSMUSG00000116025",0,0,0,0,0
"ENSMUSG00000116029",0,0,0,0,0
"ENSMUSG00000116030",0,2.33,0,0,0
"ENSMUSG00000116031",0,0,0,0,0
"ENSMUSG00000116033",0,1.24,2.78,4.16,3.02
"ENSMUSG00000116038",0,0,0,0,0
"ENSMUSG00000116039",0,0,0,0,0
"ENSMUSG00000116040",0,0,0,0,0
"ENSMUSG00000116041",0,0,0,0,0
"ENSMUSG00000116044",0,0,0,0,0
"ENSMUSG00000116045",243.83,215.55,380.12,271.8,155.61
"ENSMUSG00000116048",137.33,152.45,104.11,149.61,188.42
"ENSMUSG00000116056",0,0,1,0,2
"ENSMUSG00000116057",0,0,0,0,0
"ENSMUSG00000116058",0,0,0,0,0
"ENSMUSG00000116061",0,0,0,0,0
"ENSMUSG00000116066",0,0,0,0,0
"ENSMUSG00000116068",0,0,0,0,0
"ENSMUSG00000116069",0,0,0,0,0
"ENSMUSG00000116071",0,0,0,0,0
"ENSMUSG00000116072",0,0,0,0,0
"ENSMUSG00000116074",0,0,0,0,0
"ENSMUSG00000116075",0,0,0,0,0
"ENSMUSG00000116079",0,0,0,0,0
"ENSMUSG00000116081",0,0,0,0,0
"ENSMUSG00000116083",0,0,0,0,1.07
"ENSMUSG00000116088",0,0,0,0,0
"ENSMUSG00000116089",0,0,0,0,0
"ENSMUSG00000116090",2.2,1.03,2.17,1.06,0
"ENSMUSG00000116091",0,0,0,0,0
"ENSMUSG00000116092",0,0,0,0,0
"ENSMUSG00000116093",0,0,0,0,0
"ENSMUSG00000116095",0,0,0,0,0
"ENSMUSG00000116096",0,0,0,0,0
"ENSMUSG00000116097",23,17,24,20,14
"ENSMUSG00000116102",0,0,0,0,0
"ENSMUSG00000116104",0,0,0,0,0
"ENSMUSG00000116107",0,0,0,0,0
"ENSMUSG00000116109",0,1,3,1,0
"ENSMUSG00000116113",0,0,0,0,0
"ENSMUSG00000116114",33.5,63.67,97.52,91.27,84
"ENSMUSG00000116116",0,0,0,0,0
"ENSMUSG00000116117",0,0,0,0,0
"ENSMUSG00000116118",0,0,0,0,0
"ENSMUSG00000116120",0,0,0,1,0
"ENSMUSG00000116121",2.45,0,2.61,0,3.71
"ENSMUSG00000116122",0,0,0,0,0
"ENSMUSG00000116123",0,0,0,0,0
"ENSMUSG00000116124",0,0,0,0,0
"ENSMUSG00000116125",0,0,0,0,0
"ENSMUSG00000116127",0,0,0,0,0
"ENSMUSG00000116129",0,0,0,0,0
"ENSMUSG00000116130",0,0,0,0,0
"ENSMUSG00000116131",0,0,0,0,0
"ENSMUSG00000116132",0,0,0,0,0
"ENSMUSG00000116136",0,0,0,0,0
"ENSMUSG00000116138",90,80,157,146,95
"ENSMUSG00000116140",0,0,0,0,0
"ENSMUSG00000116141",0,0,0,0,0
"ENSMUSG00000116145",7.55,1.05,6,5,3.29
"ENSMUSG00000116149",0,0,0,0,0
"ENSMUSG00000116150",0,0,0,0,0
"ENSMUSG00000116151",0,0,0,0,0
"ENSMUSG00000116155",0,0,0,0,0
"ENSMUSG00000116157",0,0,0,0,0
"ENSMUSG00000116158",0,0,0,1,0
"ENSMUSG00000116160",2,0,1,1,3
"ENSMUSG00000116162",1.09,0,0,0,0
"ENSMUSG00000116164",2,1,4,0,0
"ENSMUSG00000116165",73,57,88,73,60
"ENSMUSG00000116166",0,0,0,0,0
"ENSMUSG00000116167",0,0,0,0,0
"ENSMUSG00000116168",0,0,0,0,0
"ENSMUSG00000116170",0,0,0,0,0
"ENSMUSG00000116171",0,0,0,0,0
"ENSMUSG00000116173",0,0,0,0,0
"ENSMUSG00000116174",0,0,0,0,1.02
"ENSMUSG00000116178",0,0,0,0,0
"ENSMUSG00000116179",0,0,0,0,0
"ENSMUSG00000116180",13,20,20,23,31
"ENSMUSG00000116182",0,0,0,0,0
"ENSMUSG00000116183",0,0,0,0,0
"ENSMUSG00000116184",6.42,5.17,0,3.44,4.05
"ENSMUSG00000116185",0,0,0,1,0
"ENSMUSG00000116187",0,0,0,0,0
"ENSMUSG00000116188",0,0,0,0,0
"ENSMUSG00000116190",0,0,0,0,0
"ENSMUSG00000116191",0,0,0,0,0
"ENSMUSG00000116192",0,0,1,0,0
"ENSMUSG00000116194",0,0,0,0,0
"ENSMUSG00000116197",0,0,0,0,0
"ENSMUSG00000116199",0,0,0,0,1
"ENSMUSG00000116202",0,0,0,0,0
"ENSMUSG00000116204",0,0,0,0,0
"ENSMUSG00000116207",0,0,0,0,0
"ENSMUSG00000116210",0,0,0,0,0
"ENSMUSG00000116212",0,0,0,0,0
"ENSMUSG00000116213",0,0,0,0,0
"ENSMUSG00000116215",1.02,0,3.03,2.06,2.02
"ENSMUSG00000116217",0,0,1,0,0
"ENSMUSG00000116219",0,0,0,0,0
"ENSMUSG00000116220",44.3,25.11,41.75,60.4,36.51
"ENSMUSG00000116222",0,0,0,0,0
"ENSMUSG00000116223",0,1,0,2,0
"ENSMUSG00000116226",6,18,36,38,26
"ENSMUSG00000116227",0,0,0,0,0
"ENSMUSG00000116229",0,0,0,0,0
"ENSMUSG00000116231",0,0,0,0,0
"ENSMUSG00000116234",0,0,0,0,0
"ENSMUSG00000116237",0,0,0,0,1
"ENSMUSG00000116238",2,5,2,1,3
"ENSMUSG00000116239",0,0,0,0,0
"ENSMUSG00000116241",0,0,0,0,0
"ENSMUSG00000116242",0,0,0,0,0
"ENSMUSG00000116243",0,0,0,0,0
"ENSMUSG00000116244",0,0,0,0,0
"ENSMUSG00000116245",0,0,0,0,0
"ENSMUSG00000116246",0,0,0,0,0
"ENSMUSG00000116247",0,0,0,0,0
"ENSMUSG00000116249",12,14,18,19,12
"ENSMUSG00000116250",3.05,3,1,2,2
"ENSMUSG00000116253",0,0,0,0,0
"ENSMUSG00000116255",0,0,0,0,0
"ENSMUSG00000116256",0,0,0,0,0
"ENSMUSG00000116260",0,0,0,0,0
"ENSMUSG00000116262",0,2.01,2.03,0,0
"ENSMUSG00000116263",0,0,0,0,0
"ENSMUSG00000116265",0,0,0,0,0
"ENSMUSG00000116270",0,0,0,0,0
"ENSMUSG00000116272",0,0,0,0,0
"ENSMUSG00000116274",6,6,6,10,5
"ENSMUSG00000116275",1155.14,1109.36,830.45,1754.36,827.29
"ENSMUSG00000116280",0,0,0,0,0
"ENSMUSG00000116283",2,1,2,1,1
"ENSMUSG00000116284",0,0,0,0,0
"ENSMUSG00000116287",0,0,0,1,0
"ENSMUSG00000116288",0,0,0,0,0
"ENSMUSG00000116289",1,0,0,0,6
"ENSMUSG00000116290",0,1,0,1,0
"ENSMUSG00000116291",2,0,1,0,0
"ENSMUSG00000116292",0,0,0,0,0
"ENSMUSG00000116294",0,0,0,0,0
"ENSMUSG00000116295",0,0,0,0,0
"ENSMUSG00000116296",0,0,0,0,0
"ENSMUSG00000116297",0,0,0,0,0
"ENSMUSG00000116298",0,0,0,0,0
"ENSMUSG00000116299",0,0,0,0,0
"ENSMUSG00000116300",0,0,0,0,0
"ENSMUSG00000116301",0,0,0,0,0
"ENSMUSG00000116303",0,0,0,0,0
"ENSMUSG00000116304",0,0,0,0,0
"ENSMUSG00000116305",4,3,13,17,4
"ENSMUSG00000116307",0,1,0,1,0
"ENSMUSG00000116308",0,0,0.78,0,0
"ENSMUSG00000116309",0,0,0,0,0
"ENSMUSG00000116311",0,0,0,0,0
"ENSMUSG00000116314",0,0,0,0,0
"ENSMUSG00000116317",0,0,0,0,0
"ENSMUSG00000116319",0,0,0,0,0
"ENSMUSG00000116321",0,0,0,0,0
"ENSMUSG00000116323",0,0,0,0,0
"ENSMUSG00000116324",0,0,0,0,0
"ENSMUSG00000116325",0,0,0,0,0
"ENSMUSG00000116331",0,0,0,0,0
"ENSMUSG00000116335",0,0,0,0,0
"ENSMUSG00000116336",0,0,0,0,0
"ENSMUSG00000116338",0,0,0,0,1.16
"ENSMUSG00000116339",0,0,0,0,0
"ENSMUSG00000116341",0,0,0,0,0
"ENSMUSG00000116343",0,0,0,0,0
"ENSMUSG00000116345",0,0,0,0,1
"ENSMUSG00000116347",0,0,0,0,0
"ENSMUSG00000116348",0,0,0,0,0
"ENSMUSG00000116350",0,0,0,0,0
"ENSMUSG00000116352",0,0,0,0,0
"ENSMUSG00000116353",0,0,0,0,0
"ENSMUSG00000116354",0,0,0,0,0
"ENSMUSG00000116355",0,0,0,0,0
"ENSMUSG00000116356",0,0,0,0,0
"ENSMUSG00000116358",123.98,11.97,60.28,198.83,40.34
"ENSMUSG00000116360",0,0,0,0,0
"ENSMUSG00000116365",0,0,0,0,0
"ENSMUSG00000116366",0,0,0,0,0
"ENSMUSG00000116367",0,0,0,0,0
"ENSMUSG00000116368",0,0,0,0,0
"ENSMUSG00000116371",0,0,0,0,0
"ENSMUSG00000116376",0,0,0,0,0
"ENSMUSG00000116378",0.26,0.33,0,0,26.35
"ENSMUSG00000116380",40,31,63,39,25
"ENSMUSG00000116383",0,3,1,3.91,8
"ENSMUSG00000116384",0,0,0,0,0
"ENSMUSG00000116385",0,0,0,0,0
"ENSMUSG00000116386",0,0,1,0,0
"ENSMUSG00000116388",0,0,0,0,0
"ENSMUSG00000116389",0,0,0,0,0
"ENSMUSG00000116395",0,2,0,0,0
"ENSMUSG00000116396",0,0,1,0,0
"ENSMUSG00000116397",0,0,0,0,0
"ENSMUSG00000116398",0,0,0,0,0
"ENSMUSG00000116400",0,0,0,0,0
"ENSMUSG00000116402",0,1,0,0,0
"ENSMUSG00000116403",0,0,0,0,0
"ENSMUSG00000116404",0,0,0,0,0
"ENSMUSG00000116406",0,0,0,0,0
"ENSMUSG00000116409",8,6,9,6,5
"ENSMUSG00000116412",0,0,0,0,0
"ENSMUSG00000116413",0,0,0,0,0
"ENSMUSG00000116414",0,0,0,0,0
"ENSMUSG00000116416",0,0,0,0,0
"ENSMUSG00000116419",0,0,0,0,0
"ENSMUSG00000116423",0,1,0,0,0
"ENSMUSG00000116424",0,0,0,0,0
"ENSMUSG00000116426",0,0,0,0,0
"ENSMUSG00000116428",0,0,0,0,0
"ENSMUSG00000116429",0,0,0,0,0
"ENSMUSG00000116433",130,56,66,70,76
"ENSMUSG00000116435",0,1,0,0,0
"ENSMUSG00000116437",0,0,0,0,0
"ENSMUSG00000116438",9,4,7,11,2
"ENSMUSG00000116439",0,0,0,0,0
"ENSMUSG00000116441",0,0,0,0,0
"ENSMUSG00000116442",1,3,8,10,5
"ENSMUSG00000116445",0,0,0,0,0
"ENSMUSG00000116449",0,0,0,0,0
"ENSMUSG00000116450",0,0,0,0,0
"ENSMUSG00000116455",0,0,0,0,0
"ENSMUSG00000116461",0.01,31.92,53.27,60,54.55
"ENSMUSG00000116464",0,0,0,0,0
"ENSMUSG00000116467",0,0,0,0,0
"ENSMUSG00000116469",0,0,0,0,0
"ENSMUSG00000116472",0,0,0,0,0
"ENSMUSG00000116475",0,0,0.5,0,1
"ENSMUSG00000116478",0,1,0,1,1
"ENSMUSG00000116480",1,0,0,0,0
"ENSMUSG00000116481",0,0,0,0,0
"ENSMUSG00000116482",0,0,0,0,0
"ENSMUSG00000116483",0,0,0,0,0
"ENSMUSG00000116490",0,0,0,0,0
"ENSMUSG00000116491",0,0,0,0,0
"ENSMUSG00000116493",0,0,0,0,0
"ENSMUSG00000116494",2,3,0,1,2
"ENSMUSG00000116498",0,0,0,0,0
"ENSMUSG00000116499",0,0,0,0,0
"ENSMUSG00000116500",0,0,0,0,0
"ENSMUSG00000116504",244,184,207,240,196
"ENSMUSG00000116505",3,5,4,3,1
"ENSMUSG00000116506",3,0,1,0,6
"ENSMUSG00000116508",8.04,13,14.02,10.02,5.86
"ENSMUSG00000116514",0,0,0,0,0
"ENSMUSG00000116516",0,0,0,0,0
"ENSMUSG00000116518",1,3,2,6,2
"ENSMUSG00000116519",0,0,0,0,0
"ENSMUSG00000116520",0,0,0,0,0
"ENSMUSG00000116521",0,0,0,0,0
"ENSMUSG00000116525",1,0,0,0,0
"ENSMUSG00000116528",0,0,0,0,0
"ENSMUSG00000116529",0,0,0,0,0
"ENSMUSG00000116530",3,4,2,2,8
"ENSMUSG00000116531",0,0,0,0,0
"ENSMUSG00000116532",0,0,0,0,0
"ENSMUSG00000116533",0,0,0,0,0
"ENSMUSG00000116534",1,0,3,1,1
"ENSMUSG00000116535",0,0,0,0,0
"ENSMUSG00000116536",0,0,0,0,0
"ENSMUSG00000116537",0,0,0,0,0
"ENSMUSG00000116538",0,0,0,0,0
"ENSMUSG00000116539",0,0,0,0,0
"ENSMUSG00000116540",0,1,0,0,0
"ENSMUSG00000116542",0,0,0,0,0
"ENSMUSG00000116543",0,0,0,0,0
"ENSMUSG00000116544",0,0,0,0,0
"ENSMUSG00000116545",0,0,0,0,0
"ENSMUSG00000116546",0,0,0,0,0
"ENSMUSG00000116547",0,0,0,0,0
"ENSMUSG00000116548",0,0.94,0,0,0
"ENSMUSG00000116549",1,0,0,0,0
"ENSMUSG00000116550",0,0,0,0,0
"ENSMUSG00000116551",0,0,0,0,0
"ENSMUSG00000116552",0,0,0,0,0
"ENSMUSG00000116553",0,0,0,0,0
"ENSMUSG00000116554",1,0,0,0,1
"ENSMUSG00000116555",0,0,0,0,0
"ENSMUSG00000116556",0,0,0,0,0
"ENSMUSG00000116557",0,3,1,0,2
"ENSMUSG00000116558",0,0,0,0,0
"ENSMUSG00000116559",0,0,0,0,0
"ENSMUSG00000116560",8.55,9.57,4.07,5.94,2.42
"ENSMUSG00000116561",1.01,0,0,0,2
"ENSMUSG00000116562",0,0,0,0,0
"ENSMUSG00000116563",0,0,0,0,0
"ENSMUSG00000116564",282.89,236.57,266.09,332.93,216.61
"ENSMUSG00000116565",0,0,0,0,0
"ENSMUSG00000116566",0,0,0,0,0
"ENSMUSG00000116567",0,0,0,0,0
"ENSMUSG00000116568",0,0,0,0,0
"ENSMUSG00000116569",0,0,0,0,0
"ENSMUSG00000116570",0,0,0,0,0
"ENSMUSG00000116571",1,1,4,0,0
"ENSMUSG00000116572",0,0,0,0,0
"ENSMUSG00000116573",0,0,0,0,0
"ENSMUSG00000116574",0,0,0,0,0
"ENSMUSG00000116575",0,0,0,0,0
"ENSMUSG00000116576",0,0,0,0,0
"ENSMUSG00000116578",0,0,0,0,0
"ENSMUSG00000116579",0,0,0,1,1
"ENSMUSG00000116580",0,0,0,0,0
"ENSMUSG00000116581",1,1,5,6,0
"ENSMUSG00000116582",0,0,0,0,0
"ENSMUSG00000116583",0,0,0,0,0
"ENSMUSG00000116585",0,0,0,0,0
"ENSMUSG00000116586",0,0,0,0,0
"ENSMUSG00000116587",0,0,0,0,0
"ENSMUSG00000116588",0,0,0,0,0
"ENSMUSG00000116589",0,1,0,1,2
"ENSMUSG00000116590",4,5,8,14,8
"ENSMUSG00000116591",0,0,0,0,0
"ENSMUSG00000116592",0,0,0,0,0
"ENSMUSG00000116593",0,0,0,0,0
"ENSMUSG00000116594",0,5.02,7.04,4.06,1.53
"ENSMUSG00000116595",0,0,0,0,0
"ENSMUSG00000116596",0,0,0,0,0
"ENSMUSG00000116597",0,0,0,0,0
"ENSMUSG00000116598",0,0,0,0,0
"ENSMUSG00000116599",0,0,0,0,0
"ENSMUSG00000116600",0,0,0,0,0
"ENSMUSG00000116601",0,0,0,0,0
"ENSMUSG00000116603",0,0,0,0,0
"ENSMUSG00000116604",2,1,3,5,1
"ENSMUSG00000116605",3,2,0,4,3
"ENSMUSG00000116606",0,1,0,1.12,1
"ENSMUSG00000116607",0,0,0,0,0
"ENSMUSG00000116608",0,0,0,0,0
"ENSMUSG00000116609",0,0,0,0,0
"ENSMUSG00000116610",0,0,0,0,0
"ENSMUSG00000116611",0,0,0,0,0
"ENSMUSG00000116612",0,1,0,0,0
"ENSMUSG00000116614",0,0,0,0,0
"ENSMUSG00000116615",0,0,0,0,0
"ENSMUSG00000116616",0,0,0,0,0
"ENSMUSG00000116617",1,2,0,1,3
"ENSMUSG00000116618",0,0,3.2,1.83,0
"ENSMUSG00000116619",0,0,0,0,0
"ENSMUSG00000116620",0,1,0,0,0
"ENSMUSG00000116621",0,0,0,0,0
"ENSMUSG00000116622",0,0,0,0,0
"ENSMUSG00000116623",0,0,0,0,0
"ENSMUSG00000116624",2,1,3,1,1
"ENSMUSG00000116625",0,0,0,0,0
"ENSMUSG00000116626",1,3,4,0,0
"ENSMUSG00000116627",2,1,1.34,3,0
"ENSMUSG00000116628",2,0,0,0,1
"ENSMUSG00000116629",0,0,0,0,0
"ENSMUSG00000116630",0,0,0,0,0
"ENSMUSG00000116631",0,0,0,0,0
"ENSMUSG00000116632",93,78,117,115,100
"ENSMUSG00000116633",0,3,2,3,3
"ENSMUSG00000116634",0,0,0,0,0
"ENSMUSG00000116635",0,0,0,0,0
"ENSMUSG00000116636",0,0,0,0,0
"ENSMUSG00000116637",0,0,0,1,0
"ENSMUSG00000116638",0,0,0,0,0
"ENSMUSG00000116639",9,3,4,6,1
"ENSMUSG00000116640",1.21,1.15,0,0,1.24
"ENSMUSG00000116641",0,0,1,0,0
"ENSMUSG00000116642",0,0,0,0,0
"ENSMUSG00000116643",0,0,0,0,0
"ENSMUSG00000116644",13,14,18,13,18
"ENSMUSG00000116645",2,0,1,1,0
"ENSMUSG00000116646",0,0,0,0,0
"ENSMUSG00000116647",0,0,0,0,0
"ENSMUSG00000116648",0,0,0,0,0
"ENSMUSG00000116649",0,0,0,0,0
"ENSMUSG00000116650",0,0,0,0,0
"ENSMUSG00000116651",0,0,0,0,0
"ENSMUSG00000116652",0,0,0,1,0
"ENSMUSG00000116653",0,0,0,0,0
"ENSMUSG00000116654",0,0,0,0,0
"ENSMUSG00000116655",0,3,3,0,1
"ENSMUSG00000116656",4.31,48.24,51.05,62.08,44.77
"ENSMUSG00000116657",2,5.06,10,8,6
"ENSMUSG00000116658",0,0,0,0,0
"ENSMUSG00000116659",4.78,17.68,13.89,10.95,11.62
"ENSMUSG00000116660",14,11,19,16,15
"ENSMUSG00000116661",0,0,0,0,0
"ENSMUSG00000116662",0,0,0,0,0
"ENSMUSG00000116663",0,0,0,0,0
"ENSMUSG00000116664",0,0,0,0,0
"ENSMUSG00000116665",0,0,0,0,1.01
"ENSMUSG00000116666",0,0,0,0,0
"ENSMUSG00000116667",0,0,0,0,0
"ENSMUSG00000116668",0,0,0,0,0
"ENSMUSG00000116669",0,0,0,0,0
"ENSMUSG00000116670",0,0,0,0,0
"ENSMUSG00000116671",0,0,0,0,0
"ENSMUSG00000116672",0,0,0,0,0
"ENSMUSG00000116673",65,46,26,58,67
"ENSMUSG00000116674",0,0,0,0,0
"ENSMUSG00000116675",0,0,0,0,0
"ENSMUSG00000116676",0,0,0,0,0
"ENSMUSG00000116677",0,0,0,0,0
"ENSMUSG00000116678",0,0,0,0,0
"ENSMUSG00000116679",0,2.15,0,0,0
"ENSMUSG00000116680",0,0,0,0,0
"ENSMUSG00000116681",0,0,0,0,0
"ENSMUSG00000116682",0,0,0,0,0
"ENSMUSG00000116684",0,0,0,0,0
"ENSMUSG00000116685",0,0,0,0,0
"ENSMUSG00000116686",0,0,0,0,0
"ENSMUSG00000116687",0,0,0,0,0
"ENSMUSG00000116688",0,0,0,0,0
"ENSMUSG00000116689",0,0,0,0,0
"ENSMUSG00000116690",0,0,0,0,0
"ENSMUSG00000116691",1,0,0,0,0
"ENSMUSG00000116692",0,0,0,0,3
"ENSMUSG00000116693",0,0,0,0,0
"ENSMUSG00000116694",0,0,0,0,0
"ENSMUSG00000116695",0,0,0,0,0
"ENSMUSG00000116696",0,0,0,0,0
"ENSMUSG00000116697",0,0,1,2,1
"ENSMUSG00000116698",0,0,0,0,0
"ENSMUSG00000116699",0,0,0,0,0
"ENSMUSG00000116700",0,0,0,0,0
"ENSMUSG00000116701",0,0,1,0,0
"ENSMUSG00000116702",0,1.14,3.41,5.59,4
"ENSMUSG00000116703",0,0,0,0,0
"ENSMUSG00000116704",2,0,0,1.03,1
"ENSMUSG00000116705",1,0,0,0,0
"ENSMUSG00000116706",0,0,0,0,0
"ENSMUSG00000116707",1,0,1,1,0
"ENSMUSG00000116708",0,0,0,0,0
"ENSMUSG00000116709",0,0,0,0,0
"ENSMUSG00000116710",0,0,0,0,0
"ENSMUSG00000116711",0,0,0,0,0
"ENSMUSG00000116712",0,0,0,0,0
"ENSMUSG00000116713",0,0,0,0,0
"ENSMUSG00000116714",0,0,0,0,0
"ENSMUSG00000116715",0,1,0,0,0
"ENSMUSG00000116716",0,0,0,0,0
"ENSMUSG00000116717",0,0,0,0,0
"ENSMUSG00000116718",32.21,39,58,58,40
"ENSMUSG00000116719",20.5,11.33,14.04,20.49,10.77
"ENSMUSG00000116720",0,0,2,0,0
"ENSMUSG00000116721",0,0,0,0,0
"ENSMUSG00000116722",0,0,0,0,0
"ENSMUSG00000116723",0,0,0,0,0
"ENSMUSG00000116725",0,0,0,0,0
"ENSMUSG00000116727",0,0,0,0,0
"ENSMUSG00000116728",0,0,0,0,0
"ENSMUSG00000116729",0,0,0,0,0
