"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000089452",0,0,0,0,0,0,0,0
"ENSMUSG00000089454",0,0,0,0,0,0,0,0
"ENSMUSG00000089455",0,0,0,0,0,0,0,0
"ENSMUSG00000089458",0,0,0,0,0,0,0,0
"ENSMUSG00000089460",0,0,0,0,0,0,0,0
"ENSMUSG00000089461",0,0,0,0,0,0,0,0
"ENSMUSG00000089464",0,0,0,0,0,0,0,0
"ENSMUSG00000089468",0,0,0,0,0,0,0,0
"ENSMUSG00000089473",0,1,0,0,0,0,0,0
"ENSMUSG00000089476",0,0,0,0,0,0,0,0
"ENSMUSG00000089479",0,0,0,0,0,0,0,0
"ENSMUSG00000089484",1,0,0,0,1,0,0,0
"ENSMUSG00000089486",0,0,0,2,0,1,0,1
"ENSMUSG00000089489",0,0,0,0,0,1,0,0
"ENSMUSG00000089493",1,1,0,1,1,0,0,0
"ENSMUSG00000089498",0,0,1,1,1,2,0,0
"ENSMUSG00000089501",0,0,0,0,0,0,0,0
"ENSMUSG00000089504",0,0,0,0,1,1,0,0
"ENSMUSG00000089507",0,0,0,0,0,0,0,0
"ENSMUSG00000089512",0,0,1,0,0,0,0,1
"ENSMUSG00000089513",1,0,0,0,0,0,0,0
"ENSMUSG00000089514",0,0,0,0,0,0,0,0
"ENSMUSG00000089524",0,0,0,0,0,0,0,0
"ENSMUSG00000089528",0,0,0,0,0,0,0,0
"ENSMUSG00000089530",0,0,1,0,0,0,0,0
"ENSMUSG00000089531",0,0,0,0,0,0,0,0
"ENSMUSG00000089534",0,0,0,0,0,0,0,0
"ENSMUSG00000089538",0,0,0,0,0,0,0,0
"ENSMUSG00000089539",0,0,0,0,0,0,0,0
"ENSMUSG00000089541",0,0,0,0,0,0,0,0
"ENSMUSG00000089542",6,8,6,4,6,7,13,3
"ENSMUSG00000089543",0,0,0,0,0,0,0,0
"ENSMUSG00000089548",0,0,0,0,0,0,0,0
"ENSMUSG00000089549",0,0,0,0,0,2,0,0
"ENSMUSG00000089550",0,0,0,0,0,0,0,0
"ENSMUSG00000089551",0,0,0,0,0,0,0,0
"ENSMUSG00000089552",0,0,0,0,0,0,0,0
"ENSMUSG00000089553",0,0,0,0,0,0,0,0
"ENSMUSG00000089555",0,1,1,0,0,0,0,0
"ENSMUSG00000089556",0,0,0,0,0,0,0,0
"ENSMUSG00000089560",0,0,0,0,0,0,0,0
"ENSMUSG00000089561",0,0,0,0,0,0,0,0
"ENSMUSG00000089562",0,0,0,0,0,0,0,1
"ENSMUSG00000089563",0,0,0,0,0,0,0,0
"ENSMUSG00000089570",0,0,0,0,0,0,0,0
"ENSMUSG00000089571",0,0,0,0,0,0,0,0
"ENSMUSG00000089575",0,0,0,0,0,0,0,0
"ENSMUSG00000089580",0,0,0,0,0,0,0,0
"ENSMUSG00000089581",0,4,1,1,2,0,0,1
"ENSMUSG00000089584",0,0,0,0,0,0,1,0
"ENSMUSG00000089585",0,0,0,0,0,0,0,0
"ENSMUSG00000089587",0,0,0,0,0,0,0,0
"ENSMUSG00000089589",0,0,0,0,0,0,0,0
"ENSMUSG00000089590",0,0,0,0,0,0,0,0
"ENSMUSG00000089591",0,0,0,0,0,0,0,0
"ENSMUSG00000089593",0,0,0,0,0,0,0,0
"ENSMUSG00000089606",1,1,1,0,0,0,0,0
"ENSMUSG00000089607",0,1,0,4,5,3,0,2
"ENSMUSG00000089608",0,0,0,0,0,0,0,0
"ENSMUSG00000089612",0,0,0,0,0,1,0,0
"ENSMUSG00000089614",0,0,0,0,0,0,0,0
"ENSMUSG00000089615",0,0,0,0,0,0,0,0
"ENSMUSG00000089617",0,0,0,0,0,0,0,0
"ENSMUSG00000089625",0,0,0,0,0,0,0,0
"ENSMUSG00000089627",0,0,0,0,1,0,0,0
"ENSMUSG00000089628",0,0,0,1,3,1,0,1
"ENSMUSG00000089630",0,0,0,0,0,0,0,0
"ENSMUSG00000089631",0,0,0,0,0,0,0,0
"ENSMUSG00000089633",33,23,53,46,41,28,56,31
"ENSMUSG00000089634",0,0,0,1,0,0,0,0
"ENSMUSG00000089635",0,0,0,2,0,1,0,0
"ENSMUSG00000089636",0,4,2,2,2,4,4,5
"ENSMUSG00000089639",0,0,0,0,0,0,0,0
"ENSMUSG00000089640",4,1,0,3,1,0,0,1
"ENSMUSG00000089643",0,1,1,1,1,0,0,0
"ENSMUSG00000089645",0,1,0,0,0,0,0,0
"ENSMUSG00000089646",2,0,2,2,0,0,0,0
"ENSMUSG00000089647",1,0,1,2,1,1,0,0
"ENSMUSG00000089648",0,0,0,1,1,0,0,0
"ENSMUSG00000089651",6,5,15,0,7,3,1,6
"ENSMUSG00000089652",0,0,0,0,0,0,0,0
"ENSMUSG00000089653",0,0,0,0,0,0,0,0
"ENSMUSG00000089654",0,0,0,0,0,0,0,0
"ENSMUSG00000089655",0,0,0,0,0,0,0,0
"ENSMUSG00000089656",3,2,1,0,2,1,0,3
"ENSMUSG00000089657",0,0,0,1,0,0,3,1
"ENSMUSG00000089659",0,0,0,0,0,0,0,0
"ENSMUSG00000089661",3,7,5,8,8,11,26,5
"ENSMUSG00000089662",9,4,15,15,18,15,11,13
"ENSMUSG00000089663",0,2,7,8,4,9,3,7
"ENSMUSG00000089664",1,1,4,5,0,2,4,1
"ENSMUSG00000089665",64,41,53,69,84,45,174,36
"ENSMUSG00000089666",0,0,0,0,0,0,0,0
"ENSMUSG00000089667",0,0,0,0,0,0,0,0
"ENSMUSG00000089669",15,7,14,13,21,17,21,18
"ENSMUSG00000089670",2,3,2,3,2,0,1,2
"ENSMUSG00000089671",2,5,5,1,1,2,3,3
"ENSMUSG00000089673",1,0,0,0,0,1,0,0
"ENSMUSG00000089675",0,0,0,0,0,0,0,0
"ENSMUSG00000089678",0,0,0,0,0,0,3,0
"ENSMUSG00000089679",19,19,27,23,47,15,5,3
"ENSMUSG00000089680",1,1,0,3,1,4,7,1
"ENSMUSG00000089682",3656,2842,4559,5021,4601,3950,1933,3638
"ENSMUSG00000089683",0,0,1,0,0,0,0,0
"ENSMUSG00000089684",0,0,1,0,0,0,0,0
"ENSMUSG00000089685",24,20,16,24,27,9,5,13
"ENSMUSG00000089686",0,0,0,0,0,0,0,0
"ENSMUSG00000089687",19,22,31,33,33,22,27,17
"ENSMUSG00000089689",0,0,0,0,0,0,0,0
"ENSMUSG00000089690",0,0,0,0,0,0,0,0
"ENSMUSG00000089694",0,2,2,3,3,3,3,4
"ENSMUSG00000089695",1,2,1,0,3,1,0,1
"ENSMUSG00000089696",0,0,0,1,0,0,0,0
"ENSMUSG00000089697",0,0,0,0,0,0,0,0
"ENSMUSG00000089698",1,1,0,0,1,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0,0
"ENSMUSG00000089700",0,0,0,0,0,0,0,0
"ENSMUSG00000089701",0,0,0,0,0,1,0,0
"ENSMUSG00000089702",0,0,0,0,0,0,0,0
"ENSMUSG00000089703",0,1,3,0,3,0,0,0
"ENSMUSG00000089704",1728,1575,2255,2350,2415,2064,2385,1744
"ENSMUSG00000089705",0,0,0,0,0,0,0,0
"ENSMUSG00000089706",74,63,109,101,94,83,16,78
"ENSMUSG00000089707",17,14,21,28,16,16,0,19
"ENSMUSG00000089708",5,1,5,3,4,1,1,1
"ENSMUSG00000089709",0,0,1,0,1,1,0,1
"ENSMUSG00000089710",1,3,4,4,2,0,0,8
"ENSMUSG00000089711",3,2,2,0,1,2,0,1
"ENSMUSG00000089712",0,0,2,1,0,1,0,0
"ENSMUSG00000089713",1,0,2,0,2,0,0,1
"ENSMUSG00000089714",0,0,0,0,0,0,0,0
"ENSMUSG00000089715",12643,10605,14167,15602,16632,13985,8856,12531
"ENSMUSG00000089716",0,0,0,0,0,0,0,0
"ENSMUSG00000089717",0,0,0,0,0,0,0,0
"ENSMUSG00000089718",4,0,1,5,2,1,0,4
"ENSMUSG00000089719",0,0,0,0,1,0,0,0
"ENSMUSG00000089722",0,0,0,0,0,0,0,2
"ENSMUSG00000089723",0,0,0,0,0,0,0,0
"ENSMUSG00000089724",0,0,0,0,0,0,0,0
"ENSMUSG00000089726",5,3,9,8,12,12,2,7
"ENSMUSG00000089727",0,0,0,0,0,0,0,0
"ENSMUSG00000089728",2,0,0,0,0,0,0,1
"ENSMUSG00000089729",0,0,1,0,1,0,0,0
"ENSMUSG00000089730",8,3,6,11,12,11,1,9
"ENSMUSG00000089731",0,0,0,0,0,0,0,0
"ENSMUSG00000089732",0,0,0,0,0,0,0,0
"ENSMUSG00000089733",0,0,0,0,0,0,0,0
"ENSMUSG00000089735",0,1,1,2,0,1,0,2
"ENSMUSG00000089736",33,16,33,28,35,25,2,12
"ENSMUSG00000089737",61,63,77,85,92,70,14,62
"ENSMUSG00000089739",0,0,0,0,0,0,0,0
"ENSMUSG00000089742",0,0,1,0,1,0,0,0
"ENSMUSG00000089743",1,0,0,0,0,0,0,1
"ENSMUSG00000089744",0,0,1,5,3,1,2,1
"ENSMUSG00000089745",0,0,0,0,1,0,0,0
"ENSMUSG00000089746",0,0,1,0,0,1,0,2
"ENSMUSG00000089748",1,0,0,0,2,0,0,0
"ENSMUSG00000089749",0,0,0,0,0,0,0,0
"ENSMUSG00000089753",1,0,0,0,0,0,0,0
"ENSMUSG00000089754",0,0,0,0,0,0,0,0
"ENSMUSG00000089755",0,0,1,0,1,5,0,3
"ENSMUSG00000089756",0,0,0,0,0,0,0,1
"ENSMUSG00000089759",43,26,58,74,38,62,4,36
"ENSMUSG00000089760",1,1,0,2,1,2,6,1
"ENSMUSG00000089761",0,0,0,0,0,0,0,0
"ENSMUSG00000089762",358,293,438,416,331,439,1113,397
"ENSMUSG00000089764",7,7,3,2,9,5,0,6
"ENSMUSG00000089766",0,1,1,0,0,0,0,1
"ENSMUSG00000089767",12,11,9,10,16,10,1,4
"ENSMUSG00000089768",13,11,19,18,18,8,16,12
"ENSMUSG00000089769",1,1,6,9,11,4,0,2
"ENSMUSG00000089771",0,0,0,0,0,0,0,0
"ENSMUSG00000089773",4,0,3,3,7,1,0,4
"ENSMUSG00000089774",1897,1245,2876,3136,3206,2920,201,2438
"ENSMUSG00000089775",1,0,1,1,3,1,0,1
"ENSMUSG00000089776",0,0,1,1,1,0,0,0
"ENSMUSG00000089779",0,0,0,0,0,1,0,0
"ENSMUSG00000089780",0,4,0,2,0,1,1,1
"ENSMUSG00000089781",0,1,0,0,0,0,0,0
"ENSMUSG00000089782",4,7,12,8,12,13,14,5
"ENSMUSG00000089783",0,0,1,1,0,2,0,3
"ENSMUSG00000089785",5,6,4,2,4,5,5,6
"ENSMUSG00000089787",1,0,7,3,0,1,1,0
"ENSMUSG00000089789",2,4,3,5,1,2,0,1
"ENSMUSG00000089790",0,0,0,0,0,0,0,0
"ENSMUSG00000089791",1,0,2,0,0,1,0,2
"ENSMUSG00000089792",0,0,0,0,0,0,0,0
"ENSMUSG00000089793",0,0,0,0,0,0,0,0
"ENSMUSG00000089794",0,0,2,0,0,0,0,4
"ENSMUSG00000089795",0,0,0,0,0,0,0,0
"ENSMUSG00000089796",2,0,0,0,1,2,0,2
"ENSMUSG00000089797",2,4,6,6,0,1,4,5
"ENSMUSG00000089798",32,20,53,63,41,32,0,26
"ENSMUSG00000089800",0,0,0,1,0,1,0,0
"ENSMUSG00000089802",1,1,0,0,0,2,0,0
"ENSMUSG00000089803",0,0,0,0,0,0,0,0
"ENSMUSG00000089804",0,0,0,4,0,1,0,1
"ENSMUSG00000089806",0,0,0,1,1,0,1,0
"ENSMUSG00000089807",0,0,0,0,0,0,0,0
"ENSMUSG00000089808",2,0,5,0,0,3,6,2
"ENSMUSG00000089809",525,252,881,932,431,599,1421,534
"ENSMUSG00000089810",324,243,445,458,412,371,89,370
"ENSMUSG00000089811",0,0,0,0,0,0,0,0
"ENSMUSG00000089812",17,12,17,27,20,15,19,22
"ENSMUSG00000089814",0,0,0,0,0,1,0,0
"ENSMUSG00000089815",10,10,6,10,8,13,15,6
"ENSMUSG00000089816",0,0,0,0,0,0,0,0
"ENSMUSG00000089817",4,5,6,7,15,9,1,7
"ENSMUSG00000089818",12,11,10,10,8,7,0,8
"ENSMUSG00000089819",2,0,0,0,1,2,0,1
"ENSMUSG00000089820",5,0,4,4,3,5,1,2
"ENSMUSG00000089821",0,0,0,0,0,0,0,0
"ENSMUSG00000089822",0,0,0,0,0,0,0,0
"ENSMUSG00000089824",480,319,657,652,702,577,89,510
"ENSMUSG00000089826",0,0,0,0,0,0,0,0
"ENSMUSG00000089827",5,11,4,6,7,4,0,4
"ENSMUSG00000089828",0,0,1,1,0,0,0,0
"ENSMUSG00000089829",1,3,6,6,6,3,2,5
"ENSMUSG00000089830",1,4,2,0,0,0,1,2
"ENSMUSG00000089831",0,0,0,0,0,0,0,0
"ENSMUSG00000089832",131,105,190,165,133,158,370,127
"ENSMUSG00000089833",0,0,0,0,0,0,0,0
"ENSMUSG00000089834",0,0,0,0,0,0,0,0
"ENSMUSG00000089835",0,0,0,0,0,0,0,0
"ENSMUSG00000089836",0,0,0,0,0,0,0,0
"ENSMUSG00000089837",0,0,0,0,0,0,0,0
"ENSMUSG00000089838",4,1,6,4,1,2,1,5
"ENSMUSG00000089839",1,0,1,1,0,0,0,3
"ENSMUSG00000089840",6,7,22,21,23,16,9,12
"ENSMUSG00000089842",5,4,5,1,3,4,0,10
"ENSMUSG00000089844",0,0,0,0,0,0,0,0
"ENSMUSG00000089847",227,170,275,305,295,237,374,204
"ENSMUSG00000089849",0,0,0,1,2,0,2,2
"ENSMUSG00000089851",0,0,0,0,0,0,0,0
"ENSMUSG00000089854",0,1,5,2,3,0,2,5
"ENSMUSG00000089857",221,139,293,296,338,271,20,228
"ENSMUSG00000089859",0,0,0,0,0,0,0,0
"ENSMUSG00000089861",0,1,2,0,2,1,0,0
"ENSMUSG00000089862",930,538,1039,1285,1154,847,336,872
"ENSMUSG00000089865",0,0,0,0,0,0,0,0
"ENSMUSG00000089866",0,0,0,0,0,0,0,0
"ENSMUSG00000089868",0,1,0,0,0,0,0,0
"ENSMUSG00000089870",0,0,0,0,0,0,0,0
"ENSMUSG00000089871",0,0,0,0,0,0,0,0
"ENSMUSG00000089872",1276,1074,1618,1685,1630,1419,1655,1221
"ENSMUSG00000089873",0,0,0,0,0,0,0,0
"ENSMUSG00000089874",1,2,8,6,3,3,1,0
"ENSMUSG00000089875",29,23,38,38,28,26,20,32
"ENSMUSG00000089876",45,29,49,71,61,54,84,51
"ENSMUSG00000089877",0,0,0,2,0,0,0,0
"ENSMUSG00000089879",0,0,0,0,1,0,0,0
"ENSMUSG00000089881",0,0,0,0,0,0,0,0
"ENSMUSG00000089883",0,1,2,0,0,0,0,1
"ENSMUSG00000089885",0,0,0,0,0,1,0,0
"ENSMUSG00000089886",2,0,2,4,5,4,0,4
"ENSMUSG00000089887",1,1,3,4,3,0,0,0
"ENSMUSG00000089888",0,0,0,0,0,0,0,0
"ENSMUSG00000089889",45,40,66,64,60,54,78,41
"ENSMUSG00000089890",0,0,0,0,0,0,0,1
"ENSMUSG00000089891",0,0,0,0,0,0,0,0
"ENSMUSG00000089892",0,0,0,0,0,0,0,0
"ENSMUSG00000089893",0,0,0,0,0,0,0,0
"ENSMUSG00000089894",0,0,0,0,0,0,0,0
"ENSMUSG00000089898",0,0,0,0,0,1,0,0
"ENSMUSG00000089900",4,1,4,3,1,3,1,4
"ENSMUSG00000089901",1,0,6,6,0,1,0,3
"ENSMUSG00000089902",0,2,2,3,8,4,0,3
"ENSMUSG00000089904",0,0,0,1,0,0,0,0
"ENSMUSG00000089905",0,0,0,0,1,0,0,0
"ENSMUSG00000089906",0,1,0,0,0,0,0,0
"ENSMUSG00000089907",3,3,5,8,13,8,0,5
"ENSMUSG00000089908",2,0,2,1,0,1,0,2
"ENSMUSG00000089909",0,0,0,0,0,0,0,0
"ENSMUSG00000089910",0,0,0,0,0,0,0,0
"ENSMUSG00000089911",979,729,1245,1392,1442,1079,209,1042
"ENSMUSG00000089914",0,0,0,0,0,0,0,0
"ENSMUSG00000089916",3,2,2,1,1,1,2,2
"ENSMUSG00000089917",370,278,445,472,487,399,602,291
"ENSMUSG00000089922",79,61,59,70,108,71,4,64
"ENSMUSG00000089924",4,0,5,9,9,6,3,3
"ENSMUSG00000089926",0,0,2,2,2,0,0,0
"ENSMUSG00000089927",0,1,0,0,0,0,0,1
"ENSMUSG00000089929",0,3,11,5,6,5,4,7
"ENSMUSG00000089931",1,0,0,0,0,0,1,0
"ENSMUSG00000089932",0,0,0,0,0,0,0,0
"ENSMUSG00000089933",1,0,2,1,2,1,0,0
"ENSMUSG00000089934",0,2,0,1,1,1,0,1
"ENSMUSG00000089935",0,0,0,0,0,0,0,0
"ENSMUSG00000089936",0,0,0,0,0,0,1,1
"ENSMUSG00000089937",0,0,0,0,0,0,0,0
"ENSMUSG00000089938",0,0,1,0,0,0,0,0
"ENSMUSG00000089940",13,12,17,18,18,14,8,11
"ENSMUSG00000089941",18,13,20,22,16,17,12,14
"ENSMUSG00000089942",0,0,0,0,0,0,0,0
"ENSMUSG00000089943",0,0,0,1,0,0,0,0
"ENSMUSG00000089945",0,3,3,5,1,0,0,4
"ENSMUSG00000089947",0,0,0,0,1,0,0,1
"ENSMUSG00000089948",3,3,8,2,5,5,1,5
"ENSMUSG00000089949",0,0,0,0,0,0,0,0
"ENSMUSG00000089950",0,0,0,0,0,0,0,0
"ENSMUSG00000089951",0,0,0,0,0,0,0,0
"ENSMUSG00000089952",3,0,2,1,4,1,0,0
"ENSMUSG00000089953",0,0,0,0,0,0,0,0
"ENSMUSG00000089956",0,1,0,0,0,0,0,0
"ENSMUSG00000089957",55,68,68,77,104,48,64,64
"ENSMUSG00000089958",0,1,0,1,0,1,0,0
"ENSMUSG00000089959",12,19,15,27,29,31,8,16
"ENSMUSG00000089960",1,0,0,0,0,0,0,0
"ENSMUSG00000089961",0,0,0,0,0,0,0,0
"ENSMUSG00000089963",0,0,0,0,0,0,0,0
"ENSMUSG00000089964",0,0,1,1,0,1,3,1
"ENSMUSG00000089965",0,0,0,0,0,0,0,0
"ENSMUSG00000089966",0,0,0,0,0,0,0,0
"ENSMUSG00000089967",0,0,0,0,0,0,0,0
"ENSMUSG00000089968",5,3,2,8,3,3,6,3
"ENSMUSG00000089972",1,0,0,0,0,0,0,0
"ENSMUSG00000089973",0,0,0,0,0,0,0,0
"ENSMUSG00000089975",14,10,14,11,7,21,0,13
"ENSMUSG00000089976",0,0,0,0,0,0,0,0
"ENSMUSG00000089978",0,0,0,0,0,0,0,0
"ENSMUSG00000089982",0,0,1,0,0,0,0,1
"ENSMUSG00000089983",8,12,13,7,11,12,13,4
"ENSMUSG00000089984",10,5,2,13,9,6,12,6
"ENSMUSG00000089987",1,0,2,1,0,1,0,3
"ENSMUSG00000089988",4,0,2,1,4,2,4,3
"ENSMUSG00000089989",0,0,0,0,0,0,0,0
"ENSMUSG00000089990",3,2,2,3,3,5,1,1
"ENSMUSG00000089991",1,0,0,3,2,2,0,4
"ENSMUSG00000089992",2,2,1,4,1,3,2,1
"ENSMUSG00000089993",5,6,14,12,6,10,5,8
"ENSMUSG00000089994",1,0,3,1,3,1,0,3
"ENSMUSG00000089995",0,0,0,0,0,0,0,0
"ENSMUSG00000089996",3,8,3,5,4,11,3,2
"ENSMUSG00000089997",24,14,43,31,43,34,16,34
"ENSMUSG00000089998",37,21,40,42,37,32,12,22
"ENSMUSG00000089999",1,3,4,2,2,1,0,1
"ENSMUSG00000090000",834,519,1023,1037,1097,848,285,690
"ENSMUSG00000090001",0,0,1,1,0,0,1,0
"ENSMUSG00000090002",3,6,10,15,16,4,18,9
"ENSMUSG00000090003",0,0,0,0,0,0,0,0
"ENSMUSG00000090004",0,2,0,1,1,3,0,0
"ENSMUSG00000090005",2,0,4,2,2,0,0,3
"ENSMUSG00000090006",0,0,0,0,0,0,0,0
"ENSMUSG00000090007",2,1,0,1,2,0,0,1
"ENSMUSG00000090008",1,0,5,4,0,1,0,3
"ENSMUSG00000090009",0,0,0,0,0,0,0,0
"ENSMUSG00000090012",0,0,2,0,0,0,0,0
"ENSMUSG00000090013",0,0,0,0,0,0,0,0
"ENSMUSG00000090015",359,236,392,490,504,327,7,277
"ENSMUSG00000090016",1,0,1,1,0,0,0,1
"ENSMUSG00000090017",4,4,6,2,2,6,0,4
"ENSMUSG00000090019",18,23,25,30,25,25,38,23
"ENSMUSG00000090021",4,3,8,5,7,2,0,4
"ENSMUSG00000090023",0,0,0,0,1,0,0,0
"ENSMUSG00000090024",2,0,4,1,4,2,0,7
"ENSMUSG00000090026",2,2,4,3,3,3,0,2
"ENSMUSG00000090027",4,0,0,6,1,2,0,3
"ENSMUSG00000090030",0,0,0,0,0,0,0,0
"ENSMUSG00000090031",58,34,61,70,80,61,7,47
"ENSMUSG00000090033",0,0,0,0,1,0,0,1
"ENSMUSG00000090034",0,0,0,3,1,1,1,0
"ENSMUSG00000090035",137,100,209,253,214,164,47,182
"ENSMUSG00000090036",0,1,0,0,0,0,0,0
"ENSMUSG00000090038",1,0,0,1,1,0,0,0
"ENSMUSG00000090039",7,1,11,11,12,7,8,5
"ENSMUSG00000090040",1,0,1,0,0,1,0,0
"ENSMUSG00000090041",3,3,6,10,4,9,5,5
"ENSMUSG00000090042",0,0,0,0,0,0,0,0
"ENSMUSG00000090043",2,1,2,0,1,0,0,1
"ENSMUSG00000090044",0,0,0,0,0,0,0,0
"ENSMUSG00000090047",3,1,1,0,1,0,2,1
"ENSMUSG00000090048",0,1,0,1,0,1,0,1
"ENSMUSG00000090050",17,19,20,19,30,25,95,33
"ENSMUSG00000090051",0,0,0,0,0,0,0,0
"ENSMUSG00000090053",608,375,701,783,801,636,76,535
"ENSMUSG00000090054",0,0,0,0,0,0,0,0
"ENSMUSG00000090057",4,2,6,4,3,3,1,1
"ENSMUSG00000090059",0,0,1,0,0,0,0,0
"ENSMUSG00000090061",1290,1029,1319,1894,1631,1527,409,1243
"ENSMUSG00000090062",3,3,6,4,8,2,1,3
"ENSMUSG00000090063",770,535,653,869,1095,641,93,633
"ENSMUSG00000090066",137,99,87,134,188,101,35,105
"ENSMUSG00000090067",0,0,0,0,0,2,0,0
"ENSMUSG00000090069",78,89,79,106,117,76,167,81
"ENSMUSG00000090070",2,3,6,1,5,6,0,0
"ENSMUSG00000090071",5593,5311,6623,7269,6391,5922,26000,5688
"ENSMUSG00000090073",0,0,0,0,0,0,0,0
"ENSMUSG00000090074",0,0,0,0,0,0,0,2
"ENSMUSG00000090075",1,1,0,3,1,0,1,1
"ENSMUSG00000090077",2,1,2,2,1,1,0,0
"ENSMUSG00000090078",0,0,2,3,0,5,1,2
"ENSMUSG00000090079",1,0,0,0,0,2,0,0
"ENSMUSG00000090080",1,0,1,1,0,0,0,0
"ENSMUSG00000090081",0,0,0,0,1,1,0,0
"ENSMUSG00000090083",162,86,207,195,186,168,144,145
"ENSMUSG00000090084",4,3,8,7,7,11,2,4
"ENSMUSG00000090086",138,74,138,136,138,133,45,73
"ENSMUSG00000090087",6,2,3,3,3,0,1,0
"ENSMUSG00000090088",1,2,1,0,0,0,0,0
"ENSMUSG00000090089",0,0,0,1,0,1,0,0
"ENSMUSG00000090090",0,0,0,0,0,0,0,0
"ENSMUSG00000090093",81,48,103,110,97,93,5,83
"ENSMUSG00000090095",1,1,0,0,0,0,0,1
"ENSMUSG00000090097",0,0,0,0,0,0,0,0
"ENSMUSG00000090098",3,4,9,4,4,11,1,4
"ENSMUSG00000090099",0,0,1,0,0,0,0,0
"ENSMUSG00000090100",4010,2443,6117,6120,4960,4422,320,3936
"ENSMUSG00000090101",10,8,15,27,11,16,30,11
"ENSMUSG00000090102",0,0,0,0,0,0,0,0
"ENSMUSG00000090103",0,0,0,0,0,0,0,0
"ENSMUSG00000090104",0,0,0,0,0,0,0,0
"ENSMUSG00000090105",0,0,0,0,1,1,4,1
"ENSMUSG00000090106",0,0,0,0,0,0,0,0
"ENSMUSG00000090109",0,0,0,0,0,0,0,0
"ENSMUSG00000090110",82,38,89,120,93,88,17,87
"ENSMUSG00000090111",0,0,0,0,0,0,0,0
"ENSMUSG00000090112",1781,1223,2282,2413,2492,2047,121,1808
"ENSMUSG00000090113",25,22,11,13,10,11,23,10
"ENSMUSG00000090114",1,0,1,0,0,0,0,0
"ENSMUSG00000090115",229,180,281,311,307,250,90,242
"ENSMUSG00000090116",0,1,1,2,0,1,0,0
"ENSMUSG00000090117",0,0,0,0,0,1,0,0
"ENSMUSG00000090118",1,2,1,2,1,1,0,0
"ENSMUSG00000090119",1,0,2,2,1,1,3,2
"ENSMUSG00000090120",3,0,3,5,3,1,0,2
"ENSMUSG00000090121",1,2,9,24,5,3,20,3
"ENSMUSG00000090122",67,77,181,162,115,130,420,103
"ENSMUSG00000090124",7,20,16,20,14,15,15,10
"ENSMUSG00000090125",2123,2072,1995,2248,2892,2306,3184,2063
"ENSMUSG00000090126",0,0,0,1,0,0,1,0
"ENSMUSG00000090128",0,0,0,0,0,0,0,0
"ENSMUSG00000090129",87,67,138,127,100,112,150,72
"ENSMUSG00000090131",0,0,0,0,0,0,0,1
"ENSMUSG00000090132",0,0,0,0,0,0,0,0
"ENSMUSG00000090135",3,1,3,2,1,0,1,2
"ENSMUSG00000090136",0,2,0,2,0,0,1,0
"ENSMUSG00000090137",116,155,211,207,200,171,799,134
"ENSMUSG00000090138",0,0,0,0,1,2,0,0
"ENSMUSG00000090141",1,0,0,0,0,0,0,0
"ENSMUSG00000090142",0,0,0,0,0,0,0,0
"ENSMUSG00000090145",0,0,0,0,0,0,0,0
"ENSMUSG00000090146",0,0,0,0,3,0,0,0
"ENSMUSG00000090147",0,0,0,0,0,0,0,0
"ENSMUSG00000090150",498,405,721,710,654,557,315,477
"ENSMUSG00000090151",0,0,0,2,0,0,0,2
"ENSMUSG00000090152",0,0,0,0,0,0,0,0
"ENSMUSG00000090157",0,1,1,0,0,0,1,0
"ENSMUSG00000090159",0,1,0,1,0,0,0,0
"ENSMUSG00000090160",4,1,7,6,6,7,0,4
"ENSMUSG00000090162",0,0,0,1,1,0,0,0
"ENSMUSG00000090163",2,0,4,2,2,2,0,1
"ENSMUSG00000090164",37,20,30,24,28,9,6,20
"ENSMUSG00000090165",0,0,0,0,0,0,0,0
"ENSMUSG00000090166",0,0,0,0,0,0,0,0
"ENSMUSG00000090168",0,1,0,2,0,1,0,3
"ENSMUSG00000090171",0,1,0,0,0,0,0,0
"ENSMUSG00000090173",18,13,43,35,32,31,17,22
"ENSMUSG00000090174",0,0,0,0,0,0,1,0
"ENSMUSG00000090175",0,0,0,0,0,0,0,0
"ENSMUSG00000090176",8,1,4,2,2,1,3,2
"ENSMUSG00000090179",0,0,0,0,0,0,0,2
"ENSMUSG00000090180",0,0,0,0,0,0,0,0
"ENSMUSG00000090185",1,1,1,0,0,1,0,1
"ENSMUSG00000090186",0,0,0,0,0,0,0,0
"ENSMUSG00000090188",0,0,0,0,0,0,0,0
"ENSMUSG00000090191",0,0,0,0,0,0,0,0
"ENSMUSG00000090192",0,0,0,0,0,0,0,0
"ENSMUSG00000090193",0,0,0,0,0,0,0,0
"ENSMUSG00000090194",2,0,3,3,1,4,1,1
"ENSMUSG00000090197",0,0,0,0,0,0,0,0
"ENSMUSG00000090199",0,0,0,0,0,0,0,0
"ENSMUSG00000090200",0,0,1,0,0,1,0,1
"ENSMUSG00000090202",0,0,0,0,0,0,0,0
"ENSMUSG00000090203",0,0,0,1,0,0,0,1
"ENSMUSG00000090206",0,0,0,1,1,0,4,0
