"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000103715",9,27,41,13,30,23
"ENSMUSG00000103716",0,0,0,0,0,0
"ENSMUSG00000103717",0,0,0,0,0,0
"ENSMUSG00000103718",2,0,1,0,0,7
"ENSMUSG00000103719",0,0,0,0,0,0
"ENSMUSG00000103720",0,0,0,0,0,0
"ENSMUSG00000103722",41,78,45,42,57,43
"ENSMUSG00000103723",5,2,0,0,4,2
"ENSMUSG00000103724",0,0,0,0,0,0
"ENSMUSG00000103725",0,0,0,0,0,0
"ENSMUSG00000103726",0,0,1,0,0,0
"ENSMUSG00000103727",0,0,0,2,0,1
"ENSMUSG00000103728",0,0,0,0,0,0
"ENSMUSG00000103729",0,0,0,0,0,0
"ENSMUSG00000103730",0,0,1,0,0,0
"ENSMUSG00000103731",10,0,1,2,9,10
"ENSMUSG00000103732",1,10,0,2,6,6
"ENSMUSG00000103733",0,0,0,0,0,0
"ENSMUSG00000103734",17,20,9,0,13,7
"ENSMUSG00000103735",1,0,0,0,4,3
"ENSMUSG00000103736",0,0,0,0,0,0
"ENSMUSG00000103737",0,0,0,0,0,0
"ENSMUSG00000103738",14,6,2,12,17,5
"ENSMUSG00000103739",47,37,44,46,63,53
"ENSMUSG00000103740",0,0,0,0,0,0
"ENSMUSG00000103741",5,10,3,0,4,3
"ENSMUSG00000103742",4,0,5,2,12,11
"ENSMUSG00000103744",0,0,0,0,0,0
"ENSMUSG00000103745",0,0,0,0,0,0
"ENSMUSG00000103746",4,3,2,2,7,6
"ENSMUSG00000103747",22,25,8,15,30,38
"ENSMUSG00000103748",55,75,45,51,34,80
"ENSMUSG00000103749",290,257,315,355,394,347
"ENSMUSG00000103751",13,10,14,6,1,15
"ENSMUSG00000103752",0,0,0,0,0,0
"ENSMUSG00000103753",14,14,7,6,18,34
"ENSMUSG00000103754",0,0,0,0,0,0
"ENSMUSG00000103755",11,9,12,6,4,8
"ENSMUSG00000103756",23,17,11,32,12,36
"ENSMUSG00000103757",0,0,0,0,0,0
"ENSMUSG00000103758",0,0,0,0,0,0
"ENSMUSG00000103759",0,0,0,0,0,0
"ENSMUSG00000103760",0,0,0,1,0,0
"ENSMUSG00000103761",24,18,12,34,21,24
"ENSMUSG00000103762",24,17,25,18,34,8
"ENSMUSG00000103763",8,24,4,16,10,7
"ENSMUSG00000103764",0,0,0,0,0,0
"ENSMUSG00000103765",0,0,0,0,0,0
"ENSMUSG00000103766",4,3,8,1,10,6
"ENSMUSG00000103767",0,5,0,0,0,0
"ENSMUSG00000103768",0,0,0,0,0,0
"ENSMUSG00000103769",0,0,0,0,0,0
"ENSMUSG00000103770",158,104,114,90,169,138
"ENSMUSG00000103771",0,0,0,0,0,0
"ENSMUSG00000103772",11,12,5,23,14,13
"ENSMUSG00000103773",0,0,0,0,0,0
"ENSMUSG00000103774",10,0,1,2,0,0
"ENSMUSG00000103775",3,0,0,1,2,0
"ENSMUSG00000103776",1,8,2,10,5,7
"ENSMUSG00000103778",3,12,1,0,3,9
"ENSMUSG00000103779",53,81,24,33,80,74
"ENSMUSG00000103780",106,93,105,78,101,150
"ENSMUSG00000103781",0,0,0,0,0,0
"ENSMUSG00000103782",0,0,0,0,0,0
"ENSMUSG00000103783",26,25,27,28,27,14
"ENSMUSG00000103784",3,0,1,4,0,0
"ENSMUSG00000103785",35,18,20,16,24,27
"ENSMUSG00000103786",0,0,0,0,0,0
"ENSMUSG00000103787",0,0,0,0,0,0
"ENSMUSG00000103788",0,0,0,0,0,0
"ENSMUSG00000103789",0,0,0,0,0,0
"ENSMUSG00000103790",0,0,0,0,0,0
"ENSMUSG00000103791",2,0,0,0,0,0
"ENSMUSG00000103792",0,0,0,0,0,0
"ENSMUSG00000103793",551,583,739,664,669,421
"ENSMUSG00000103794",0,0,0,0,0,0
"ENSMUSG00000103795",0,0,0,0,0,0
"ENSMUSG00000103796",0,0,0,0,0,0
"ENSMUSG00000103797",0,0,0,0,0,0
"ENSMUSG00000103798",0,0,0,0,0,0
"ENSMUSG00000103799",0,0,0,0,0,0
"ENSMUSG00000103800",42,45,21,18,44,41
"ENSMUSG00000103801",0,2,0,0,0,0
"ENSMUSG00000103802",0,0,0,0,0,0
"ENSMUSG00000103803",5,1,2,0,10,0
"ENSMUSG00000103804",21,64,26,22,36,68
"ENSMUSG00000103805",21,29,24,11,31,15
"ENSMUSG00000103807",0,0,0,0,0,0
"ENSMUSG00000103808",26,77,51,42,35,31
"ENSMUSG00000103809",9,11,9,9,17,20
"ENSMUSG00000103810",2,0,2,0,1,0
"ENSMUSG00000103811",0,3,0,6,5,0
"ENSMUSG00000103812",0,0,0,0,0,0
"ENSMUSG00000103813",0,0,0,0,0,0
"ENSMUSG00000103814",0,0,4,0,0,7
"ENSMUSG00000103815",0,0,0,0,0,0
"ENSMUSG00000103816",0,0,0,0,0,0
"ENSMUSG00000103817",0,0,0,0,0,0
"ENSMUSG00000103818",32,12,19,7,14,19
"ENSMUSG00000103819",4,9,1,0,5,0
"ENSMUSG00000103821",27,34,18,30,54,43
"ENSMUSG00000103822",1,11,1,0,4,0
"ENSMUSG00000103823",5,2,3,2,1,2
"ENSMUSG00000103824",12,9,3,2,18,9
"ENSMUSG00000103825",13,24,8,5,19,30
"ENSMUSG00000103827",7,12,4,16,15,12
"ENSMUSG00000103828",4,0,0,1,0,1
"ENSMUSG00000103829",0,0,0,0,0,0
"ENSMUSG00000103830",3,1,1,0,2,3
"ENSMUSG00000103831",62,25,38,33,50,94
"ENSMUSG00000103832",1,9,5,17,6,3
"ENSMUSG00000103833",0,0,0,0,0,0
"ENSMUSG00000103834",13,12,15,25,13,12
"ENSMUSG00000103835",0,3,1,0,0,0
"ENSMUSG00000103837",0,0,0,0,0,0
"ENSMUSG00000103839",104,111,104,83,118,183
"ENSMUSG00000103840",3,0,0,0,0,0
"ENSMUSG00000103841",0,0,0,0,0,0
"ENSMUSG00000103842",0,0,0,0,0,0
"ENSMUSG00000103843",1,0,0,11,1,1
"ENSMUSG00000103844",0,0,0,0,0,0
"ENSMUSG00000103845",57,49,35,33,37,28
"ENSMUSG00000103846",4,2,10,6,4,14
"ENSMUSG00000103847",11,4,10,9,13,6
"ENSMUSG00000103848",0,0,1,0,4,0
"ENSMUSG00000103849",0,0,0,0,0,0
"ENSMUSG00000103850",0,0,0,0,0,0
"ENSMUSG00000103851",142,85,78,110,107,118
"ENSMUSG00000103852",0,0,0,0,0,0
"ENSMUSG00000103854",13,12,22,16,3,9
"ENSMUSG00000103856",1,8,1,4,1,0
"ENSMUSG00000103857",32,27,18,35,40,25
"ENSMUSG00000103858",0,0,0,0,0,0
"ENSMUSG00000103859",0,0,0,0,0,0
"ENSMUSG00000103860",0,0,0,0,0,0
"ENSMUSG00000103862",0,0,0,0,0,0
"ENSMUSG00000103863",0,0,0,0,0,0
"ENSMUSG00000103864",6,4,6,9,6,3
"ENSMUSG00000103865",0,1,0,0,0,1
"ENSMUSG00000103867",107,158,78,135,127,136
"ENSMUSG00000103869",91,119,86,93,91,77
"ENSMUSG00000103870",0,2,1,0,0,2
"ENSMUSG00000103871",0,0,0,0,0,0
"ENSMUSG00000103872",0,0,0,0,0,0
"ENSMUSG00000103873",0,0,0,0,0,0
"ENSMUSG00000103874",0,0,0,0,0,0
"ENSMUSG00000103875",0,0,0,0,0,0
"ENSMUSG00000103876",0,0,0,0,0,0
"ENSMUSG00000103877",0,0,0,0,0,0
"ENSMUSG00000103878",0,0,0,0,0,0
"ENSMUSG00000103880",1,5,6,5,5,1
"ENSMUSG00000103881",0,0,0,0,0,0
"ENSMUSG00000103882",20,4,0,10,9,37
"ENSMUSG00000103883",1,0,2,0,0,0
"ENSMUSG00000103884",13,2,8,4,4,2
"ENSMUSG00000103885",28,21,12,11,25,15
"ENSMUSG00000103886",0,0,0,0,0,0
"ENSMUSG00000103887",21,34,35,18,39,26
"ENSMUSG00000103889",71,71,58,63,86,76
"ENSMUSG00000103890",0,0,0,0,0,0
"ENSMUSG00000103891",75,65,46,49,56,73
"ENSMUSG00000103892",0,0,0,0,0,0
"ENSMUSG00000103893",0,0,0,0,0,0
"ENSMUSG00000103894",0,0,0,0,0,0
"ENSMUSG00000103895",0,0,0,0,0,0
"ENSMUSG00000103896",0,0,0,0,0,0
"ENSMUSG00000103897",547,660,471,485,594,581
"ENSMUSG00000103898",35,57,41,61,29,73
"ENSMUSG00000103899",91,92,73,117,86,172
"ENSMUSG00000103900",5,1,1,4,0,7
"ENSMUSG00000103901",207,205,210,247,290,235
"ENSMUSG00000103902",0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0
"ENSMUSG00000103904",0,0,0,0,0,0
"ENSMUSG00000103905",0,0,0,0,0,0
"ENSMUSG00000103906",103,104,110,108,166,94
"ENSMUSG00000103907",25,2,23,20,45,29
"ENSMUSG00000103908",0,0,0,8,0,0
"ENSMUSG00000103909",0,0,0,0,0,0
"ENSMUSG00000103911",2,0,2,0,0,0
"ENSMUSG00000103912",0,0,0,0,0,2
"ENSMUSG00000103913",0,0,0,0,0,0
"ENSMUSG00000103914",173,174,81,90,137,194
"ENSMUSG00000103915",0,0,0,0,0,0
"ENSMUSG00000103916",62,42,37,34,56,55
"ENSMUSG00000103917",0,0,0,0,0,0
"ENSMUSG00000103918",0,0,0,0,0,0
"ENSMUSG00000103919",0,0,0,0,0,0
"ENSMUSG00000103920",7,0,3,0,2,1
"ENSMUSG00000103921",5,1,1,4,1,9
"ENSMUSG00000103922",1,4,6,6,7,3
"ENSMUSG00000103923",9,0,0,0,7,0
"ENSMUSG00000103924",280,397,293,239,420,327
"ENSMUSG00000103925",2,1,13,8,3,0
"ENSMUSG00000103926",13,22,16,7,11,15
"ENSMUSG00000103927",0,0,0,0,0,0
"ENSMUSG00000103928",32,27,25,21,37,49
"ENSMUSG00000103929",7,0,4,0,0,4
"ENSMUSG00000103930",0,0,0,0,0,0
"ENSMUSG00000103931",12,9,10,13,8,21
"ENSMUSG00000103932",47,44,27,39,38,44
"ENSMUSG00000103933",0,0,1,0,0,0
"ENSMUSG00000103934",0,0,0,0,0,0
"ENSMUSG00000103935",0,0,0,0,0,0
"ENSMUSG00000103936",0,0,0,0,0,0
"ENSMUSG00000103937",67,64,43,54,87,62
"ENSMUSG00000103938",2,0,0,8,0,6
"ENSMUSG00000103939",0,0,0,0,0,0
"ENSMUSG00000103940",3,0,9,2,0,7
"ENSMUSG00000103942",0,0,0,0,0,0
"ENSMUSG00000103943",0,0,0,0,0,0
"ENSMUSG00000103944",0,0,0,0,0,0
"ENSMUSG00000103945",9,16,16,13,18,16
"ENSMUSG00000103947",111,216,122,186,99,118
"ENSMUSG00000103948",14,19,3,3,10,17
"ENSMUSG00000103949",1,0,0,0,2,0
"ENSMUSG00000103950",0,0,0,0,0,0
"ENSMUSG00000103951",0,0,0,0,0,0
"ENSMUSG00000103952",33,20,18,6,45,19
"ENSMUSG00000103953",1,0,0,3,0,0
"ENSMUSG00000103954",0,0,0,0,0,0
"ENSMUSG00000103955",0,0,0,0,0,0
"ENSMUSG00000103956",0,0,0,0,0,0
"ENSMUSG00000103957",3,1,2,0,1,3
"ENSMUSG00000103958",5,0,1,0,4,5
"ENSMUSG00000103959",60,90,29,33,49,70
"ENSMUSG00000103960",0,0,0,0,0,0
"ENSMUSG00000103961",14,10,5,7,7,7
"ENSMUSG00000103962",0,0,0,0,0,0
"ENSMUSG00000103963",0,0,0,0,0,0
"ENSMUSG00000103964",17,6,5,18,10,13
"ENSMUSG00000103965",2,0,4,0,0,1
"ENSMUSG00000103966",6,8,4,18,4,1
"ENSMUSG00000103967",40,44,35,24,51,54
"ENSMUSG00000103968",0,0,0,0,0,0
"ENSMUSG00000103969",0,0,0,0,0,0
"ENSMUSG00000103970",5,1,3,0,2,5
"ENSMUSG00000103971",5,51,10,20,8,23
"ENSMUSG00000103972",0,7,5,4,9,5
"ENSMUSG00000103973",41,19,34,17,35,32
"ENSMUSG00000103975",0,0,0,0,2,2
"ENSMUSG00000103976",118,178,62,84,108,145
"ENSMUSG00000103977",0,0,0,0,0,0
"ENSMUSG00000103978",0,0,0,0,0,0
"ENSMUSG00000103979",0,0,0,1,0,0
"ENSMUSG00000103980",0,0,0,0,0,0
"ENSMUSG00000103981",0,0,0,0,0,0
"ENSMUSG00000103982",0,0,0,0,0,0
"ENSMUSG00000103983",139,120,116,101,138,211
"ENSMUSG00000103984",25,28,14,34,17,30
"ENSMUSG00000103985",0,0,2,0,0,3
"ENSMUSG00000103986",4,1,0,1,3,2
"ENSMUSG00000103987",0,0,0,0,0,0
"ENSMUSG00000103989",0,0,0,0,0,0
"ENSMUSG00000103990",0,0,0,0,0,0
"ENSMUSG00000103991",32,59,26,42,23,35
"ENSMUSG00000103992",48,38,19,24,102,36
"ENSMUSG00000103993",0,0,0,0,0,0
"ENSMUSG00000103994",0,0,0,0,0,0
"ENSMUSG00000103995",0,0,0,0,0,0
"ENSMUSG00000103996",4,15,2,10,3,5
"ENSMUSG00000103997",0,0,0,0,0,0
"ENSMUSG00000103998",0,0,2,0,0,0
"ENSMUSG00000103999",1,1,5,0,12,0
"ENSMUSG00000104000",0,0,0,0,0,0
"ENSMUSG00000104001",0,0,0,0,0,0
"ENSMUSG00000104002",6,4,4,2,5,6
"ENSMUSG00000104004",0,0,0,0,0,0
"ENSMUSG00000104006",0,0,0,0,0,0
"ENSMUSG00000104007",0,0,0,0,0,0
"ENSMUSG00000104009",5,0,0,0,0,0
"ENSMUSG00000104010",14,25,16,3,11,17
"ENSMUSG00000104011",90,62,70,63,79,55
"ENSMUSG00000104012",1,0,1,4,2,1
"ENSMUSG00000104013",0,0,0,0,0,0
"ENSMUSG00000104014",0,0,0,0,0,0
"ENSMUSG00000104015",0,0,0,0,0,0
"ENSMUSG00000104016",0,0,0,0,0,0
"ENSMUSG00000104017",147,197,125,216,205,227
"ENSMUSG00000104018",18,41,17,38,16,30
"ENSMUSG00000104020",13,10,18,7,15,11
"ENSMUSG00000104021",1,1,0,0,0,5
"ENSMUSG00000104022",0,0,1,0,1,5
"ENSMUSG00000104023",0,0,0,0,0,0
"ENSMUSG00000104024",0,0,0,0,0,0
"ENSMUSG00000104025",0,0,1,2,3,1
"ENSMUSG00000104026",35,23,23,39,62,31
"ENSMUSG00000104027",106,141,84,90,134,139
"ENSMUSG00000104028",0,0,0,0,0,0
"ENSMUSG00000104029",0,0,0,0,0,0
"ENSMUSG00000104030",72,118,81,73,87,93
"ENSMUSG00000104031",0,0,0,0,0,0
"ENSMUSG00000104032",0,0,0,0,0,0
"ENSMUSG00000104033",50,42,35,57,111,34
"ENSMUSG00000104034",21,10,7,9,26,10
"ENSMUSG00000104035",0,0,0,0,0,0
"ENSMUSG00000104036",0,0,0,0,0,0
"ENSMUSG00000104037",39,65,28,26,48,43
"ENSMUSG00000104038",0,0,0,0,0,0
"ENSMUSG00000104039",8,10,9,4,10,10
"ENSMUSG00000104040",1,0,1,3,1,0
"ENSMUSG00000104041",15,4,7,1,5,6
"ENSMUSG00000104042",0,0,3,0,0,0
"ENSMUSG00000104043",1,0,0,0,4,0
"ENSMUSG00000104044",75,51,42,33,32,46
"ENSMUSG00000104045",0,0,0,0,0,0
"ENSMUSG00000104046",18,15,12,2,0,21
"ENSMUSG00000104048",0,0,0,0,0,0
"ENSMUSG00000104050",0,0,0,0,0,0
"ENSMUSG00000104051",0,0,0,0,0,0
"ENSMUSG00000104052",27,13,16,13,18,18
"ENSMUSG00000104053",0,0,0,0,0,0
"ENSMUSG00000104054",0,0,0,0,0,0
"ENSMUSG00000104055",0,0,0,0,0,0
"ENSMUSG00000104057",0,0,0,0,0,0
"ENSMUSG00000104059",0,0,0,0,0,0
"ENSMUSG00000104060",11,19,11,14,6,28
"ENSMUSG00000104061",13,17,11,19,17,27
"ENSMUSG00000104062",0,0,0,0,0,0
"ENSMUSG00000104063",327,292,339,354,346,380
"ENSMUSG00000104064",4,7,6,5,30,11
"ENSMUSG00000104065",0,0,0,0,0,0
"ENSMUSG00000104066",4,3,0,10,6,0
"ENSMUSG00000104067",0,0,0,0,0,0
"ENSMUSG00000104068",0,0,0,0,0,0
"ENSMUSG00000104069",0,0,0,0,0,0
"ENSMUSG00000104070",0,0,0,0,0,0
"ENSMUSG00000104071",0,0,0,0,1,0
"ENSMUSG00000104072",0,0,0,0,0,0
"ENSMUSG00000104073",0,0,0,0,0,0
"ENSMUSG00000104074",0,0,0,0,0,0
"ENSMUSG00000104075",0,0,0,0,0,0
"ENSMUSG00000104076",0,0,0,0,0,0
"ENSMUSG00000104077",10,0,5,5,1,0
"ENSMUSG00000104078",11,9,9,7,21,8
"ENSMUSG00000104079",0,0,0,0,0,0
"ENSMUSG00000104080",0,1,1,0,0,0
"ENSMUSG00000104081",1,0,0,0,4,4
"ENSMUSG00000104082",0,0,0,0,0,0
"ENSMUSG00000104083",0,0,0,0,0,0
"ENSMUSG00000104084",0,0,0,0,0,0
"ENSMUSG00000104085",0,0,0,0,0,0
"ENSMUSG00000104086",0,0,1,0,0,0
"ENSMUSG00000104087",0,0,0,0,0,0
"ENSMUSG00000104088",0,0,0,0,0,0
"ENSMUSG00000104089",0,0,0,0,0,0
"ENSMUSG00000104091",4,0,10,0,4,3
"ENSMUSG00000104092",0,0,0,0,0,0
"ENSMUSG00000104093",4,12,11,18,4,14
"ENSMUSG00000104094",33,27,17,27,32,31
"ENSMUSG00000104095",0,0,0,0,0,0
"ENSMUSG00000104096",0,0,0,0,0,0
"ENSMUSG00000104097",0,0,0,0,0,0
"ENSMUSG00000104098",0,0,0,0,0,0
"ENSMUSG00000104099",0,0,0,0,0,0
"ENSMUSG00000104100",116,170,82,71,140,123
"ENSMUSG00000104101",0,0,0,0,0,0
"ENSMUSG00000104102",0,0,0,0,0,0
"ENSMUSG00000104103",125,149,141,172,149,170
"ENSMUSG00000104104",19,30,8,9,12,17
"ENSMUSG00000104105",0,0,0,0,0,0
"ENSMUSG00000104106",6,1,5,15,1,9
"ENSMUSG00000104107",26,34,26,15,46,20
"ENSMUSG00000104108",1,4,0,2,2,7
"ENSMUSG00000104109",2,0,0,0,12,0
"ENSMUSG00000104110",0,0,0,0,0,0
"ENSMUSG00000104111",0,0,0,0,0,0
"ENSMUSG00000104112",0,0,0,0,0,0
"ENSMUSG00000104113",16,9,11,0,10,4
"ENSMUSG00000104114",13,1,11,5,13,9
"ENSMUSG00000104115",0,0,0,0,0,0
"ENSMUSG00000104116",46,100,46,50,84,53
"ENSMUSG00000104117",23,32,44,62,33,29
"ENSMUSG00000104118",212,184,158,140,170,211
"ENSMUSG00000104120",0,0,1,4,3,0
"ENSMUSG00000104121",22,28,12,35,30,20
"ENSMUSG00000104122",1,0,1,0,3,0
"ENSMUSG00000104123",0,0,0,0,0,0
"ENSMUSG00000104125",65,50,52,66,46,107
"ENSMUSG00000104126",0,1,2,5,1,8
"ENSMUSG00000104127",0,0,0,0,0,0
"ENSMUSG00000104129",0,0,0,0,0,0
"ENSMUSG00000104130",3,5,0,0,15,18
"ENSMUSG00000104131",0,0,0,0,0,0
"ENSMUSG00000104132",236,324,201,207,279,235
"ENSMUSG00000104133",0,0,0,0,0,0
"ENSMUSG00000104134",0,0,0,0,0,0
"ENSMUSG00000104135",0,0,0,0,0,0
"ENSMUSG00000104136",33,23,14,37,53,38
"ENSMUSG00000104137",0,0,0,0,0,0
"ENSMUSG00000104138",19,24,27,18,12,24
"ENSMUSG00000104140",41,74,36,16,47,48
"ENSMUSG00000104141",0,0,0,0,0,0
"ENSMUSG00000104142",0,0,0,0,0,0
"ENSMUSG00000104144",0,0,0,0,0,0
"ENSMUSG00000104145",92,109,42,90,102,96
"ENSMUSG00000104146",0,0,0,0,0,0
"ENSMUSG00000104147",0,0,0,0,0,0
"ENSMUSG00000104148",51,53,49,39,75,39
"ENSMUSG00000104149",22,37,17,12,26,29
"ENSMUSG00000104150",0,0,0,0,0,0
"ENSMUSG00000104152",0,0,0,0,0,0
"ENSMUSG00000104153",16,9,3,3,13,10
"ENSMUSG00000104154",55,64,78,45,77,61
"ENSMUSG00000104155",0,0,0,0,0,0
"ENSMUSG00000104156",1,0,3,0,1,0
"ENSMUSG00000104157",7,22,9,6,7,18
"ENSMUSG00000104158",0,0,0,0,0,0
"ENSMUSG00000104159",0,0,0,0,0,0
"ENSMUSG00000104161",0,0,0,0,0,0
"ENSMUSG00000104162",0,0,0,0,2,0
"ENSMUSG00000104163",0,0,0,0,0,0
"ENSMUSG00000104164",22,17,23,14,17,25
"ENSMUSG00000104165",10,2,5,17,4,5
"ENSMUSG00000104166",0,0,0,0,0,0
"ENSMUSG00000104167",3,0,0,0,0,0
"ENSMUSG00000104168",46,54,75,61,56,69
"ENSMUSG00000104169",0,0,0,0,0,0
"ENSMUSG00000104170",17,25,8,20,21,29
"ENSMUSG00000104171",0,0,0,0,0,0
"ENSMUSG00000104172",0,0,0,0,0,0
"ENSMUSG00000104173",0,0,0,0,0,0
"ENSMUSG00000104174",0,0,0,0,2,0
"ENSMUSG00000104175",0,0,0,0,0,0
"ENSMUSG00000104176",0,0,0,0,0,0
"ENSMUSG00000104177",0,0,0,0,0,0
"ENSMUSG00000104178",43,53,55,32,88,30
"ENSMUSG00000104180",0,0,0,0,1,0
"ENSMUSG00000104181",15,20,6,3,15,15
"ENSMUSG00000104182",0,0,0,0,0,0
"ENSMUSG00000104183",0,0,0,4,0,0
"ENSMUSG00000104184",0,10,4,4,3,4
"ENSMUSG00000104185",0,0,0,0,0,0
"ENSMUSG00000104186",0,0,0,4,0,0
"ENSMUSG00000104187",8,0,3,0,5,0
"ENSMUSG00000104188",0,0,2,0,0,2
"ENSMUSG00000104189",0,0,0,0,0,0
"ENSMUSG00000104190",13,19,7,10,1,6
"ENSMUSG00000104191",0,0,0,0,0,0
"ENSMUSG00000104192",0,0,0,0,0,0
"ENSMUSG00000104194",0,0,0,0,0,0
"ENSMUSG00000104195",13,25,13,27,13,27
"ENSMUSG00000104197",18,0,18,4,14,14
"ENSMUSG00000104198",0,0,0,2,0,0
"ENSMUSG00000104199",0,0,2,0,0,0
"ENSMUSG00000104200",21,3,15,3,9,11
"ENSMUSG00000104201",0,0,0,0,0,0
"ENSMUSG00000104202",0,0,0,0,0,0
"ENSMUSG00000104203",0,0,0,0,0,0
"ENSMUSG00000104204",81,131,85,95,99,93
"ENSMUSG00000104205",26,23,13,12,16,15
"ENSMUSG00000104206",0,0,0,0,0,0
"ENSMUSG00000104207",0,0,0,0,0,0
"ENSMUSG00000104208",0,0,0,0,0,0
"ENSMUSG00000104209",0,0,0,0,0,0
"ENSMUSG00000104210",43,63,34,48,31,47
"ENSMUSG00000104211",4,0,2,0,0,2
"ENSMUSG00000104212",2,9,6,0,2,9
"ENSMUSG00000104213",23,6,25,28,25,18
"ENSMUSG00000104214",19,40,22,34,17,43
"ENSMUSG00000104215",0,0,0,0,0,0
"ENSMUSG00000104216",0,0,0,0,0,0
"ENSMUSG00000104217",0,0,0,0,0,0
"ENSMUSG00000104218",13,4,8,4,4,2
"ENSMUSG00000104219",0,0,0,0,0,0
"ENSMUSG00000104220",0,0,0,0,0,0
"ENSMUSG00000104221",98,83,92,64,135,70
"ENSMUSG00000104222",2889,3751,3029,3236,4264,2793
"ENSMUSG00000104223",0,0,0,0,0,0
"ENSMUSG00000104224",0,0,0,0,0,0
"ENSMUSG00000104225",0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0
"ENSMUSG00000104227",0,0,0,0,0,0
"ENSMUSG00000104228",0,0,0,0,0,0
"ENSMUSG00000104229",0,0,0,0,0,0
"ENSMUSG00000104230",0,0,0,0,0,0
"ENSMUSG00000104231",0,0,0,0,0,0
"ENSMUSG00000104232",0,0,0,0,0,0
"ENSMUSG00000104233",0,0,0,0,0,0
"ENSMUSG00000104234",0,0,0,0,0,0
"ENSMUSG00000104235",58,65,47,49,41,84
"ENSMUSG00000104236",0,0,0,0,0,0
"ENSMUSG00000104237",40,22,22,16,53,46
"ENSMUSG00000104238",4,8,0,0,1,0
"ENSMUSG00000104239",41,27,29,39,30,20
"ENSMUSG00000104240",17,21,11,10,29,17
"ENSMUSG00000104241",17,0,11,11,9,8
"ENSMUSG00000104242",0,0,0,0,0,0
"ENSMUSG00000104243",0,0,0,0,0,0
"ENSMUSG00000104244",2,3,7,0,2,1
"ENSMUSG00000104245",0,0,0,0,1,0
"ENSMUSG00000104247",0,0,0,0,0,0
"ENSMUSG00000104248",0,0,0,0,0,0
"ENSMUSG00000104249",0,0,0,0,0,0
"ENSMUSG00000104251",0,0,0,0,0,0
"ENSMUSG00000104252",0,0,0,1,3,4
"ENSMUSG00000104253",21,25,32,14,32,37
"ENSMUSG00000104254",0,0,0,0,0,0
"ENSMUSG00000104255",0,0,0,0,0,0
"ENSMUSG00000104256",0,0,0,0,0,0
"ENSMUSG00000104257",65,117,69,50,90,78
"ENSMUSG00000104258",1,0,0,0,0,0
"ENSMUSG00000104259",0,0,0,0,0,0
"ENSMUSG00000104260",0,0,0,0,0,0
"ENSMUSG00000104261",0,0,0,0,0,0
"ENSMUSG00000104262",22,56,21,28,35,42
"ENSMUSG00000104263",1,0,0,0,1,0
"ENSMUSG00000104264",24,21,17,10,28,32
"ENSMUSG00000104265",0,0,0,0,0,0
"ENSMUSG00000104266",1,13,7,4,7,0
"ENSMUSG00000104267",0,0,0,0,0,0
"ENSMUSG00000104268",0,0,0,0,0,0
"ENSMUSG00000104269",0,0,0,0,0,0
"ENSMUSG00000104270",0,0,0,0,0,0
"ENSMUSG00000104271",23,18,22,36,14,27
"ENSMUSG00000104272",0,3,3,4,9,12
"ENSMUSG00000104273",37,17,15,29,37,22
"ENSMUSG00000104274",0,0,0,0,0,0
"ENSMUSG00000104275",0,0,0,0,0,0
"ENSMUSG00000104276",0,0,0,0,0,0
"ENSMUSG00000104277",127,110,71,50,42,87
"ENSMUSG00000104278",0,0,0,0,0,0
"ENSMUSG00000104279",70,80,115,60,86,55
"ENSMUSG00000104280",0,0,3,3,3,0
"ENSMUSG00000104281",0,0,1,0,0,0
"ENSMUSG00000104282",0,0,1,0,1,0
"ENSMUSG00000104283",0,0,0,7,2,5
"ENSMUSG00000104284",164,126,105,130,145,198
"ENSMUSG00000104285",0,0,0,0,0,0
"ENSMUSG00000104286",5,2,8,0,7,6
"ENSMUSG00000104287",0,0,0,0,0,0
"ENSMUSG00000104288",0,0,0,0,0,0
"ENSMUSG00000104289",0,0,0,0,0,0
"ENSMUSG00000104290",0,0,0,0,0,2
"ENSMUSG00000104291",2,7,14,11,15,7
"ENSMUSG00000104292",17,8,10,5,27,8
"ENSMUSG00000104293",42,57,45,27,58,58
"ENSMUSG00000104294",0,0,0,0,0,0
"ENSMUSG00000104295",2,13,3,22,8,7
"ENSMUSG00000104296",0,0,0,0,0,0
"ENSMUSG00000104297",0,0,0,0,0,0
"ENSMUSG00000104298",0,0,0,0,0,0
"ENSMUSG00000104299",37,46,40,54,13,25
"ENSMUSG00000104301",2,8,4,12,10,0
"ENSMUSG00000104302",0,0,0,0,1,0
"ENSMUSG00000104303",0,0,0,0,0,0
"ENSMUSG00000104304",5,9,7,0,5,6
"ENSMUSG00000104306",1,0,0,1,0,0
"ENSMUSG00000104307",0,0,0,0,0,0
"ENSMUSG00000104308",0,0,0,0,0,0
"ENSMUSG00000104309",3,1,4,5,4,1
"ENSMUSG00000104310",36,32,31,22,6,41
"ENSMUSG00000104311",0,0,0,0,0,0
"ENSMUSG00000104312",0,0,0,0,0,0
"ENSMUSG00000104313",30,37,25,14,18,48
"ENSMUSG00000104314",0,0,0,0,0,0
