"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000091731",0,0,0,0,0,0
"ENSMUSG00000091732",0,0,0,0,0,0
"ENSMUSG00000091733",0,0,0,0,0,0
"ENSMUSG00000091734",0,0,0,0,0,0
"ENSMUSG00000091735",0,0,0,0,0,0
"ENSMUSG00000091736",12.87,17.73,16,24.24,17.6,16.93
"ENSMUSG00000091740",0,0,0,0,0,0
"ENSMUSG00000091741",0,0,0,0,0,0
"ENSMUSG00000091742",6.1,1.02,8.13,1.01,2.07,1.01
"ENSMUSG00000091743",0,0,0,0,0,0
"ENSMUSG00000091745",0,0,0,0,0,0
"ENSMUSG00000091749",0,0,0,0,0,0
"ENSMUSG00000091752",0,0,0,0,0,0
"ENSMUSG00000091754",0,0,0,0,2,0
"ENSMUSG00000091756",0,0,0,0,0,0
"ENSMUSG00000091757",0,0,0,0,0,0
"ENSMUSG00000091762",0,0,0,0,0,0
"ENSMUSG00000091764",50.19,55,102,107.37,73,65
"ENSMUSG00000091768",0,0,0,0,0,0
"ENSMUSG00000091771",0,0,0,0,0,0
"ENSMUSG00000091775",0,0,0,0,0,0
"ENSMUSG00000091776",0,0,0,0,0,0
"ENSMUSG00000091779",0,0,0,0,0,0
"ENSMUSG00000091780",1389.5,1705.34,1459.28,1262.87,774.89,681.43
"ENSMUSG00000091784",0,0,0,1,0,0
"ENSMUSG00000091785",0,0,0,0,0,0
"ENSMUSG00000091786",0,0,0,0,0,1
"ENSMUSG00000091788",0,0,0,0,0,0
"ENSMUSG00000091792",0,0,0,0,0,0
"ENSMUSG00000091794",0,0,0,0,0,0
"ENSMUSG00000091800",0,0,0,0,0,0
"ENSMUSG00000091803",1754,1317.09,1828.04,1082.53,1355.11,1446.33
"ENSMUSG00000091805",0,0,2,0,0,0
"ENSMUSG00000091806",0,0,0,0,0,0
"ENSMUSG00000091808",0,0,0,0,0,0
"ENSMUSG00000091809",0,0,0,0,0,0
"ENSMUSG00000091811",50,49,58,48,67,75
"ENSMUSG00000091812",0,0,0,0,0,0
"ENSMUSG00000091813",2,4,5,3,11,6
"ENSMUSG00000091814",0,0,0,0,0,0
"ENSMUSG00000091815",0,0,0,0,0,0
"ENSMUSG00000091816",0,0,0,0,0,0
"ENSMUSG00000091817",0,0,0,0,0,0
"ENSMUSG00000091818",0,0,0,0,0,0
"ENSMUSG00000091821",0,0,0,0,0,0
"ENSMUSG00000091825",1,0,0,0,0,0
"ENSMUSG00000091827",0,0,0,0,0,0
"ENSMUSG00000091831",3,13.07,6,7,4.02,3
"ENSMUSG00000091832",0,0,0,0,0,0
"ENSMUSG00000091834",0,0,0,0,0,0
"ENSMUSG00000091842",0,0,0,0,0,0
"ENSMUSG00000091844",4,11,4,11,6,9
"ENSMUSG00000091845",47.22,42.55,68.38,41.2,51.54,49.54
"ENSMUSG00000091847",0,0,0,0,0,0
"ENSMUSG00000091849",0,0,0,0,0,0
"ENSMUSG00000091859",0,0,0,0,0,0
"ENSMUSG00000091863",0,0,0,0,0,0
"ENSMUSG00000091864",3,3,9,10,6,12
"ENSMUSG00000091866",0,0,0,0,0,0
"ENSMUSG00000091867",1772.91,1963.89,957.81,791.52,552.13,615.24
"ENSMUSG00000091873",0,0,0,0,0,0
"ENSMUSG00000091874",0,0,0,0,0,0
"ENSMUSG00000091876",0,0,0,0,0,0
"ENSMUSG00000091879",0,0,0,0,0,0
"ENSMUSG00000091881",0,0,0,1,1,0
"ENSMUSG00000091882",0,0,0,0,0,0
"ENSMUSG00000091887",0,0,0,0,0,0
"ENSMUSG00000091888",0,0,0,0,0,0
"ENSMUSG00000091890",0,0,1,0,1,0
"ENSMUSG00000091894",0,0,0,0,0,0
"ENSMUSG00000091896",1781.23,1574.29,1502.92,1341.13,1327.38,1423.49
"ENSMUSG00000091897",0,0,0,0,0,0
"ENSMUSG00000091898",22,12,16,54,37,64
"ENSMUSG00000091900",4.76,8.94,2,7.83,0,4.21
"ENSMUSG00000091902",0,0,0,0,0,0
"ENSMUSG00000091903",0,0,0,0,0,0
"ENSMUSG00000091905",4.53,8.92,6.18,8.31,7.71,9.96
"ENSMUSG00000091906",0,0,1,3,0,0
"ENSMUSG00000091908",0,0,0,0,0,0
"ENSMUSG00000091911",0,0,0,0,0,0
"ENSMUSG00000091922",0,0,0,0,0,0
"ENSMUSG00000091923",0,0,0,0,0,0
"ENSMUSG00000091924",0,0,0,0,0,0
"ENSMUSG00000091926",0,0,0,0,0,0
"ENSMUSG00000091929",0,0,0,0,0,0
"ENSMUSG00000091930",0,1,0,0,0,0
"ENSMUSG00000091931",115.98,113.68,174.94,163.1,146.07,166.38
"ENSMUSG00000091933",0,0,0,0,0,0
"ENSMUSG00000091936",0,0,0,0,0,0
"ENSMUSG00000091937",0,0,0,0,0,0
"ENSMUSG00000091938",17.35,21.57,5.1,17.65,32.66,22.94
"ENSMUSG00000091941",2.02,4.12,1.02,2.05,1.03,0
"ENSMUSG00000091942",0,0,0,0,0,0
"ENSMUSG00000091945",0,0,0,0,0,0
"ENSMUSG00000091947",0,0,2,0,0,0
"ENSMUSG00000091950",0,0,0,0,0,0
"ENSMUSG00000091952",2.31,1.05,2.09,0,1.73,2.22
"ENSMUSG00000091955",1.2,2.56,1.26,0,0,0
"ENSMUSG00000091956",0,0,0,3,0,0
"ENSMUSG00000091957",171.22,173.77,196.57,157.68,155.31,189.02
"ENSMUSG00000091960",0,0,0,0,0,0
"ENSMUSG00000091961",0,0,0,0,0,0
"ENSMUSG00000091962",0,0,0,0,0,0
"ENSMUSG00000091967",0,0,0,0,0,0
"ENSMUSG00000091968",9,6,5,0,2,8
"ENSMUSG00000091970",0,0,0,0,0,0
"ENSMUSG00000091971",14.96,7.95,16.42,52.89,121.58,83.75
"ENSMUSG00000091972",0,0,1,0,0,0
"ENSMUSG00000091983",0,0,0,0,0,0
"ENSMUSG00000091985",16,22,27,41,36,25
"ENSMUSG00000091987",0,0,0,0,0,0
"ENSMUSG00000091989",1.25,0,4.16,0,0,1.5
"ENSMUSG00000091990",0,0,0,0,0,0
"ENSMUSG00000091993",8.03,8.04,7.03,11.05,6.03,10.04
"ENSMUSG00000091994",16,26,17,18,18,14
"ENSMUSG00000091995",0,0,0,0,0,0
"ENSMUSG00000091996",58,6,11,11,8,7
"ENSMUSG00000091997",12,16.6,7,14,12,12
"ENSMUSG00000091998",0,0,0,1,1,2
"ENSMUSG00000092004",0,0,0,0,0,0
"ENSMUSG00000092006",1,0,1,0,1,0
"ENSMUSG00000092008",7865.8,9062.29,29112.28,25113.28,23155.85,29660.4
"ENSMUSG00000092009",0,0,0,1,0,0
"ENSMUSG00000092014",0,0,0,3,0,0
"ENSMUSG00000092019",0,0,0,0,0,0
"ENSMUSG00000092021",72.94,36.61,88.82,147.6,167.01,119.63
"ENSMUSG00000092027",0,0,0,0,0,0
"ENSMUSG00000092029",0,0,4.32,6.07,4.06,2.95
"ENSMUSG00000092031",0,0,0,0,0,0
"ENSMUSG00000092032",0,0,0,0,0,0
"ENSMUSG00000092035",15,10,15,24,21,9
"ENSMUSG00000092036",0,0,0,0,0,0
"ENSMUSG00000092039",0,0,0,0,0,0
"ENSMUSG00000092040",0,0,0,0,0,0
"ENSMUSG00000092042",0,0,0,0,0,0
"ENSMUSG00000092043",0,0,0,0,0,0
"ENSMUSG00000092045",0,0,0,0,0,0
"ENSMUSG00000092047",0,0,0,0,0,0
"ENSMUSG00000092048",0,0,0,0,0,0
"ENSMUSG00000092049",0,0,0,0,0,0
"ENSMUSG00000092051",13,30,19,41,14,11
"ENSMUSG00000092054",0,0,0,0,0,0
"ENSMUSG00000092055",0,0,0,0,0,0
"ENSMUSG00000092056",0,0,0,0,0,0
"ENSMUSG00000092060",62,55,90,146,74,89
"ENSMUSG00000092066",0,0,0,0,0,0
"ENSMUSG00000092071",1,1,0,2,0,1
"ENSMUSG00000092072",3.1,2.89,7.26,2.78,2.95,4.54
"ENSMUSG00000092073",0,0,0,0,0,0
"ENSMUSG00000092074",38.09,36.79,63.92,49,47.72,44.8
"ENSMUSG00000092075",261,240,69,279,1858,2259
"ENSMUSG00000092077",0,0,0,0,0,0
"ENSMUSG00000092080",0,0,0,0,0,0
"ENSMUSG00000092083",0,0,0,0,1,0
"ENSMUSG00000092085",1,0,0,0,0,0
"ENSMUSG00000092086",0,1.53,0,1.37,0,0
"ENSMUSG00000092090",1,0,1,0,1,1
"ENSMUSG00000092092",0,0,0,0,0,0
"ENSMUSG00000092093",0,0,0,0,0,0
"ENSMUSG00000092094",6,2,3,5,1,10
"ENSMUSG00000092097",0,1.06,3.3,3.43,0,0
"ENSMUSG00000092103",2,3,2,7,0,3
"ENSMUSG00000092107",0,0,0,0,0,0
"ENSMUSG00000092109",0,0,0,0,0,0
"ENSMUSG00000092111",0,0,0,0,0,0
"ENSMUSG00000092116",2.03,4.04,5.09,3.03,2.45,6.05
"ENSMUSG00000092118",58,86,86,93,59,83
"ENSMUSG00000092120",0,0,0,0,0,0
"ENSMUSG00000092123",0,0,0,0,0,0
"ENSMUSG00000092124",25,26,6,8,9,9
"ENSMUSG00000092125",0,0,0,0,0,0
"ENSMUSG00000092130",0,0,0,0,1,0
"ENSMUSG00000092131",0,0,2,0,0,0
"ENSMUSG00000092134",0,0,0,0,0,1
"ENSMUSG00000092142",0,0,0,0,0,0
"ENSMUSG00000092144",0,0,0,0,0,0
"ENSMUSG00000092147",0,0,0,0,0,0
"ENSMUSG00000092148",0,0,0,0,0,0
"ENSMUSG00000092152",0,0,0,0,0,0
"ENSMUSG00000092157",0,0,0,0,0,0
"ENSMUSG00000092162",0,0,0,0,0,0
"ENSMUSG00000092164",0,0,0,0,0,0
"ENSMUSG00000092165",0,0,0,0,0,0
"ENSMUSG00000092166",0,0,0,0,0,0
"ENSMUSG00000092167",0,0,0,0,0,0
"ENSMUSG00000092168",0,0,0,0,0,0
"ENSMUSG00000092171",0,0,0,0,0,0
"ENSMUSG00000092172",0,0,0,0,0,0
"ENSMUSG00000092173",0,0,0,0,0,0
"ENSMUSG00000092175",0,0,0,0,0,0
"ENSMUSG00000092176",0,0,0,0,0,0
"ENSMUSG00000092178",27.82,28,103.66,62.23,45.63,44.08
"ENSMUSG00000092179",0,0,0,0,0,0
"ENSMUSG00000092181",0,0,0,2,0,0
"ENSMUSG00000092182",0,0,0,0,0,0
"ENSMUSG00000092183",1,6,7,11,8,8
"ENSMUSG00000092184",0,0,0,0,0,0
"ENSMUSG00000092185",0,0,0,0,0,0
"ENSMUSG00000092186",0,0,0,0,0,0
"ENSMUSG00000092187",7,5,2,9,7,5
"ENSMUSG00000092188",0,0,0,0,0,0
"ENSMUSG00000092190",0,0,0,0,0,1
"ENSMUSG00000092191",0,0,0,0,0,0
"ENSMUSG00000092192",3,2,0,7.95,4,2
"ENSMUSG00000092193",0,0,0,0,0,0
"ENSMUSG00000092195",0,0,0,0,0,0
"ENSMUSG00000092196",0,0,0,0,0,0
"ENSMUSG00000092197",0,0,0,0,0,0
"ENSMUSG00000092199",0,0,0,0,0,0
"ENSMUSG00000092200",0,0,0,0,0,0
"ENSMUSG00000092201",0,0,0,0,0,0
"ENSMUSG00000092202",0,0,0,0,2,1
"ENSMUSG00000092203",191,156,217,149,192,194
"ENSMUSG00000092204",0,0,0,0,0,0
"ENSMUSG00000092208",0,0,0,0,0,0
"ENSMUSG00000092210",0,0,0,0,0,0
"ENSMUSG00000092211",0,0,0,0,0,0
"ENSMUSG00000092212",6.92,5,6,5,5.9,5
"ENSMUSG00000092213",0,0,0,0,0,0
"ENSMUSG00000092214",0,0,0,0,0,0
"ENSMUSG00000092216",0,3,0,0,1,1
"ENSMUSG00000092217",0,0,0,0,0,0
"ENSMUSG00000092218",0,0,0,0,0,0
"ENSMUSG00000092219",0,0,0,0,0,0
"ENSMUSG00000092220",158,123,90,172,108,105
"ENSMUSG00000092221",0,0,0,0,0,0
"ENSMUSG00000092223",0,0,0,0,0,0
"ENSMUSG00000092224",0,0,1,0,0,0
"ENSMUSG00000092225",0,0,0,0,0,0
"ENSMUSG00000092227",0,0,0,0,0,0
"ENSMUSG00000092228",0,0,0,0,0,0
"ENSMUSG00000092229",1,0,0,0,0,1
"ENSMUSG00000092230",0,0,0,0,0,0
"ENSMUSG00000092231",0,0,0,0,0,0
"ENSMUSG00000092232",0,0,0,0,0,0
"ENSMUSG00000092233",0,0,0,0,0,0
"ENSMUSG00000092237",0,0,0,0,0,0
"ENSMUSG00000092238",0,0,0,0,0,0
"ENSMUSG00000092239",0,0,0,0,0,0
"ENSMUSG00000092240",0,0,0,0,0,0
"ENSMUSG00000092241",13,30,29,21,23,14
"ENSMUSG00000092242",0,0,0,0,0,0
"ENSMUSG00000092243",0,1.02,0,0,0,0
"ENSMUSG00000092244",0,0,0,0,0,0
"ENSMUSG00000092245",0,0,0,0,0,0
"ENSMUSG00000092246",0,0,0,0,0,0
"ENSMUSG00000092247",20,0,4,4,2,2
"ENSMUSG00000092248",0,0,0,0,0,0
"ENSMUSG00000092250",0,0,0,0,0,0
"ENSMUSG00000092251",0,0,0,0,0,0
"ENSMUSG00000092253",0,0,0,0,0,0
"ENSMUSG00000092255",0,0,0,1,2,1
"ENSMUSG00000092256",0,0,0,0,0,0
"ENSMUSG00000092257",1,2.4,0,1,0,1
"ENSMUSG00000092258",0,1,0,1,0,0
"ENSMUSG00000092259",0,0,0,0,0,0
"ENSMUSG00000092260",111.13,92.92,105,134.63,119.59,153
"ENSMUSG00000092261",0,0,0,0,0,1
"ENSMUSG00000092263",0,0,0,0,0,0
"ENSMUSG00000092264",0,0,0,0,0,0
"ENSMUSG00000092265",0,0,0,0,0,0
"ENSMUSG00000092266",0,1,1,1,0,0
"ENSMUSG00000092268",17,6,10,3,4,11
"ENSMUSG00000092269",0,0,0,0,0,0
"ENSMUSG00000092270",0,0,0,0,0,0
"ENSMUSG00000092271",0,0,0,0,0,0
"ENSMUSG00000092272",0,0,0,0,0,0
"ENSMUSG00000092274",1918,4001,2104.99,6703.76,2144,2350.21
"ENSMUSG00000092275",0,0,0,0,0,0
"ENSMUSG00000092276",0,0,0,0,0,0
"ENSMUSG00000092277",9,4,2,3,3,4
"ENSMUSG00000092278",0,4.07,0,8.18,2.05,4.09
"ENSMUSG00000092281",0,0,0,0,0,0
"ENSMUSG00000092283",1,4,2,11,1,6
"ENSMUSG00000092284",0,0,0,0,0,0
"ENSMUSG00000092285",0,0,0,0,0,0
"ENSMUSG00000092286",0,0,0,0,0,0
"ENSMUSG00000092287",0,0,0,0,0,0
"ENSMUSG00000092289",0,0,0,0,0,0
"ENSMUSG00000092290",0,0,0,0,0,0
"ENSMUSG00000092292",0,0,0,0,0,0
"ENSMUSG00000092293",0,0,0,0,0,0
"ENSMUSG00000092294",0,0,0,0,0,0
"ENSMUSG00000092295",0,0,0,0,0,0
"ENSMUSG00000092296",0,0,0,0,0,0
"ENSMUSG00000092297",0,0,0,0,0,0
"ENSMUSG00000092298",0,0,0,0,0,0
"ENSMUSG00000092300",4,2,3,1,2,1
"ENSMUSG00000092301",0,0,0,0,0,0
"ENSMUSG00000092303",0,0,0,0,0,0
"ENSMUSG00000092304",0,0,0,0,0,0
"ENSMUSG00000092305",0,0,0,0,0,0
"ENSMUSG00000092306",0,0,0,0,0,0
"ENSMUSG00000092307",0,0,0,0,0,0
"ENSMUSG00000092308",0,0,0,0,0,0
"ENSMUSG00000092309",0,0,0,0,0,0
"ENSMUSG00000092310",0,0,0,0,0,0
"ENSMUSG00000092311",0,0,0,0,0,0
"ENSMUSG00000092312",0,0,0,0,0,0
"ENSMUSG00000092313",0,0,0,0,0,0
"ENSMUSG00000092314",0,0,0,0,0,0
"ENSMUSG00000092316",0,0,0,0,0,0
"ENSMUSG00000092317",0,0,0,0,0,0
"ENSMUSG00000092318",0,0,0,0,0,0
"ENSMUSG00000092322",0,0,0,0,0,0
"ENSMUSG00000092323",0,0,0,1,1,0
"ENSMUSG00000092325",0,0,0,0,0,1.05
"ENSMUSG00000092326",0,0,0,0,0,0
"ENSMUSG00000092328",0,0,0,0,0,0
"ENSMUSG00000092329",1068.46,1067.51,465.34,709.59,571.16,926.36
"ENSMUSG00000092330",0,0,0,0,0,0
"ENSMUSG00000092331",0,0,0,0,0,0
"ENSMUSG00000092332",0,0,0,0,0,0
"ENSMUSG00000092335",10,20,15,6,14,12
"ENSMUSG00000092336",0,0,0,0,0,0
"ENSMUSG00000092338",0,0,0,0,0,0
"ENSMUSG00000092339",0,0,0,0,0,0
"ENSMUSG00000092340",1,1,0,0,1,1
"ENSMUSG00000092341",34622,41402,36375,47319,46098,57223
"ENSMUSG00000092342",0,0,0,0,0,0
"ENSMUSG00000092343",0,0,0,0,0,0
"ENSMUSG00000092344",0,0,0,0,0,3.01
"ENSMUSG00000092345",0,0,0,0,0,0
"ENSMUSG00000092346",0,0,0,0,0,0
"ENSMUSG00000092349",3,2,2,3,3,4
"ENSMUSG00000092350",0,0,0,0,0,0
"ENSMUSG00000092351",0,0,0,0,0,0
"ENSMUSG00000092353",0,0,0,0,0,1
"ENSMUSG00000092354",3,3,1,4,2,1
"ENSMUSG00000092356",3.05,0,0,0,0,1.01
"ENSMUSG00000092357",0,0,0,0,0,0
"ENSMUSG00000092358",0,1.13,0,0,1.07,0
"ENSMUSG00000092359",0,0,0,0,0,0
"ENSMUSG00000092360",3.37,3.32,0,0,0,0
"ENSMUSG00000092362",0,0,0,0,0,0
"ENSMUSG00000092363",0,0,0,0,0,0
"ENSMUSG00000092364",1,1,0,1,0,0
"ENSMUSG00000092365",2,0,3.08,0,1,0
"ENSMUSG00000092366",5,0,0,0,0,1
"ENSMUSG00000092367",0,0,0,0,0,0
"ENSMUSG00000092368",3,1,1.92,5,1,3
"ENSMUSG00000092369",0,0,0,0,0,0
"ENSMUSG00000092370",0,0,0,0,0,0
"ENSMUSG00000092371",0,0,0,0,0,0
"ENSMUSG00000092372",0,0,0,0,0,0
"ENSMUSG00000092373",0,1,0,0,0,1
"ENSMUSG00000092374",0,0,0,0,0,0
"ENSMUSG00000092375",0,0,0,0,0,0
"ENSMUSG00000092376",0,0,0,0,0,0
"ENSMUSG00000092377",0,0,0,0,0,0
"ENSMUSG00000092381",3,6,5,3,6,4
"ENSMUSG00000092382",0,0,0,0,0,0
"ENSMUSG00000092383",0,0,0,0,0,0
"ENSMUSG00000092384",1,3,4,1,1,4
"ENSMUSG00000092385",0,0,0,0,0,0
"ENSMUSG00000092386",5,0,1,3,1,0
"ENSMUSG00000092387",0,0,0,0,0,0
"ENSMUSG00000092388",0,0,0,0,0,0
"ENSMUSG00000092389",0,0,0,0,0,0
"ENSMUSG00000092390",2,1,4,4,3,1
"ENSMUSG00000092392",0,0,0,0,0,0
"ENSMUSG00000092393",0,0,0,0,0,0
"ENSMUSG00000092394",0,0,1,0,0,0
"ENSMUSG00000092395",1,1,0,0,1,0
"ENSMUSG00000092396",0,0,0,0,0,0
"ENSMUSG00000092397",0,0,0,0,0,0
"ENSMUSG00000092398",0,0,0,0,0,0
"ENSMUSG00000092399",0,0,0,0,0,0
"ENSMUSG00000092401",0,0,0,0,0,0
"ENSMUSG00000092402",0,0,0,0,0,0
"ENSMUSG00000092404",0,0,0,0,0,0
"ENSMUSG00000092405",2,7,0,4,0,2
"ENSMUSG00000092406",0,0,0,0,0,0
"ENSMUSG00000092408",0,0,0,0,0,0
"ENSMUSG00000092409",0,0,0,0,0,0
"ENSMUSG00000092410",0,0,0,0,0,0
"ENSMUSG00000092411",0,0,0,0,0,0
"ENSMUSG00000092412",0,0,0,0,0,0
"ENSMUSG00000092413",0,0,0,0,0,0
"ENSMUSG00000092414",0,0,0,0,0,0
"ENSMUSG00000092415",1,0,2,1,0,1
"ENSMUSG00000092416",211.29,208.19,245.24,211.11,258.07,229.05
"ENSMUSG00000092417",193.93,177.86,224.87,225,233.96,209.95
"ENSMUSG00000092418",0,0,0,0,2,0
"ENSMUSG00000092419",0,0,0,0,0,0
"ENSMUSG00000092422",0,0,0,0,0,0
"ENSMUSG00000092425",0,0,0,0,0,0
"ENSMUSG00000092426",0,0,0,0,0,0
"ENSMUSG00000092427",0,0,0,0,0,0
"ENSMUSG00000092428",0,0,0,0,0,0
"ENSMUSG00000092429",0,0,0,0,0,0
"ENSMUSG00000092431",0,0,0,0,0,0
"ENSMUSG00000092433",0,0,0,0,0,0
"ENSMUSG00000092435",0,0,0,0,0,0
"ENSMUSG00000092437",0,0,0,0,0,0
"ENSMUSG00000092438",0,0,0,0,0,0
"ENSMUSG00000092439",0,0,0,0,0,0
"ENSMUSG00000092440",0,0,0,0,0,0
"ENSMUSG00000092441",0,0,0,0,0,0
"ENSMUSG00000092444",0,0,0,0,0,0
"ENSMUSG00000092447",0,0,0,0,0,0
"ENSMUSG00000092448",0,0,0,0,0,0
"ENSMUSG00000092450",0,0,0,0,0,0
"ENSMUSG00000092451",0,0,0,0,0,0
"ENSMUSG00000092452",0,0,0,0,0,0
"ENSMUSG00000092454",1.01,1.84,2.03,2.08,6.1,1.02
"ENSMUSG00000092455",0,0,0,0,0,0
"ENSMUSG00000092456",0,0,0,0,0,0
"ENSMUSG00000092457",0,0,0,0,0,0
"ENSMUSG00000092458",0,0,0,0,0,0
"ENSMUSG00000092460",0,0,0,0,0,0
"ENSMUSG00000092461",0,0,0,0,0,0
"ENSMUSG00000092462",0,0,0,0,0,0
"ENSMUSG00000092463",0,0,2.77,0,0,0
"ENSMUSG00000092464",0,1,0,0,1,1
"ENSMUSG00000092465",0,0,0,0,0,0
"ENSMUSG00000092466",0,0,0,0,0,0
"ENSMUSG00000092467",0,0,0,0,0,0
"ENSMUSG00000092468",0,0,0,0,0,0
"ENSMUSG00000092469",0,0,0,0,0,0
"ENSMUSG00000092470",0,0,6.74,1.77,3.63,6.77
"ENSMUSG00000092471",5,9,9,6,10,9
"ENSMUSG00000092472",0,0,0,0,0,0
"ENSMUSG00000092473",0,0,0,0,0,0
"ENSMUSG00000092474",1,3,2.15,0,1.07,1
"ENSMUSG00000092476",0,0,0,0,0,0
"ENSMUSG00000092477",0,0,0,0,0,0
"ENSMUSG00000092480",0,0,0,0,0,0
"ENSMUSG00000092482",0,0,0,0,1,0
"ENSMUSG00000092483",0,0,0,0,0,0
"ENSMUSG00000092485",0,0,0,0,0,0
"ENSMUSG00000092487",0,0,0,0,0,0
"ENSMUSG00000092488",0,0,0,0,0,0
"ENSMUSG00000092489",0,0,0,0,0,0
"ENSMUSG00000092490",0,0,2.88,5.65,2.48,4.94
"ENSMUSG00000092492",0,0,0,0,0,0
"ENSMUSG00000092493",0,0,0,0,0,0
"ENSMUSG00000092494",0,0,0,0,0,0
"ENSMUSG00000092495",0,0,0,0,0,0
"ENSMUSG00000092496",0,0,0,0,0,0
"ENSMUSG00000092499",3,0,2,0,5,1
"ENSMUSG00000092500",7,2,1,6,0,1
"ENSMUSG00000092502",0,0,0,0,0,0
"ENSMUSG00000092503",0,0,0,0,0,0
"ENSMUSG00000092504",0,0,0,0,0,0
"ENSMUSG00000092505",0,0,0,0,0,0
"ENSMUSG00000092506",0,0,0,0,0,0
"ENSMUSG00000092508",0,0,0,0,0,0
"ENSMUSG00000092509",3,0,0,0,0,0
"ENSMUSG00000092510",0,0,0,0,0,0
"ENSMUSG00000092511",10.65,0,0,0,0,0
"ENSMUSG00000092512",7,1,0,1,3,3
"ENSMUSG00000092513",0,0,0,0,0,0
"ENSMUSG00000092514",0,0,0,0,0,0
"ENSMUSG00000092515",0,0,0,0,0,0
"ENSMUSG00000092516",0,0,0,0,0,0
"ENSMUSG00000092517",4,1,2.07,0,4,1
"ENSMUSG00000092518",0,0,0,0,0,0
"ENSMUSG00000092519",0,3,0,0,3,0
"ENSMUSG00000092520",0,0,0,0,0,0
"ENSMUSG00000092521",0,0,0,0,0,0
"ENSMUSG00000092522",0,0,0,0,0,0
"ENSMUSG00000092523",0,0,0,0,0,0
"ENSMUSG00000092524",0,0,0,0,0,0
"ENSMUSG00000092525",0,0,0,0,2,0
"ENSMUSG00000092526",0,0,0,1,0,0
"ENSMUSG00000092528",16,18,11,33,33,26
"ENSMUSG00000092529",0,0,0,0,0,0
"ENSMUSG00000092530",0,0,0,0,0,0
"ENSMUSG00000092532",0,0,0,0,0,0
"ENSMUSG00000092533",0,0,0,0,0,0
"ENSMUSG00000092534",0,0,4.77,0,0,0
"ENSMUSG00000092535",0,0,0,0,0,0
"ENSMUSG00000092536",0,0,0,0,0,0
"ENSMUSG00000092538",0,0,0,0,0,0
"ENSMUSG00000092539",0,0,0,0,0,0
"ENSMUSG00000092540",1,3,0,0,0,2
"ENSMUSG00000092541",2.41,3.76,2.58,0,2.45,1.28
"ENSMUSG00000092542",0,0,0,0,0,0
"ENSMUSG00000092543",0,0,0,0,0,0
"ENSMUSG00000092544",11.8,6.08,0,0,2.13,0
"ENSMUSG00000092545",671,592,934,483,721,810
"ENSMUSG00000092547",0,0,0,0,0,0
"ENSMUSG00000092548",0,0,0,0,0,0
"ENSMUSG00000092549",2,4,1,2,3,1
"ENSMUSG00000092550",0,0,2,1,1,0
"ENSMUSG00000092551",0,0,0,0,0,0
"ENSMUSG00000092552",0,0,0,0,0,0
"ENSMUSG00000092553",0,0,0,0,0,0
"ENSMUSG00000092554",0,0,0,0,0,0
"ENSMUSG00000092555",0,0,0,0,0,0
"ENSMUSG00000092556",4,2,0,0,1,2
"ENSMUSG00000092557",0,0,0,0,0,0
"ENSMUSG00000092558",343.04,459.86,437.5,457.35,417.26,488.15
"ENSMUSG00000092559",0,0,0,0,0,0
"ENSMUSG00000092560",1.02,0,1.02,0,0,0
"ENSMUSG00000092561",0,0,0,0,0,0
"ENSMUSG00000092562",0,0,0,0,0,0
"ENSMUSG00000092563",1,6,0,4,0,0
"ENSMUSG00000092564",24,22,47,36,32,36
"ENSMUSG00000092565",0,0,0,0,0,0
"ENSMUSG00000092566",0,0,0,0,0,0
"ENSMUSG00000092567",0,0,0,0,0,0
"ENSMUSG00000092568",0,0,0,0,0,0
"ENSMUSG00000092569",3,2,3,6,6,13
"ENSMUSG00000092570",0,0,0,0,0,0
"ENSMUSG00000092571",0,0,0,0,0,0
"ENSMUSG00000092572",3,3,2,1,3,0
"ENSMUSG00000092573",0,0,0,0,0,0
"ENSMUSG00000092574",0,0,0,0,3.89,1.93
"ENSMUSG00000092575",0,0,0,0,0,0
"ENSMUSG00000092576",0,0,0,0,0,0
"ENSMUSG00000092577",0,0,0,0,0,0
"ENSMUSG00000092578",0,0,0,0,0,0
"ENSMUSG00000092579",0,0,0,0,0,0
"ENSMUSG00000092580",0,0,0,0,0,0
"ENSMUSG00000092581",0,0,0,0,0,0
"ENSMUSG00000092583",0,0,0,0,0,0
"ENSMUSG00000092584",0,0,0,0,0,0
"ENSMUSG00000092586",0,0,0,0,0,0
"ENSMUSG00000092587",0,0,0,0,0,0
"ENSMUSG00000092588",0,0,0,0,0,0
"ENSMUSG00000092591",0,0,0,0,0,3
"ENSMUSG00000092592",0,1.31,3.11,1.16,0,0
"ENSMUSG00000092593",1,0,3,1,2,3
"ENSMUSG00000092595",189.16,179.25,279.08,213.45,127.23,211.26
"ENSMUSG00000092596",0,0,0,0,0,0
"ENSMUSG00000092597",0,0,0,0,0,0
"ENSMUSG00000092599",0,0,0,0,0,0
"ENSMUSG00000092600",0,0,0,0,0,0
"ENSMUSG00000092601",0,0,0,0,0,0
"ENSMUSG00000092602",3,1,0,0,0,0
