human_symbol_hgnc,human_ensembl,mouse_ensembl
IKBKB,ENSG00000104365,ENSMUSG00000031537
IKBKE,ENSG00000263528,ENSMUSG00000042349
IKBKG,ENSG00000269335,ENSMUSG00000004221
IKZF1,ENSG00000185811,ENSMUSG00000018654
IKZF2,ENSG00000030419,ENSMUSG00000025997
IKZF3,ENSG00000161405,ENSMUSG00000018168
IKZF4,ENSG00000123411,ENSMUSG00000002578
IKZF5,ENSG00000095574,ENSMUSG00000040167
IL10,ENSG00000136634,ENSMUSG00000016529
IL10RA,ENSG00000110324,ENSMUSG00000032089
IL10RB,ENSG00000243646,ENSMUSG00000022969
IL11,ENSG00000095752,ENSMUSG00000004371
IL12A,ENSG00000168811,ENSMUSG00000027776
IL12B,ENSG00000113302,ENSMUSG00000004296
IL12RB2,ENSG00000081985,ENSMUSG00000018341
IL13,ENSG00000169194,ENSMUSG00000020383
IL13RA1,ENSG00000131724,ENSMUSG00000017057
IL13RA2,ENSG00000123496,ENSMUSG00000031289
IL15,ENSG00000164136,ENSMUSG00000031712
IL15RA,ENSG00000134470,ENSMUSG00000023206
IL16,ENSG00000172349,ENSMUSG00000001741
IL17A,ENSG00000112115,ENSMUSG00000025929
IL17B,ENSG00000127743,ENSMUSG00000024578
IL17C,ENSG00000124391,ENSMUSG00000046108
IL17D,ENSG00000172458,ENSMUSG00000050222
IL17F,ENSG00000112116,ENSMUSG00000041872
IL17RA,ENSG00000177663,ENSMUSG00000002897
IL17RB,ENSG00000056736,ENSMUSG00000015966
IL17RC,ENSG00000163702,ENSMUSG00000030281
IL17RD,ENSG00000144730,ENSMUSG00000040717
IL17RE,ENSG00000163701,ENSMUSG00000043088
IL18,ENSG00000150782,ENSMUSG00000039217
IL18BP,ENSG00000137496,ENSMUSG00000070427
IL18R1,ENSG00000115604,ENSMUSG00000026070
IL18RAP,ENSG00000115607,ENSMUSG00000026068
IL19,ENSG00000142224,ENSMUSG00000016524
IL1A,ENSG00000115008,ENSMUSG00000027399
IL1B,ENSG00000125538,ENSMUSG00000027398
IL1F10,ENSG00000136697,ENSMUSG00000046845
IL1R1,ENSG00000115594,ENSMUSG00000026072
IL1R2,ENSG00000115590,ENSMUSG00000026073
IL1RAP,ENSG00000196083,ENSMUSG00000022514
IL1RAPL1,ENSG00000169306,ENSMUSG00000052372
IL1RAPL2,ENSG00000189108,ENSMUSG00000059203
IL1RN,ENSG00000136689,ENSMUSG00000026981
IL2,ENSG00000109471,ENSMUSG00000027720
IL20,ENSG00000162891,ENSMUSG00000026416
IL20RA,ENSG00000016402,ENSMUSG00000020007
IL20RB,ENSG00000174564,ENSMUSG00000044244
IL21,ENSG00000138684,ENSMUSG00000027718
IL21R,ENSG00000103522,ENSMUSG00000030745
IL22RA1,ENSG00000142677,ENSMUSG00000037157
IL22RA2,ENSG00000164485,ENSMUSG00000039760
IL23A,ENSG00000110944,ENSMUSG00000025383
IL23R,ENSG00000162594,ENSMUSG00000049093
IL24,ENSG00000162892,ENSMUSG00000026420
IL25,ENSG00000166090,ENSMUSG00000040770
IL27,ENSG00000197272,ENSMUSG00000044701
IL27RA,ENSG00000104998,ENSMUSG00000005465
IL2RA,ENSG00000134460,ENSMUSG00000026770
IL2RB,ENSG00000100385,ENSMUSG00000068227
IL2RG,ENSG00000147168,ENSMUSG00000031304
IL31RA,ENSG00000164509,ENSMUSG00000050377
IL33,ENSG00000137033,ENSMUSG00000024810
IL33R,ENSG00000115602,ENSMUSG00000026069
IL34,ENSG00000157368,ENSMUSG00000031750
IL36A,ENSG00000136694,ENSMUSG00000026984
IL36R,ENSG00000115598,ENSMUSG00000070942
IL36RN,ENSG00000136695,ENSMUSG00000026983
IL4I1,ENSG00000104951,ENSMUSG00000074141
IL4R,ENSG00000077238,ENSMUSG00000030748
IL5,ENSG00000113525,ENSMUSG00000036117
IL5RA,ENSG00000091181,ENSMUSG00000005364
IL6R,ENSG00000160712,ENSMUSG00000027947
IL6ST,ENSG00000134352,ENSMUSG00000021756
IL7,ENSG00000104432,ENSMUSG00000040329
IL7R,ENSG00000168685,ENSMUSG00000003882
IL9,ENSG00000145839,ENSMUSG00000021538
IL9R,ENSG00000124334,ENSMUSG00000020279
ILDR1,ENSG00000145103,ENSMUSG00000022900
ILDR2,ENSG00000143195,ENSMUSG00000040612
ILF2,ENSG00000143621,ENSMUSG00000001016
ILF3,ENSG00000129351,ENSMUSG00000032178
ILK,ENSG00000166333,ENSMUSG00000030890
ILKAP,ENSG00000132323,ENSMUSG00000026309
ILRUN,ENSG00000196821,ENSMUSG00000056692
IMMP1L,ENSG00000148950,ENSMUSG00000042670
IMMP2L,ENSG00000184903,ENSMUSG00000056899
IMMT,ENSG00000132305,ENSMUSG00000052337
IMP3,ENSG00000177971,ENSMUSG00000032288
IMP4,ENSG00000136718,ENSMUSG00000026127
IMPA1,ENSG00000133731,ENSMUSG00000027531
IMPA2,ENSG00000141401,ENSMUSG00000024525
IMPACT,ENSG00000154059,ENSMUSG00000024423
IMPDH1,ENSG00000106348,ENSMUSG00000003500
IMPDH2,ENSG00000178035,ENSMUSG00000062867
IMPG1,ENSG00000112706,ENSMUSG00000032343
IMPG2,ENSG00000081148,ENSMUSG00000035270
INA,ENSG00000148798,ENSMUSG00000034336
INAFM1,ENSG00000257704,ENSMUSG00000091811
INAVA,ENSG00000163362,ENSMUSG00000041605
INCA1,ENSG00000196388,ENSMUSG00000057054
INCENP,ENSG00000149503,ENSMUSG00000024660
INF2,ENSG00000203485,ENSMUSG00000037679
ING1,ENSG00000153487,ENSMUSG00000045969
ING2,ENSG00000168556,ENSMUSG00000063049
ING3,ENSG00000071243,ENSMUSG00000029670
ING4,ENSG00000111653,ENSMUSG00000030330
ING5,ENSG00000168395,ENSMUSG00000026283
INHA,ENSG00000123999,ENSMUSG00000032968
INHBA,ENSG00000122641,ENSMUSG00000041324
INHBB,ENSG00000163083,ENSMUSG00000037035
INHBC,ENSG00000175189,ENSMUSG00000025405
INHBE,ENSG00000139269,ENSMUSG00000047492
INIP,ENSG00000148153,ENSMUSG00000038544
INKA1,ENSG00000185614,ENSMUSG00000042106
INKA2,ENSG00000197852,ENSMUSG00000048458
INMT,ENSG00000241644,ENSMUSG00000003477
INO80,ENSG00000128908,ENSMUSG00000034154
INO80B,ENSG00000115274,ENSMUSG00000030034
INO80C,ENSG00000153391,ENSMUSG00000047989
INO80D,ENSG00000114933,ENSMUSG00000040865
INO80E,ENSG00000169592,ENSMUSG00000030689
INPP1,ENSG00000151689,ENSMUSG00000026102
INPP4A,ENSG00000040933,ENSMUSG00000026113
INPP4B,ENSG00000109452,ENSMUSG00000037940
INPP5A,ENSG00000068383,ENSMUSG00000025477
INPP5B,ENSG00000204084,ENSMUSG00000028894
INPP5D,ENSG00000168918,ENSMUSG00000026288
INPP5E,ENSG00000148384,ENSMUSG00000026925
INPP5F,ENSG00000198825,ENSMUSG00000042105
INPP5J,ENSG00000185133,ENSMUSG00000034570
INPP5K,ENSG00000132376,ENSMUSG00000006127
INPPL1,ENSG00000165458,ENSMUSG00000032737
INSC,ENSG00000188487,ENSMUSG00000048782
INSIG1,ENSG00000186480,ENSMUSG00000045294
INSIG2,ENSG00000125629,ENSMUSG00000003721
INSL3,ENSG00000248099,ENSMUSG00000079019
INSL5,ENSG00000172410,ENSMUSG00000066090
INSM1,ENSG00000173404,ENSMUSG00000068154
INSM2,ENSG00000168348,ENSMUSG00000045440
INSR,ENSG00000171105,ENSMUSG00000005534
INSRR,ENSG00000027644,ENSMUSG00000005640
INSYN1,ENSG00000205363,ENSMUSG00000066607
INSYN2A,ENSG00000188916,ENSMUSG00000073805
INSYN2B,ENSG00000204767,ENSMUSG00000069911
INTS1,ENSG00000164880,ENSMUSG00000029547
INTS10,ENSG00000104613,ENSMUSG00000031864
INTS11,ENSG00000127054,ENSMUSG00000029034
INTS12,ENSG00000138785,ENSMUSG00000028016
INTS13,ENSG00000064102,ENSMUSG00000040250
INTS14,ENSG00000138614,ENSMUSG00000034263
INTS15,ENSG00000146576,ENSMUSG00000039244
INTS2,ENSG00000108506,ENSMUSG00000018068
INTS3,ENSG00000143624,ENSMUSG00000027933
INTS4,ENSG00000149262,ENSMUSG00000025133
INTS5,ENSG00000185085,ENSMUSG00000071652
INTS6,ENSG00000102786,ENSMUSG00000035161
INTS6L,ENSG00000165359,ENSMUSG00000035967
INTS7,ENSG00000143493,ENSMUSG00000037461
INTS8,ENSG00000164941,ENSMUSG00000040738
INTS9,ENSG00000104299,ENSMUSG00000021975
INTU,ENSG00000164066,ENSMUSG00000060798
INVS,ENSG00000119509,ENSMUSG00000028344
IP6K1,ENSG00000176095,ENSMUSG00000032594
IP6K2,ENSG00000068745,ENSMUSG00000032599
IP6K3,ENSG00000161896,ENSMUSG00000024210
IPCEF1,ENSG00000074706,ENSMUSG00000064065
IPMK,ENSG00000151151,ENSMUSG00000060733
IPO11,ENSG00000086200,ENSMUSG00000042590
IPO13,ENSG00000117408,ENSMUSG00000033365
IPO4,ENSG00000196497,ENSMUSG00000002319
IPO5,ENSG00000065150,ENSMUSG00000030662
IPO7,ENSG00000205339,ENSMUSG00000066232
IPO8,ENSG00000133704,ENSMUSG00000040029
IPO9,ENSG00000198700,ENSMUSG00000041879
IPP,ENSG00000197429,ENSMUSG00000028696
IPPK,ENSG00000127080,ENSMUSG00000021385
IQANK1,ENSG00000203499,ENSMUSG00000102018
IQCB1,ENSG00000173226,ENSMUSG00000022837
IQCC,ENSG00000160051,ENSMUSG00000040795
IQCF1,ENSG00000173389,ENSMUSG00000066383
IQCF5,ENSG00000214681,ENSMUSG00000066382
IQCF6,ENSG00000214686,ENSMUSG00000091129
IQCH,ENSG00000103599,ENSMUSG00000037801
IQCJ,ENSG00000214216,ENSMUSG00000051777
IQCK,ENSG00000174628,ENSMUSG00000073856
IQGAP1,ENSG00000140575,ENSMUSG00000030536
IQGAP2,ENSG00000145703,ENSMUSG00000021676
IQGAP3,ENSG00000183856,ENSMUSG00000028068
IQSEC1,ENSG00000144711,ENSMUSG00000034312
IQSEC2,ENSG00000124313,ENSMUSG00000041115
IQSEC3,ENSG00000120645,ENSMUSG00000040797
IQUB,ENSG00000164675,ENSMUSG00000046192
IRAG1,ENSG00000072952,ENSMUSG00000005611
IRAG2,ENSG00000118308,ENSMUSG00000030263
IRAK1,ENSG00000184216,ENSMUSG00000031392
IRAK1BP1,ENSG00000146243,ENSMUSG00000032251
IRAK2,ENSG00000134070,ENSMUSG00000060477
IRAK3,ENSG00000090376,ENSMUSG00000020227
IRAK4,ENSG00000198001,ENSMUSG00000059883
IREB2,ENSG00000136381,ENSMUSG00000032293
IRF1,ENSG00000125347,ENSMUSG00000018899
IRF2,ENSG00000168310,ENSMUSG00000031627
IRF2BP1,ENSG00000170604,ENSMUSG00000044030
IRF2BP2,ENSG00000168264,ENSMUSG00000051495
IRF2BPL,ENSG00000119669,ENSMUSG00000034168
IRF3,ENSG00000126456,ENSMUSG00000003184
IRF4,ENSG00000137265,ENSMUSG00000021356
IRF5,ENSG00000128604,ENSMUSG00000029771
IRF6,ENSG00000117595,ENSMUSG00000026638
IRF7,ENSG00000185507,ENSMUSG00000025498
IRF8,ENSG00000140968,ENSMUSG00000041515
IRF9,ENSG00000213928,ENSMUSG00000002325
IRGC,ENSG00000124449,ENSMUSG00000062028
IRGQ,ENSG00000167378,ENSMUSG00000041037
IRS1,ENSG00000169047,ENSMUSG00000055980
IRS2,ENSG00000185950,ENSMUSG00000038894
IRS4,ENSG00000133124,ENSMUSG00000054667
IRX1,ENSG00000170549,ENSMUSG00000060969
IRX2,ENSG00000170561,ENSMUSG00000001504
IRX3,ENSG00000177508,ENSMUSG00000031734
IRX4,ENSG00000113430,ENSMUSG00000021604
IRX5,ENSG00000176842,ENSMUSG00000031737
IRX6,ENSG00000159387,ENSMUSG00000031738
ISCA2,ENSG00000165898,ENSMUSG00000021241
ISCU,ENSG00000136003,ENSMUSG00000025825
ISG15,ENSG00000187608,ENSMUSG00000035692
ISG20L2,ENSG00000143319,ENSMUSG00000048039
ISL1,ENSG00000016082,ENSMUSG00000042258
ISL2,ENSG00000159556,ENSMUSG00000032318
ISLR,ENSG00000129009,ENSMUSG00000037206
ISLR2,ENSG00000167178,ENSMUSG00000051243
ISM1,ENSG00000101230,ENSMUSG00000074766
ISM2,ENSG00000100593,ENSMUSG00000050671
ISOC1,ENSG00000066583,ENSMUSG00000024601
IST1,ENSG00000182149,ENSMUSG00000031729
ISY1,ENSG00000240682,ENSMUSG00000030056
ISYNA1,ENSG00000105655,ENSMUSG00000019139
ITCH,ENSG00000078747,ENSMUSG00000027598
ITFG1,ENSG00000129636,ENSMUSG00000031703
ITFG2,ENSG00000111203,ENSMUSG00000001518
ITGA1,ENSG00000213949,ENSMUSG00000042284
ITGA10,ENSG00000143127,ENSMUSG00000090210
ITGA11,ENSG00000137809,ENSMUSG00000032243
ITGA2,ENSG00000164171,ENSMUSG00000015533
ITGA2B,ENSG00000005961,ENSMUSG00000034664
ITGA3,ENSG00000005884,ENSMUSG00000001507
ITGA4,ENSG00000115232,ENSMUSG00000027009
ITGA5,ENSG00000161638,ENSMUSG00000000555
ITGA6,ENSG00000091409,ENSMUSG00000027111
ITGA7,ENSG00000135424,ENSMUSG00000025348
ITGA8,ENSG00000077943,ENSMUSG00000026768
ITGA9,ENSG00000144668,ENSMUSG00000039115
ITGAD,ENSG00000156886,ENSMUSG00000070369
ITGAE,ENSG00000083457,ENSMUSG00000005947
ITGAL,ENSG00000005844,ENSMUSG00000030830
ITGAM,ENSG00000169896,ENSMUSG00000030786
ITGAV,ENSG00000138448,ENSMUSG00000027087
ITGAX,ENSG00000140678,ENSMUSG00000030789
ITGB1,ENSG00000150093,ENSMUSG00000025809
ITGB1BP1,ENSG00000119185,ENSMUSG00000062352
ITGB1BP2,ENSG00000147166,ENSMUSG00000031312
ITGB2,ENSG00000160255,ENSMUSG00000000290
ITGB3,ENSG00000259207,ENSMUSG00000020689
ITGB3BP,ENSG00000142856,ENSMUSG00000028549
ITGB4,ENSG00000132470,ENSMUSG00000020758
ITGB5,ENSG00000082781,ENSMUSG00000022817
ITGB6,ENSG00000115221,ENSMUSG00000026971
ITGB7,ENSG00000139626,ENSMUSG00000001281
ITGB8,ENSG00000105855,ENSMUSG00000025321
ITGBL1,ENSG00000198542,ENSMUSG00000032925
ITIH1,ENSG00000055957,ENSMUSG00000006529
ITIH2,ENSG00000151655,ENSMUSG00000037254
ITIH3,ENSG00000162267,ENSMUSG00000006522
ITIH4,ENSG00000055955,ENSMUSG00000021922
ITIH5,ENSG00000123243,ENSMUSG00000025780
ITIH6,ENSG00000102313,ENSMUSG00000087149
ITK,ENSG00000113263,ENSMUSG00000020395
ITM2A,ENSG00000078596,ENSMUSG00000031239
ITM2B,ENSG00000136156,ENSMUSG00000022108
ITM2C,ENSG00000135916,ENSMUSG00000026223
ITPA,ENSG00000125877,ENSMUSG00000074797
ITPK1,ENSG00000100605,ENSMUSG00000057963
ITPKA,ENSG00000137825,ENSMUSG00000027296
ITPKB,ENSG00000143772,ENSMUSG00000038855
ITPKC,ENSG00000086544,ENSMUSG00000003752
ITPR1,ENSG00000150995,ENSMUSG00000030102
ITPR2,ENSG00000123104,ENSMUSG00000030287
ITPR3,ENSG00000096433,ENSMUSG00000042644
ITPRID1,ENSG00000180347,ENSMUSG00000037973
ITPRID2,ENSG00000138434,ENSMUSG00000027007
ITPRIP,ENSG00000148841,ENSMUSG00000117975
ITPRIPL1,ENSG00000198885,ENSMUSG00000074825
ITPRIPL2,ENSG00000205730,ENSMUSG00000095115
ITSN1,ENSG00000205726,ENSMUSG00000022957
ITSN2,ENSG00000198399,ENSMUSG00000020640
IVD,ENSG00000128928,ENSMUSG00000027332
IVNS1ABP,ENSG00000116679,ENSMUSG00000023150
IWS1,ENSG00000163166,ENSMUSG00000024384
IYD,ENSG00000009765,ENSMUSG00000019762
IZUMO1R,ENSG00000183560,ENSMUSG00000031933
IZUMO2,ENSG00000161652,ENSMUSG00000066500
IZUMO3,ENSG00000205442,ENSMUSG00000028533
IZUMO4,ENSG00000099840,ENSMUSG00000055862
JADE1,ENSG00000077684,ENSMUSG00000025764
JADE2,ENSG00000043143,ENSMUSG00000020387
JADE3,ENSG00000102221,ENSMUSG00000037315
JAG1,ENSG00000101384,ENSMUSG00000027276
JAG2,ENSG00000184916,ENSMUSG00000002799
JAGN1,ENSG00000171135,ENSMUSG00000051256
JAK1,ENSG00000162434,ENSMUSG00000028530
JAK2,ENSG00000096968,ENSMUSG00000024789
JAK3,ENSG00000105639,ENSMUSG00000031805
JAKMIP1,ENSG00000152969,ENSMUSG00000063646
JAKMIP2,ENSG00000176049,ENSMUSG00000024502
JAKMIP3,ENSG00000188385,ENSMUSG00000056856
JAM2,ENSG00000154721,ENSMUSG00000053062
JAM3,ENSG00000166086,ENSMUSG00000031990
JARID2,ENSG00000008083,ENSMUSG00000038518
JAZF1,ENSG00000153814,ENSMUSG00000063568
JCAD,ENSG00000165757,ENSMUSG00000033960
JCHAIN,ENSG00000132465,ENSMUSG00000067149
JDP2,ENSG00000140044,ENSMUSG00000034271
JHY,ENSG00000109944,ENSMUSG00000032023
JMJD1C,ENSG00000171988,ENSMUSG00000037876
JMJD4,ENSG00000081692,ENSMUSG00000036819
JMJD6,ENSG00000070495,ENSMUSG00000056962
JMJD7,ENSG00000243789,ENSMUSG00000098789
JMJD8,ENSG00000161999,ENSMUSG00000025736
JMY,ENSG00000152409,ENSMUSG00000021690
JOSD1,ENSG00000100221,ENSMUSG00000022426
JOSD2,ENSG00000161677,ENSMUSG00000038695
JPH1,ENSG00000104369,ENSMUSG00000042686
JPH2,ENSG00000149596,ENSMUSG00000017817
JPH3,ENSG00000154118,ENSMUSG00000025318
JPH4,ENSG00000092051,ENSMUSG00000022208
JPT1,ENSG00000189159,ENSMUSG00000020737
JRK,ENSG00000234616,ENSMUSG00000046380
JRKL,ENSG00000183340,ENSMUSG00000079083
JSRP1,ENSG00000167476,ENSMUSG00000020216
JTB,ENSG00000143543,ENSMUSG00000027937
JUN,ENSG00000177606,ENSMUSG00000052684
JUNB,ENSG00000171223,ENSMUSG00000052837
JUND,ENSG00000130522,ENSMUSG00000071076
JUP,ENSG00000173801,ENSMUSG00000001552
KALRN,ENSG00000160145,ENSMUSG00000061751
KANK1,ENSG00000107104,ENSMUSG00000032702
KANK2,ENSG00000197256,ENSMUSG00000032194
KANK3,ENSG00000186994,ENSMUSG00000042099
KANK4,ENSG00000132854,ENSMUSG00000035407
KANSL1,ENSG00000120071,ENSMUSG00000018412
KANSL1L,ENSG00000144445,ENSMUSG00000026004
KANSL2,ENSG00000139620,ENSMUSG00000022992
KANSL3,ENSG00000114982,ENSMUSG00000010453
KARS1,ENSG00000065427,ENSMUSG00000031948
KASH5,ENSG00000161609,ENSMUSG00000038292
KAT14,ENSG00000149474,ENSMUSG00000027425
KAT2A,ENSG00000108773,ENSMUSG00000020918
KAT2B,ENSG00000114166,ENSMUSG00000000708
KAT5,ENSG00000172977,ENSMUSG00000024926
KAT6A,ENSG00000083168,ENSMUSG00000031540
KAT6B,ENSG00000156650,ENSMUSG00000021767
KAT7,ENSG00000136504,ENSMUSG00000038909
KAT8,ENSG00000103510,ENSMUSG00000030801
KATNA1,ENSG00000186625,ENSMUSG00000019794
KATNAL1,ENSG00000102781,ENSMUSG00000041298
KATNAL2,ENSG00000167216,ENSMUSG00000025420
KATNB1,ENSG00000140854,ENSMUSG00000031787
KATNBL1,ENSG00000134152,ENSMUSG00000027132
KATNIP,ENSG00000047578,ENSMUSG00000032743
KAZALD1,ENSG00000107821,ENSMUSG00000025213
KAZN,ENSG00000189337,ENSMUSG00000040606
KBTBD11,ENSG00000176595,ENSMUSG00000055675
KBTBD12,ENSG00000187715,ENSMUSG00000033182
KBTBD13,ENSG00000234438,ENSMUSG00000054978
KBTBD2,ENSG00000170852,ENSMUSG00000059486
KBTBD3,ENSG00000182359,ENSMUSG00000025893
KBTBD4,ENSG00000123444,ENSMUSG00000005505
KBTBD6,ENSG00000165572,ENSMUSG00000075502
KBTBD7,ENSG00000120696,ENSMUSG00000043881
KBTBD8,ENSG00000163376,ENSMUSG00000030031
KCMF1,ENSG00000176407,ENSMUSG00000055239
KCNA1,ENSG00000111262,ENSMUSG00000047976
KCNA10,ENSG00000143105,ENSMUSG00000042861
KCNA2,ENSG00000177301,ENSMUSG00000040724
KCNA3,ENSG00000177272,ENSMUSG00000047959
KCNA4,ENSG00000182255,ENSMUSG00000042604
KCNA5,ENSG00000130037,ENSMUSG00000045534
KCNA6,ENSG00000151079,ENSMUSG00000038077
KCNA7,ENSG00000104848,ENSMUSG00000038201
KCNAB1,ENSG00000169282,ENSMUSG00000027827
KCNAB2,ENSG00000069424,ENSMUSG00000028931
KCNAB3,ENSG00000170049,ENSMUSG00000018470
KCNB1,ENSG00000158445,ENSMUSG00000050556
KCNC1,ENSG00000129159,ENSMUSG00000058975
KCNC2,ENSG00000166006,ENSMUSG00000035681
KCNC3,ENSG00000131398,ENSMUSG00000062785
KCNC4,ENSG00000116396,ENSMUSG00000027895
KCND1,ENSG00000102057,ENSMUSG00000009731
KCND2,ENSG00000184408,ENSMUSG00000060882
KCND3,ENSG00000171385,ENSMUSG00000040896
KCNE1,ENSG00000180509,ENSMUSG00000039639
KCNE2,ENSG00000159197,ENSMUSG00000039672
KCNE3,ENSG00000175538,ENSMUSG00000035165
KCNE4,ENSG00000152049,ENSMUSG00000047330
KCNE5,ENSG00000176076,ENSMUSG00000090122
KCNF1,ENSG00000162975,ENSMUSG00000051726
KCNG1,ENSG00000026559,ENSMUSG00000074575
KCNG2,ENSG00000178342,ENSMUSG00000059852
KCNG3,ENSG00000171126,ENSMUSG00000045053
KCNG4,ENSG00000168418,ENSMUSG00000045246
KCNH1,ENSG00000143473,ENSMUSG00000058248
KCNH2,ENSG00000055118,ENSMUSG00000038319
KCNH3,ENSG00000135519,ENSMUSG00000037579
KCNH4,ENSG00000089558,ENSMUSG00000035355
KCNH5,ENSG00000140015,ENSMUSG00000034402
KCNH6,ENSG00000173826,ENSMUSG00000001901
KCNH7,ENSG00000184611,ENSMUSG00000059742
KCNH8,ENSG00000183960,ENSMUSG00000035580
KCNIP1,ENSG00000182132,ENSMUSG00000053519
KCNIP2,ENSG00000120049,ENSMUSG00000025221
KCNIP3,ENSG00000115041,ENSMUSG00000079056
KCNIP4,ENSG00000185774,ENSMUSG00000029088
KCNJ1,ENSG00000151704,ENSMUSG00000041248
KCNJ10,ENSG00000177807,ENSMUSG00000044708
KCNJ11,ENSG00000187486,ENSMUSG00000096146
KCNJ13,ENSG00000115474,ENSMUSG00000079436
KCNJ14,ENSG00000182324,ENSMUSG00000058743
KCNJ15,ENSG00000157551,ENSMUSG00000062609
KCNJ16,ENSG00000153822,ENSMUSG00000051497
KCNJ2,ENSG00000123700,ENSMUSG00000041695
KCNJ3,ENSG00000162989,ENSMUSG00000026824
KCNJ4,ENSG00000168135,ENSMUSG00000044216
KCNJ5,ENSG00000120457,ENSMUSG00000032034
KCNJ6,ENSG00000157542,ENSMUSG00000043301
KCNJ8,ENSG00000121361,ENSMUSG00000030247
KCNJ9,ENSG00000162728,ENSMUSG00000038026
KCNK1,ENSG00000135750,ENSMUSG00000033998
KCNK10,ENSG00000100433,ENSMUSG00000033854
KCNK12,ENSG00000184261,ENSMUSG00000050138
KCNK13,ENSG00000152315,ENSMUSG00000045404
KCNK15,ENSG00000124249,ENSMUSG00000035238
KCNK18,ENSG00000186795,ENSMUSG00000040901
KCNK2,ENSG00000082482,ENSMUSG00000037624
KCNK3,ENSG00000171303,ENSMUSG00000049265
KCNK4,ENSG00000182450,ENSMUSG00000024957
KCNK5,ENSG00000164626,ENSMUSG00000023243
KCNK6,ENSG00000099337,ENSMUSG00000046410
KCNK7,ENSG00000173338,ENSMUSG00000024936
KCNK9,ENSG00000169427,ENSMUSG00000036760
KCNMA1,ENSG00000156113,ENSMUSG00000063142
KCNMB1,ENSG00000145936,ENSMUSG00000020155
KCNMB2,ENSG00000197584,ENSMUSG00000037610
KCNMB3,ENSG00000171121,ENSMUSG00000091091
KCNMB4,ENSG00000135643,ENSMUSG00000054934
KCNN1,ENSG00000105642,ENSMUSG00000002908
KCNN2,ENSG00000080709,ENSMUSG00000054477
KCNN3,ENSG00000143603,ENSMUSG00000000794
KCNN4,ENSG00000104783,ENSMUSG00000054342
KCNQ1,ENSG00000053918,ENSMUSG00000009545
KCNQ2,ENSG00000075043,ENSMUSG00000016346
KCNQ3,ENSG00000184156,ENSMUSG00000056258
KCNQ4,ENSG00000117013,ENSMUSG00000028631
KCNQ5,ENSG00000185760,ENSMUSG00000028033
KCNRG,ENSG00000198553,ENSMUSG00000046168
KCNS1,ENSG00000124134,ENSMUSG00000040164
KCNS2,ENSG00000156486,ENSMUSG00000050963
KCNS3,ENSG00000170745,ENSMUSG00000043673
KCNT1,ENSG00000107147,ENSMUSG00000058740
KCNT2,ENSG00000162687,ENSMUSG00000052726
KCNV1,ENSG00000164794,ENSMUSG00000022342
KCNV2,ENSG00000168263,ENSMUSG00000047298
KCP,ENSG00000135253,ENSMUSG00000059022
KCTD1,ENSG00000134504,ENSMUSG00000036225
KCTD10,ENSG00000110906,ENSMUSG00000001098
KCTD11,ENSG00000213859,ENSMUSG00000046731
KCTD12,ENSG00000178695,ENSMUSG00000098557
KCTD13,ENSG00000174943,ENSMUSG00000030685
KCTD15,ENSG00000153885,ENSMUSG00000030499
KCTD16,ENSG00000183775,ENSMUSG00000051401
KCTD17,ENSG00000100379,ENSMUSG00000033287
KCTD18,ENSG00000155729,ENSMUSG00000054770
KCTD19,ENSG00000168676,ENSMUSG00000051648
KCTD2,ENSG00000180901,ENSMUSG00000016940
KCTD20,ENSG00000112078,ENSMUSG00000005936
KCTD21,ENSG00000188997,ENSMUSG00000044952
KCTD3,ENSG00000136636,ENSMUSG00000026608
KCTD4,ENSG00000180332,ENSMUSG00000046523
KCTD5,ENSG00000167977,ENSMUSG00000016946
KCTD6,ENSG00000168301,ENSMUSG00000021752
KCTD7,ENSG00000243335,ENSMUSG00000034110
KCTD8,ENSG00000183783,ENSMUSG00000037653
KCTD9,ENSG00000104756,ENSMUSG00000034327
KDELR1,ENSG00000105438,ENSMUSG00000002778
KDELR2,ENSG00000136240,ENSMUSG00000079111
KDELR3,ENSG00000100196,ENSMUSG00000010830
KDF1,ENSG00000175707,ENSMUSG00000037600
KDM1A,ENSG00000004487,ENSMUSG00000036940
KDM1B,ENSG00000165097,ENSMUSG00000038080
KDM2A,ENSG00000173120,ENSMUSG00000054611
KDM2B,ENSG00000089094,ENSMUSG00000029475
KDM3A,ENSG00000115548,ENSMUSG00000053470
KDM3B,ENSG00000120733,ENSMUSG00000038773
KDM4A,ENSG00000066135,ENSMUSG00000033326
KDM4B,ENSG00000127663,ENSMUSG00000024201
KDM4C,ENSG00000107077,ENSMUSG00000028397
KDM4D,ENSG00000186280,ENSMUSG00000053914
KDM5A,ENSG00000073614,ENSMUSG00000030180
KDM5B,ENSG00000117139,ENSMUSG00000042207
KDM5D,ENSG00000012817,ENSMUSG00000056673
KDM6A,ENSG00000147050,ENSMUSG00000037369
KDM6B,ENSG00000132510,ENSMUSG00000018476
KDM7A,ENSG00000006459,ENSMUSG00000042599
KDM8,ENSG00000155666,ENSMUSG00000030752
KDR,ENSG00000128052,ENSMUSG00000062960
KDSR,ENSG00000119537,ENSMUSG00000009905
KEAP1,ENSG00000079999,ENSMUSG00000003308
KEL,ENSG00000197993,ENSMUSG00000029866
KERA,ENSG00000139330,ENSMUSG00000019932
KGD4,ENSG00000134056,ENSMUSG00000061474
KHDC4,ENSG00000132680,ENSMUSG00000028060
